#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -12.26  -12.85  -13.51  -14.17  -14.73  -15.10  -15.13  -14.89  -14.48  -13.99  -13.34  -12.73  -12.13  -11.57  -10.98  -10.56  -10.33  -10.32  -10.45  -10.67  -10.95  -11.12  -11.43  -11.77
    2.00  -12.55  -13.03  -13.61  -14.26  -15.04  -15.74  -16.27  -16.61  -16.58  -16.12  -15.37  -14.67  -14.06  -13.54  -12.96  -12.38  -11.86  -11.50  -11.31  -11.34  -11.54  -11.64  -11.84  -12.13
    3.00  -19.76  -20.06  -20.41  -20.74  -21.25  -21.79  -22.24  -22.64  -22.82  -22.65  -22.32  -21.70  -21.19  -20.93  -20.68  -20.48  -20.28  -20.10  -19.89  -19.71  -19.62  -19.43  -19.47  -19.56
   10.00  -46.68  -46.85  -46.97  -46.98  -46.94  -46.83  -46.70  -46.63  -46.58  -46.53  -46.51  -46.47  -46.36  -46.26  -46.10  -45.93  -45.84  -45.85  -45.91  -46.01  -46.14  -46.23  -46.36  -46.53
   20.00  -54.05  -54.18  -54.33  -54.42  -54.45  -54.44  -54.38  -54.31  -54.21  -54.10  -53.97  -53.92  -53.89  -53.90  -53.90  -53.89  -53.83  -53.75  -53.70  -53.67  -53.68  -53.67  -53.78  -53.92
   30.00  -56.95  -57.06  -57.15  -57.22  -57.29  -57.33  -57.33  -57.31  -57.25  -57.14  -56.92  -56.85  -56.83  -56.88  -56.93  -56.97  -56.99  -56.97  -56.94  -56.88  -56.83  -56.78  -56.74  -56.83
   50.00  -59.45  -59.52  -59.59  -59.62  -59.63  -59.61  -59.59  -59.59  -59.60  -59.60  -59.50  -59.43  -59.39  -59.39  -59.40  -59.42  -59.43  -59.45  -59.45  -59.45  -59.44  -59.42  -59.36  -59.38
   70.00  -60.26  -60.33  -60.40  -60.44  -60.47  -60.46  -60.42  -60.39  -60.37  -60.36  -60.28  -60.27  -60.28  -60.31  -60.33  -60.33  -60.31  -60.30  -60.29  -60.28  -60.28  -60.25  -60.18  -60.20
  100.00  -59.96  -59.99  -60.03  -60.06  -60.08  -60.10  -60.10  -60.09  -60.07  -60.05  -60.03  -60.04  -60.05  -60.08  -60.09  -60.09  -60.07  -60.04  -60.03  -60.02  -60.01  -59.99  -59.93  -59.94
  125.00  -58.93  -58.97  -59.00  -59.02  -59.02  -59.03  -59.02  -59.02  -59.00  -58.98  -59.01  -59.02  -59.03  -59.06  -59.08  -59.09  -59.08  -59.07  -59.05  -59.02  -59.00  -58.97  -58.89  -58.90
  150.00  -57.97  -58.03  -58.09  -58.12  -58.14  -58.16  -58.15  -58.15  -58.13  -58.12  -57.99  -58.01  -58.04  -58.10  -58.14  -58.17  -58.18  -58.17  -58.16  -58.13  -58.11  -58.08  -57.89  -57.92
  175.00  -58.04  -58.10  -58.15  -58.18  -58.19  -58.18  -58.17  -58.17  -58.16  -58.14  -58.05  -58.06  -58.07  -58.10  -58.13  -58.15  -58.16  -58.16  -58.15  -58.13  -58.10  -58.07  -57.96  -57.99
  200.00  -57.62  -57.64  -57.66  -57.68  -57.68  -57.69  -57.68  -57.66  -57.64  -57.62  -57.58  -57.58  -57.59  -57.61  -57.63  -57.64  -57.63  -57.63  -57.63  -57.61  -57.59  -57.56  -57.60  -57.62
  225.00  -55.66  -55.67  -55.68  -55.70  -55.72  -55.73  -55.74  -55.73  -55.71  -55.70  -55.66  -55.66  -55.65  -55.64  -55.64  -55.64  -55.63  -55.63  -55.63  -55.62  -55.61  -55.59  -55.64  -55.66
  250.00  -52.43  -52.44  -52.46  -52.48  -52.50  -52.51  -52.52  -52.53  -52.52  -52.51  -52.46  -52.45  -52.44  -52.42  -52.40  -52.39  -52.38  -52.37  -52.37  -52.36  -52.36  -52.36  -52.40  -52.43
  300.00  -44.47  -44.50  -44.52  -44.55  -44.58  -44.61  -44.62  -44.64  -44.64  -44.62  -44.57  -44.54  -44.50  -44.47  -44.44  -44.41  -44.39  -44.38  -44.38  -44.39  -44.39  -44.40  -44.42  -44.45
  350.00  -36.51  -36.54  -36.57  -36.60  -36.63  -36.66  -36.69  -36.70  -36.69  -36.67  -36.63  -36.60  -36.56  -36.53  -36.49  -36.46  -36.44  -36.42  -36.42  -36.44  -36.45  -36.45  -36.47  -36.48
  400.00  -29.29  -29.32  -29.35  -29.39  -29.43  -29.46  -29.49  -29.50  -29.50  -29.48  -29.45  -29.41  -29.37  -29.34  -29.31  -29.28  -29.26  -29.25  -29.25  -29.26  -29.27  -29.27  -29.27  -29.28
  450.00  -22.94  -22.97  -22.99  -23.03  -23.07  -23.11  -23.13  -23.14  -23.14  -23.12  -23.10  -23.05  -23.01  -22.98  -22.95  -22.93  -22.91  -22.91  -22.92  -22.93  -22.93  -22.93  -22.91  -22.93
  500.00  -17.40  -17.42  -17.46  -17.49  -17.53  -17.56  -17.58  -17.59  -17.59  -17.56  -17.54  -17.49  -17.45  -17.42  -17.39  -17.36  -17.36  -17.36  -17.37  -17.39  -17.39  -17.39  -17.37  -17.38
  550.00  -12.56  -12.58  -12.61  -12.64  -12.68  -12.71  -12.74  -12.76  -12.75  -12.72  -12.68  -12.62  -12.58  -12.55  -12.52  -12.49  -12.48  -12.49  -12.50  -12.53  -12.54  -12.54  -12.54  -12.55
  600.00   -8.33   -8.35   -8.37   -8.40   -8.44   -8.47   -8.51   -8.52   -8.52   -8.48   -8.44   -8.38   -8.33   -8.28   -8.25   -8.23   -8.22   -8.22   -8.24   -8.27   -8.30   -8.31   -8.32   -8.33
  650.00   -4.57   -4.58   -4.60   -4.63   -4.67   -4.71   -4.74   -4.76   -4.75   -4.71   -4.68   -4.61   -4.55   -4.50   -4.47   -4.44   -4.43   -4.44   -4.46   -4.50   -4.53   -4.55   -4.57   -4.57
  700.00   -1.17   -1.18   -1.20   -1.24   -1.28   -1.34   -1.38   -1.40   -1.40   -1.37   -1.33   -1.25   -1.17   -1.12   -1.07   -1.03   -1.03   -1.04   -1.07   -1.10   -1.13   -1.15   -1.17   -1.17
  750.00    1.91    1.90    1.88    1.83    1.77    1.71    1.65    1.62    1.61    1.63    1.66    1.74    1.83    1.90    1.97    2.01    2.04    2.03    2.01    1.98    1.95    1.92    1.92    1.91
  775.00    3.32    3.30    3.27    3.23    3.17    3.10    3.04    3.00    2.99    3.00    3.03    3.11    3.20    3.29    3.36    3.42    3.46    3.46    3.44    3.41    3.36    3.33    3.34    3.33
  800.00    4.64    4.62    4.59    4.54    4.48    4.41    4.34    4.30    4.28    4.29    4.33    4.41    4.49    4.58    4.67    4.74    4.79    4.80    4.77    4.73    4.68    4.63    4.66    4.65
  825.00    5.84    5.82    5.78    5.73    5.66    5.59    5.53    5.49    5.47    5.49    5.54    5.61    5.70    5.80    5.90    5.99    6.04    6.04    6.00    5.94    5.88    5.82    5.89    5.86
  850.00    6.96    6.93    6.89    6.83    6.76    6.69    6.63    6.59    6.58    6.60    6.66    6.72    6.81    6.93    7.05    7.15    7.20    7.19    7.14    7.07    7.00    6.93    7.03    6.99
  875.00    8.00    7.95    7.90    7.84    7.77    7.70    7.65    7.62    7.61    7.63    7.70    7.78    7.88    8.02    8.17    8.28    8.32    8.30    8.22    8.12    8.04    7.97    8.09    8.04
  900.00    9.01    8.95    8.89    8.83    8.76    8.69    8.63    8.61    8.60    8.64    8.71    8.82    9.00    9.19    9.34    9.41    9.41    9.36    9.27    9.17    9.07    9.00    9.12    9.06
  925.00   10.02    9.95    9.88    9.81    9.73    9.67    9.61    9.58    9.59    9.65    9.74   10.01   10.33   10.58   10.72   10.72   10.62   10.47   10.33   10.21   10.11   10.04   10.13   10.07
  950.00   11.06   10.99   10.92   10.84   10.76   10.68   10.63   10.60   10.66   10.87   11.06   11.50   11.92   12.24   12.38   12.34   12.16   11.90   11.64   11.42   11.26   11.16   11.18   11.12
  975.00   12.12   12.02   11.93   11.84   11.73   11.63   11.56   11.57   11.73   12.10   12.40   12.99   13.49   13.81   13.95   13.89   13.68   13.37   13.06   12.78   12.57   12.41   12.33   12.22
 1000.00   13.67   13.59   13.50   13.41   13.31   13.21   13.13   13.10   13.21   13.53   13.74   14.30   14.77   15.07   15.19   15.13   14.95   14.69   14.42   14.19   14.01   13.89   13.82   13.75
