#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -5.84   -7.15   -9.29  -11.82  -11.72  -11.14  -10.90   -9.79   -6.43   -5.00   -4.85   -5.29   -6.86   -8.23   -8.75   -7.37   -6.84   -6.11   -5.28   -4.44   -5.34   -6.97   -6.69   -6.18
    2.00   -1.68   -2.73   -3.81   -6.95   -9.49  -12.15  -12.24  -11.65  -12.36  -11.48   -7.77   -4.81   -2.70   -2.91   -4.59   -4.77   -3.55   -3.03   -4.09   -4.67   -3.54   -2.11   -3.89   -5.01
    3.00   -9.84  -10.30  -10.10  -10.66  -11.82  -13.41  -14.89  -15.91  -16.04  -16.25  -15.92  -14.95  -12.91  -10.32   -9.02  -10.35  -11.47  -11.80  -10.86  -10.99  -11.48   -9.76   -9.13  -10.31
   10.00  -39.70  -39.90  -40.62  -41.58  -41.68  -41.87  -41.12  -40.23  -40.40  -40.09  -39.69  -39.35  -39.36  -39.29  -39.93  -39.67  -39.57  -39.19  -38.94  -38.15  -37.93  -37.74  -38.74  -39.48
   20.00  -50.58  -50.70  -50.25  -50.00  -50.46  -50.88  -51.20  -50.63  -49.70  -49.50  -49.28  -48.85  -49.31  -50.47  -51.68  -51.51  -50.32  -49.80  -49.41  -49.36  -49.10  -49.31  -49.46  -49.79
   30.00  -53.52  -54.06  -54.39  -53.83  -53.39  -53.29  -53.46  -54.39  -54.60  -53.65  -53.66  -54.19  -54.41  -53.89  -53.43  -53.59  -54.02  -54.42  -54.43  -54.32  -53.55  -53.17  -52.59  -52.99
   50.00  -55.75  -55.77  -55.50  -55.41  -54.94  -54.93  -55.00  -54.93  -55.19  -55.31  -55.43  -55.47  -55.36  -54.97  -54.56  -54.12  -54.56  -54.70  -55.35  -55.44  -55.26  -55.45  -55.43  -55.93
   70.00  -55.77  -55.67  -55.40  -55.53  -55.65  -55.61  -55.70  -55.63  -55.80  -56.00  -55.38  -55.04  -55.25  -54.99  -54.94  -54.81  -54.61  -54.39  -54.40  -54.88  -55.40  -54.99  -55.10  -54.41
  100.00  -56.44  -56.60  -56.38  -55.69  -55.43  -55.27  -54.94  -54.85  -54.71  -54.68  -54.97  -54.89  -54.72  -54.33  -53.97  -53.88  -53.47  -53.06  -52.57  -52.19  -52.94  -53.44  -53.23  -52.86
  125.00  -52.82  -52.94  -53.25  -53.26  -52.96  -52.88  -52.35  -51.79  -51.26  -50.64  -50.65  -50.77  -51.07  -51.40  -51.48  -51.68  -51.98  -52.02  -51.95  -51.48  -51.08  -51.40  -51.58  -51.32
