#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -9.93  -11.43  -11.62  -11.16  -10.26  -10.00   -9.97   -9.45   -9.75   -9.26   -9.41   -9.32   -8.09   -6.52   -5.91   -7.12   -7.75   -7.05   -6.62   -7.34   -7.22   -6.54   -5.02   -5.23
    2.00   -7.71   -6.76   -8.52   -9.12   -9.72  -10.77  -12.07  -12.76  -12.59  -12.24  -10.71   -8.81   -7.65   -6.15   -4.10   -3.26   -3.99   -5.37   -6.24   -7.65   -8.84   -8.67   -7.59   -6.60
    3.00  -13.89  -12.27  -12.63  -13.67  -14.38  -15.02  -15.31  -15.56  -15.01  -14.63  -14.79  -14.65  -14.39  -15.12  -15.58  -14.13  -11.18   -9.05   -7.92   -8.09  -10.41  -12.82  -13.92  -13.71
   10.00  -44.19  -43.97  -43.71  -45.43  -46.80  -46.42  -45.94  -45.51  -46.08  -46.49  -45.82  -44.08  -43.87  -44.21  -43.64  -43.60  -44.18  -44.36  -44.41  -44.90  -45.57  -45.15  -44.06  -43.78
   20.00  -54.31  -54.53  -54.19  -53.81  -53.75  -54.36  -54.20  -53.98  -52.97  -52.02  -51.86  -51.97  -52.31  -52.74  -53.32  -53.86  -54.04  -53.81  -53.31  -52.47  -51.57  -50.94  -50.96  -51.50
   30.00  -52.30  -53.38  -54.33  -54.60  -53.96  -53.32  -52.85  -52.71  -53.42  -53.89  -53.80  -54.01  -54.24  -54.23  -53.51  -52.70  -52.30  -52.28  -52.63  -53.01  -53.17  -53.26  -52.89  -52.86
   50.00  -55.91  -55.32  -54.63  -54.49  -54.67  -54.81  -55.44  -56.18  -56.63  -56.70  -55.63  -55.25  -54.85  -54.72  -54.40  -54.33  -54.35  -54.49  -54.47  -54.71  -54.57  -54.51  -54.50  -54.72
   70.00  -57.25  -57.72  -58.03  -57.86  -57.94  -57.96  -57.51  -57.02  -56.61  -56.97  -57.28  -57.42  -57.29  -57.06  -56.81  -56.66  -56.38  -56.20  -55.79  -55.83  -55.98  -56.06  -55.79  -55.97
  100.00  -60.24  -59.64  -59.12  -59.14  -58.81  -58.36  -58.16  -58.14  -58.19  -57.96  -58.19  -58.36  -58.09  -57.73  -57.42  -57.38  -57.26  -56.98  -56.67  -56.22  -55.81  -55.31  -54.97  -54.76
  125.00  -58.62  -58.78  -58.81  -58.69  -58.32  -57.99  -58.11  -57.92  -57.47  -56.96  -56.68  -56.55  -56.43  -56.16  -55.71  -55.43  -55.38  -55.19  -54.87  -54.43  -54.08  -53.80  -53.76  -53.57
  150.00  -57.74  -57.19  -56.66  -56.54  -56.84  -56.49  -55.54  -55.15  -55.26  -55.14  -53.77  -53.27  -53.11  -53.40  -53.42  -52.97  -52.59  -52.37  -52.24  -52.10  -51.98  -51.77  -50.99  -50.73
