#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -11.78  -11.85  -11.26  -12.59  -13.77  -15.00  -15.81  -15.88  -15.46  -12.92  -11.46  -12.11  -10.24   -9.88   -9.95   -8.92   -7.67   -8.25   -9.13  -11.91  -13.26  -11.70   -9.61   -9.32
    2.00  -14.20  -15.72  -16.64  -16.84  -16.48  -15.30  -15.74  -17.28  -18.53  -19.52  -19.67  -17.82  -14.75  -13.53  -12.90  -14.47  -14.66  -14.81  -15.16  -14.45  -14.81  -16.02  -15.39  -15.03
    3.00  -24.53  -24.22  -23.82  -24.16  -24.43  -24.86  -24.80  -23.08  -22.57  -23.69  -25.14  -24.98  -24.70  -24.36  -22.08  -20.73  -21.40  -19.97  -20.83  -21.75  -21.53  -21.95  -23.18  -22.83
   10.00  -43.52  -42.14  -40.51  -40.20  -40.92  -41.51  -42.61  -43.21  -43.29  -42.98  -42.12  -42.41  -42.57  -41.49  -40.79  -40.97  -40.69  -40.77  -42.00  -42.79  -42.86  -42.10  -40.87  -39.77
   20.00  -50.74  -51.06  -50.69  -49.67  -48.60  -48.24  -47.31  -46.80  -47.41  -48.22  -48.80  -48.95  -48.75  -48.52  -47.49  -47.18  -47.64  -47.53  -46.85  -47.63  -48.44  -48.45  -48.06  -48.06
   30.00  -52.03  -52.59  -53.01  -53.55  -52.75  -52.25  -52.65  -52.91  -52.60  -52.38  -52.15  -51.87  -51.83  -52.64  -53.09  -52.39  -51.96  -51.95  -51.51  -50.56  -50.83  -51.17  -52.50  -52.99
   50.00  -58.97  -58.50  -58.13  -58.40  -59.13  -59.35  -59.38  -59.23  -58.57  -57.83  -57.71  -58.01  -57.88  -57.67  -58.05  -58.51  -58.23  -58.21  -58.79  -59.23  -58.31  -57.89  -57.73  -57.68
   70.00  -60.57  -60.55  -60.52  -60.59  -60.64  -60.68  -60.66  -60.69  -60.78  -60.85  -60.51  -60.66  -60.98  -60.85  -60.65  -60.57  -60.52  -59.79  -59.40  -59.89  -60.12  -59.93  -59.44  -59.49
  100.00  -61.33  -61.55  -61.70  -61.24  -60.81  -60.91  -61.13  -61.13  -60.89  -60.61  -60.59  -60.91  -61.27  -61.28  -61.11  -61.11  -61.23  -61.11  -60.77  -60.98  -61.65  -61.39  -60.78  -60.68
  125.00  -58.93  -59.00  -59.53  -60.02  -59.93  -59.67  -59.55  -59.49  -59.78  -60.35  -60.61  -60.63  -60.56  -60.47  -60.32  -60.51  -60.89  -61.02  -60.12  -58.98  -59.57  -60.51  -61.06  -60.72
  150.00  -58.26  -58.59  -58.28  -58.44  -58.99  -59.71  -60.33  -60.61  -60.60  -60.51  -60.34  -60.20  -60.11  -60.24  -60.14  -59.88  -60.04  -60.58  -60.61  -59.60  -58.81  -58.84  -59.16  -59.27
  175.00  -57.61  -57.94  -58.42  -58.96  -59.30  -59.16  -59.05  -59.07  -58.88  -58.62  -58.24  -58.46  -58.51  -58.55  -58.35  -57.84  -57.69  -58.55  -59.36  -59.43  -58.71  -58.44  -58.02  -58.11
  200.00  -59.45  -59.32  -58.92  -58.43  -58.40  -58.52  -58.55  -58.41  -58.10  -57.75  -57.31  -57.40  -57.53  -57.72  -58.01  -57.82  -57.42  -58.02  -58.33  -58.35  -57.96  -57.78  -57.76  -58.02
  225.00  -55.23  -55.21  -55.27  -55.25  -55.17  -55.02  -54.86  -54.81  -54.82  -54.81  -54.75  -54.67  -54.58  -54.59  -54.65  -54.59  -54.41  -54.44  -54.66  -54.73  -54.68  -54.66  -54.49  -54.42
  250.00  -50.42  -50.41  -50.35  -50.25  -50.05  -49.72  -49.41  -49.25  -49.23  -49.28  -49.46  -49.55  -49.58  -49.57  -49.62  -49.59  -49.46  -49.29  -49.40  -49.50  -49.50  -49.53  -49.30  -49.30
  300.00  -39.49  -39.38  -39.43  -39.57  -39.74  -39.87  -39.88  -39.74  -39.57  -39.42  -39.47  -39.27  -39.15  -39.10  -39.16  -39.20  -39.19  -39.11  -39.09  -39.16  -39.28  -39.43  -39.48  -39.65
  350.00  -29.88  -29.87  -29.96  -30.09  -30.16  -30.25  -30.36  -30.42  -30.42  -30.42  -30.74  -30.65  -30.54  -30.44  -30.42  -30.33  -30.11  -29.85  -29.84  -29.98  -30.13  -30.26  -30.37  -30.53
  400.00  -23.18  -22.89  -22.86  -22.97  -22.99  -22.96  -22.87  -22.74  -22.61  -22.58  -22.75  -22.75  -22.67  -22.58  -22.65  -22.75  -22.72  -22.48  -22.50  -22.80  -22.96  -22.82  -22.67  -22.72
  450.00  -17.31  -17.07  -16.88  -16.82  -16.80  -16.80  -16.75  -16.68  -16.57  -16.47  -16.18  -16.20  -16.15  -16.01  -16.07  -16.33  -16.30  -16.05  -16.32  -16.95  -17.03  -16.81  -16.27  -16.17
  500.00  -12.11  -11.99  -11.78  -11.56  -11.45  -11.53  -11.64  -11.79  -11.90  -11.94  -11.44  -11.40  -11.42  -11.24  -11.18  -11.46  -11.64  -11.31  -11.52  -11.92  -11.92  -11.62  -11.46  -11.40
  550.00   -7.65   -7.69   -7.62   -7.40   -7.22   -7.26   -7.47   -7.75   -7.94   -7.94   -7.69   -7.65   -7.71   -7.55   -7.28   -7.35   -7.42   -6.88   -7.02   -7.37   -7.34   -7.11   -7.59   -7.51
  600.00   -3.05   -3.13   -3.20   -3.20   -3.23   -3.24   -3.24   -3.32   -3.48   -3.60   -3.58   -3.57   -3.48   -3.37   -3.06   -2.89   -2.77   -2.59   -2.84   -3.28   -3.30   -2.94   -3.14   -3.40
  650.00    1.67    1.60    1.41    1.21    1.00    0.84    0.83    0.77    0.65    0.70    0.56    0.74    0.93    1.03    1.29    1.53    1.77    1.80    1.54    0.83    0.56    0.77    0.92    0.45
  700.00    6.03    5.94    5.72    5.50    5.26    5.10    5.04    4.98    4.93    4.92    5.06    5.26    5.50    5.64    5.88    6.16    6.40    6.54    6.12    5.01    4.67    4.67    5.04    4.59
  750.00   10.27   10.07    9.83    9.72    9.61    9.51    9.43    9.33    9.20    9.15    9.51    9.73   10.05   10.24   10.38   10.16   10.24   10.23    9.98    9.92    9.54    9.39    9.15    8.92
  775.00   12.15   11.91   11.76   11.78   11.77   11.68   11.58   11.45   11.27   11.17   11.57   11.80   12.09   12.27   11.93   12.21   12.54   12.62   12.57   12.47   12.09   12.00   11.75   11.40
  800.00   14.01   13.88   13.85   13.93   13.91   13.79   13.67   13.48   13.24   13.15   13.77   13.95   14.10   13.69   13.98   14.64   15.06   15.23   15.17   15.03   14.70   14.63   14.32   13.83
  825.00   15.81   15.77   15.86   15.99   15.93   15.68   15.49   15.22   14.95   14.92   15.90   15.99   15.53   15.70   16.53   17.17   17.59   17.78   17.73   17.57   17.26   17.11   16.80   16.23
  850.00   17.54   17.45   17.59   17.76   17.56   17.06   16.69   16.30   16.14   16.23   17.05   16.55   16.91   18.14   19.04   19.73   20.15   20.31   20.34   20.12   19.65   19.35   19.20   18.49
  875.00   19.17   18.94   19.03   19.11   18.63   17.94   17.48   17.13   16.92   16.97   16.43   17.61   19.23   20.47   21.40   22.10   22.59   22.85   22.83   22.68   21.98   21.46   21.62   20.75
  900.00   19.77   19.40   19.33   19.20   18.80   18.35   18.09   17.87   17.66   17.93   18.31   20.13   21.75   22.99   23.93   24.56   24.97   25.22   25.20   24.99   24.01   23.04   23.35   22.31
  925.00   20.27   20.00   19.86   19.75   19.54   19.34   19.17   19.00   19.24   20.37   20.90   22.63   24.27   25.56   26.60   27.24   27.61   27.76   27.67   27.35   26.05   24.15   24.99   24.06
  950.00   21.80   21.53   21.30   21.09   20.87   20.66   20.38   20.38   21.00   22.20   22.82   24.61   26.24   27.18   28.11   28.71   29.10   29.27   29.21   28.94   27.63   25.74   26.63   25.60
  975.00   23.15   22.91   22.72   22.55   22.34   22.19   22.03   21.90   22.28   23.45   23.99   25.77   27.44   28.70   29.63   30.23   30.61   30.78   30.71   30.44   29.12   27.20   28.08   27.08
 1000.00   24.59   24.35   24.15   23.97   23.77   23.60   23.43   23.29   23.68   24.86   25.40   27.19   28.87   30.13   31.06   31.67   32.05   32.21   32.14   31.88   30.57   28.64   29.52   28.51
