#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -8.60   -9.94  -11.39  -11.19  -10.59  -11.82  -13.73  -13.78  -12.56  -11.07  -10.11   -9.85  -10.11   -9.71   -8.51   -8.91   -9.46  -10.09  -10.57   -9.74   -9.86   -8.53   -7.46   -7.26
    2.00  -11.78  -10.27   -9.01  -10.21  -11.05  -11.79  -12.88  -14.43  -15.68  -17.09  -16.64  -15.41  -13.41  -12.42  -10.45   -8.69   -6.68   -6.19   -8.26  -11.23  -12.97  -13.88  -14.82  -14.11
    3.00  -19.17  -20.40  -20.77  -20.90  -21.83  -22.00  -21.96  -21.20  -20.49  -20.34  -20.22  -19.07  -18.89  -20.53  -20.98  -21.83  -21.67  -20.31  -18.49  -16.77  -16.43  -16.10  -17.74  -19.20
   10.00  -45.87  -46.02  -46.48  -46.43  -45.63  -44.93  -44.76  -44.35  -44.38  -44.75  -45.25  -45.94  -46.29  -45.91  -45.11  -44.71  -43.78  -43.28  -43.27  -42.94  -43.57  -44.56  -45.80  -46.88
   20.00  -53.73  -53.91  -53.86  -53.88  -53.56  -53.28  -53.27  -53.86  -54.53  -54.40  -54.10  -53.32  -52.82  -53.15  -52.61  -52.62  -53.42  -53.48  -52.55  -52.29  -52.80  -53.53  -54.20  -54.37
   30.00  -58.73  -58.93  -58.91  -58.95  -58.99  -58.79  -58.52  -58.15  -58.31  -58.73  -58.72  -58.48  -57.97  -57.65  -57.83  -58.11  -58.13  -58.62  -59.60  -59.59  -58.99  -57.95  -57.45  -57.57
   50.00  -62.18  -62.24  -62.25  -62.09  -62.32  -62.65  -63.10  -63.63  -63.59  -63.18  -62.59  -61.87  -61.86  -61.83  -61.08  -60.29  -60.38  -60.70  -60.90  -60.91  -60.92  -60.97  -61.01  -61.04
   70.00  -63.64  -63.46  -63.63  -63.65  -63.37  -62.89  -62.30  -62.29  -62.79  -63.34  -63.10  -62.64  -62.25  -62.26  -62.53  -62.52  -61.88  -61.49  -61.54  -61.74  -62.00  -62.00  -62.17  -62.10
  100.00  -60.85  -60.81  -60.67  -60.70  -60.87  -61.08  -61.00  -60.31  -59.57  -59.23  -58.85  -58.81  -58.87  -58.94  -58.95  -59.38  -59.70  -59.41  -59.10  -58.75  -58.60  -58.42  -58.07  -58.17
  125.00  -55.66  -55.84  -55.91  -55.90  -55.92  -55.95  -56.07  -55.96  -55.55  -55.09  -54.59  -54.50  -54.65  -54.92  -54.92  -54.89  -54.79  -54.48  -54.18  -54.10  -54.11  -54.47  -54.45  -54.43
