#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -10.26  -10.31  -11.68  -13.04  -15.04  -15.54  -15.57  -14.98  -13.67  -12.69  -11.99  -11.45  -11.24  -12.48  -12.49   -9.86   -7.87   -7.53   -8.99   -9.53   -8.44   -7.76   -7.99   -7.64
    2.00  -14.74  -15.25  -15.08  -15.31  -16.59  -17.78  -16.75  -17.15  -17.65  -16.80  -14.46  -13.39  -12.49  -12.05  -12.29  -14.40  -15.65  -15.27  -15.09  -15.57  -14.88  -14.63  -14.89  -16.87
    3.00  -26.93  -25.14  -24.25  -23.34  -23.29  -24.80  -26.65  -27.79  -27.32  -26.69  -25.87  -25.33  -24.64  -23.79  -23.03  -22.55  -23.72  -25.43  -25.07  -25.26  -25.36  -25.19  -25.06  -24.36
   10.00  -47.83  -48.15  -49.35  -50.14  -50.38  -50.11  -50.70  -51.58  -51.36  -50.43  -50.72  -51.49  -49.48  -46.60  -46.45  -46.06  -44.96  -44.94  -45.89  -46.34  -47.02  -47.96  -48.65  -49.73
   20.00  -55.97  -56.34  -56.20  -55.42  -55.05  -54.77  -54.26  -53.98  -53.67  -53.72  -53.61  -53.94  -53.52  -54.08  -53.66  -54.58  -54.17  -53.23  -53.08  -53.09  -53.37  -52.92  -53.41  -53.91
   30.00  -57.67  -57.23  -57.40  -57.84  -58.00  -57.95  -57.76  -57.17  -56.87  -57.27  -56.24  -56.16  -56.37  -56.66  -56.20  -56.16  -57.31  -57.67  -56.82  -56.33  -56.51  -57.21  -56.82  -56.64
   50.00  -60.01  -60.23  -60.40  -60.53  -60.57  -60.61  -60.66  -60.71  -60.65  -60.19  -60.07  -60.10  -60.40  -60.17  -60.69  -60.51  -60.14  -60.47  -61.05  -60.97  -60.39  -60.17  -60.53  -60.80
   70.00  -60.59  -60.38  -60.33  -60.44  -60.75  -60.83  -60.85  -61.38  -61.72  -61.75  -61.09  -61.11  -61.64  -61.01  -61.10  -61.52  -61.00  -60.06  -60.17  -60.64  -60.49  -59.66  -59.10  -59.61
  100.00  -64.84  -64.84  -65.00  -64.92  -64.56  -64.40  -64.10  -63.29  -62.43  -61.98  -62.20  -61.75  -61.77  -61.57  -60.77  -60.79  -60.75  -60.54  -60.29  -60.42  -60.61  -60.58  -60.33  -59.62
  125.00  -62.88  -62.80  -63.01  -63.47  -63.73  -63.77  -63.87  -63.87  -63.46  -63.23  -62.81  -62.73  -62.80  -62.94  -62.63  -62.90  -62.87  -62.51  -61.88  -61.17  -61.11  -61.49  -61.87  -61.93
  150.00  -66.25  -65.99  -65.49  -64.88  -64.41  -64.32  -64.61  -65.10  -65.06  -64.59  -65.41  -65.07  -64.12  -64.21  -63.18  -61.29  -62.16  -63.10  -63.55  -63.75  -63.40  -63.26  -63.99  -64.13
  175.00  -65.38  -65.05  -64.84  -64.57  -64.23  -63.78  -63.43  -63.45  -63.58  -63.65  -63.33  -63.48  -63.52  -64.01  -65.14  -65.42  -65.23  -65.36  -65.52  -65.65  -65.69  -65.44  -65.29  -65.08
  200.00  -61.84  -61.90  -62.00  -61.77  -61.52  -61.05  -60.44  -59.87  -59.49  -59.32  -58.68  -58.92  -59.42  -60.05  -61.01  -61.75  -62.12  -62.27  -62.39  -62.30  -62.35  -62.60  -62.63  -62.63
  225.00  -58.01  -57.71  -57.55  -57.48  -57.50  -57.32  -56.78  -56.20  -55.68  -55.37  -54.97  -55.11  -55.40  -55.81  -56.32  -56.69  -56.87  -56.96  -56.99  -56.85  -56.70  -56.73  -56.93  -57.17
  250.00  -52.30  -52.37  -51.93  -51.68  -51.66  -51.73  -51.67  -51.55  -51.40  -51.29  -51.38  -51.35  -51.21  -51.04  -51.25  -51.50  -51.43  -51.30  -51.33  -51.42  -51.48  -51.53  -51.46  -51.56
  300.00  -40.88  -41.09  -41.26  -41.35  -41.37  -41.35  -41.62  -42.06  -42.43  -42.66  -43.18  -43.05  -42.77  -42.22  -41.81  -41.48  -41.23  -41.06  -40.95  -41.02  -41.31  -41.70  -41.96  -41.76
  350.00  -31.58  -31.91  -32.79  -33.52  -33.96  -34.33  -34.62  -34.81  -34.84  -34.76  -34.70  -34.66  -34.52  -33.86  -33.25  -32.95  -32.82  -32.97  -33.04  -32.90  -32.91  -33.07  -32.94  -33.02
  400.00  -24.13  -24.51  -25.11  -25.66  -26.19  -26.55  -26.73  -26.87  -27.03  -27.15  -27.29  -27.62  -27.78  -27.53  -27.20  -27.25  -27.16  -27.03  -26.84  -26.59  -26.01  -25.54  -25.35  -25.52
  450.00  -17.95  -18.15  -18.17  -18.25  -18.49  -18.81  -19.04  -19.28  -19.49  -19.70  -19.94  -20.09  -20.25  -20.52  -20.77  -20.81  -20.85  -20.76  -20.64  -20.70  -20.54  -20.09  -19.80  -19.41
  500.00  -12.73  -12.71  -12.39  -12.30  -12.39  -12.60  -12.74  -12.89  -13.07  -13.30  -13.14  -13.14  -13.38  -13.68  -14.21  -14.66  -14.68  -14.46  -14.36  -14.45  -14.69  -14.77  -14.88  -15.26
  550.00   -8.62   -8.44   -8.00   -7.62   -7.50   -7.53   -7.56   -7.65   -7.83   -8.00   -7.30   -7.52   -8.01   -8.49   -8.89   -8.96   -8.75   -8.60   -8.77   -9.15   -9.46   -9.84  -10.14  -10.53
  600.00   -4.57   -4.35   -4.10   -3.52   -3.02   -2.91   -2.93   -3.05   -3.21   -3.27   -2.68   -3.00   -3.40   -3.56   -3.64   -3.61   -3.48   -3.69   -4.21   -4.68   -4.86   -5.10   -5.39   -5.72
  650.00   -0.70   -0.15    0.25    0.54    1.03    1.36    1.48    1.46    1.33    1.31    1.29    1.18    1.09    1.19    1.21    1.10    1.00    0.51   -0.07   -0.43   -0.56   -0.69   -0.88   -1.34
  700.00    4.75    4.61    5.11    5.24    5.32    5.53    5.71    5.79    5.79    5.80    5.45    5.46    5.52    5.65    5.61    5.36    4.98    4.21    3.69    3.39    3.25    3.15    2.88    2.69
  750.00    9.76    9.86    9.74    9.53    9.69    9.75    9.67    9.74    9.87   10.01    9.76    9.85    9.76    9.74    9.65    9.01    7.91    7.36    7.16    6.96    6.72    6.52    6.08    6.32
  775.00   11.30   11.72   11.44   11.38   11.66   11.60   11.40   11.40   11.58   11.81   11.81   11.93   11.76   11.62   11.31   10.08    9.27    9.18    9.19    9.11    8.91    8.60    8.21    8.21
  800.00   12.88   13.31   13.09   13.21   13.45   13.26   12.99   12.86   13.02   13.27   13.60   13.74   13.57   13.29   12.27   11.13   11.10   11.34   11.44   11.44   11.31   10.96   10.73   10.39
  825.00   14.38   14.74   14.72   14.86   14.91   14.60   14.27   14.03   14.11   14.28   14.65   15.18   15.19   14.28   13.19   12.84   13.37   13.71   13.79   13.76   13.60   13.21   13.11   12.58
  850.00   15.99   16.32   16.45   16.54   16.39   15.95   15.54   15.21   15.20   15.27   15.27   15.95   16.07   15.13   14.71   15.22   15.79   16.11   16.14   16.04   15.83   15.39   15.24   14.58
  875.00   17.70   17.96   18.05   18.16   18.00   17.52   17.00   16.49   16.28   16.30   16.15   16.70   16.73   16.38   16.98   17.67   18.18   18.47   18.49   18.32   18.05   17.57   17.09   16.35
  900.00   19.55   19.77   19.72   19.80   19.74   19.33   18.74   18.14   17.77   17.71   17.61   17.68   17.89   18.57   19.40   20.08   20.53   20.77   20.76   20.57   20.26   19.79   18.96   18.13
  925.00   20.83   20.99   20.96   21.00   21.16   20.96   20.50   19.96   19.35   18.91   18.82   19.03   19.76   20.78   21.69   22.36   22.78   22.98   22.98   22.87   22.63   22.18   21.16   20.31
  950.00   21.68   21.57   21.03   20.88   20.96   21.02   20.92   20.63   20.23   19.63   20.15   20.99   22.08   23.17   24.03   24.63   24.89   24.96   24.91   24.82   24.61   24.21   23.12   22.22
  975.00   22.55   22.41   21.86   21.63   21.57   21.75   21.86   21.72   21.34   20.76   21.37   22.48   23.75   24.88   25.74   26.32   26.55   26.57   26.48   26.42   26.27   25.96   24.92   24.05
 1000.00   22.05   21.89   21.51   21.27   21.04   20.97   20.87   20.78   20.89   21.16   22.25   23.74   25.11   26.19   26.96   27.40   27.24   26.87   26.55   26.25   25.88   25.55   25.06   24.37
