#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00  -12.37  -13.02  -13.74  -14.38  -14.88  -15.11  -15.07  -14.89  -14.65  -14.20  -13.46  -12.72  -11.96  -11.39  -10.92  -10.66  -10.58  -10.56  -10.60  -10.75  -11.08  -11.35  -11.62  -11.94
    2.00  -11.68  -12.22  -12.91  -13.67  -14.52  -15.35  -15.89  -16.07  -15.97  -15.62  -15.07  -14.47  -13.76  -13.16  -12.38  -11.61  -11.03  -10.75  -10.79  -10.93  -11.13  -11.22  -11.33  -11.46
    3.00  -18.84  -19.07  -19.40  -19.78  -20.30  -20.98  -21.58  -21.97  -22.04  -21.77  -21.50  -21.05  -20.68  -20.50  -20.23  -19.85  -19.48  -19.14  -18.96  -18.87  -18.82  -18.68  -18.77  -18.81
   10.00  -45.66  -45.78  -45.88  -45.91  -45.88  -45.77  -45.63  -45.56  -45.57  -45.58  -45.56  -45.44  -45.26  -45.10  -44.94  -44.86  -44.83  -44.86  -44.98  -45.11  -45.23  -45.27  -45.38  -45.53
   20.00  -53.43  -53.55  -53.65  -53.71  -53.73  -53.71  -53.63  -53.52  -53.42  -53.33  -53.30  -53.27  -53.24  -53.26  -53.22  -53.13  -53.05  -52.96  -52.89  -52.86  -52.90  -52.94  -53.10  -53.26
   30.00  -56.68  -56.83  -56.95  -57.02  -57.08  -57.11  -57.09  -57.04  -56.94  -56.82  -56.65  -56.62  -56.60  -56.68  -56.75  -56.79  -56.78  -56.75  -56.70  -56.64  -56.58  -56.53  -56.51  -56.57
   50.00  -59.94  -60.02  -60.10  -60.11  -60.12  -60.12  -60.13  -60.14  -60.13  -60.09  -59.94  -59.89  -59.85  -59.87  -59.91  -59.93  -59.94  -59.95  -59.98  -59.99  -59.97  -59.92  -59.85  -59.90
   70.00  -61.29  -61.37  -61.45  -61.48  -61.46  -61.43  -61.39  -61.38  -61.38  -61.37  -61.28  -61.27  -61.26  -61.28  -61.30  -61.31  -61.30  -61.28  -61.28  -61.28  -61.28  -61.24  -61.18  -61.21
  100.00  -61.19  -61.23  -61.29  -61.34  -61.37  -61.37  -61.34  -61.31  -61.29  -61.27  -61.25  -61.26  -61.29  -61.32  -61.35  -61.36  -61.36  -61.33  -61.30  -61.27  -61.25  -61.21  -61.15  -61.16
  125.00  -59.93  -59.95  -59.98  -60.03  -60.07  -60.10  -60.10  -60.08  -60.06  -60.03  -60.01  -60.01  -60.03  -60.06  -60.08  -60.10  -60.12  -60.12  -60.10  -60.06  -60.04  -60.02  -59.91  -59.91
  150.00  -58.73  -58.78  -58.82  -58.87  -58.93  -58.97  -58.98  -58.97  -58.96  -58.94  -58.78  -58.78  -58.81  -58.86  -58.90  -58.92  -58.95  -58.98  -58.98  -58.96  -58.93  -58.90  -58.68  -58.69
  175.00  -58.48  -58.52  -58.54  -58.58  -58.62  -58.64  -58.63  -58.62  -58.61  -58.59  -58.48  -58.47  -58.50  -58.55  -58.58  -58.59  -58.60  -58.62  -58.62  -58.60  -58.57  -58.54  -58.41  -58.44
  200.00  -57.65  -57.66  -57.67  -57.67  -57.68  -57.69  -57.69  -57.69  -57.67  -57.65  -57.62  -57.61  -57.61  -57.62  -57.64  -57.65  -57.66  -57.67  -57.68  -57.67  -57.64  -57.61  -57.63  -57.64
  225.00  -55.33  -55.33  -55.33  -55.32  -55.33  -55.34  -55.35  -55.36  -55.35  -55.35  -55.33  -55.32  -55.30  -55.30  -55.30  -55.29  -55.28  -55.30  -55.30  -55.30  -55.29  -55.28  -55.33  -55.34
  250.00  -51.87  -51.88  -51.88  -51.88  -51.89  -51.91  -51.93  -51.94  -51.95  -51.94  -51.90  -51.89  -51.87  -51.85  -51.83  -51.81  -51.80  -51.80  -51.81  -51.81  -51.81  -51.81  -51.86  -51.88
  300.00  -43.68  -43.71  -43.74  -43.77  -43.79  -43.83  -43.85  -43.86  -43.86  -43.85  -43.81  -43.77  -43.74  -43.70  -43.67  -43.64  -43.61  -43.59  -43.58  -43.58  -43.58  -43.59  -43.63  -43.65
  350.00  -35.62  -35.66  -35.70  -35.74  -35.76  -35.79  -35.81  -35.83  -35.83  -35.82  -35.79  -35.76  -35.72  -35.68  -35.64  -35.61  -35.56  -35.53  -35.52  -35.52  -35.53  -35.53  -35.57  -35.60
  400.00  -28.34  -28.38  -28.42  -28.46  -28.49  -28.52  -28.54  -28.56  -28.56  -28.55  -28.54  -28.50  -28.46  -28.42  -28.40  -28.36  -28.32  -28.29  -28.27  -28.28  -28.28  -28.29  -28.29  -28.32
  450.00  -21.92  -21.96  -22.00  -22.04  -22.07  -22.10  -22.12  -22.13  -22.14  -22.12  -22.13  -22.10  -22.06  -22.03  -22.00  -21.96  -21.92  -21.89  -21.88  -21.89  -21.90  -21.90  -21.87  -21.90
  500.00  -16.29  -16.33  -16.37  -16.40  -16.44  -16.47  -16.48  -16.50  -16.50  -16.49  -16.50  -16.47  -16.44  -16.41  -16.37  -16.34  -16.30  -16.27  -16.26  -16.28  -16.29  -16.29  -16.26  -16.28
  550.00  -11.38  -11.41  -11.45  -11.48  -11.50  -11.53  -11.55  -11.56  -11.56  -11.55  -11.56  -11.54  -11.50  -11.47  -11.43  -11.39  -11.35  -11.33  -11.34  -11.36  -11.38  -11.38  -11.37  -11.37
  600.00   -7.08   -7.09   -7.12   -7.15   -7.17   -7.19   -7.21   -7.22   -7.22   -7.21   -7.21   -7.19   -7.16   -7.12   -7.07   -7.03   -7.00   -6.99   -7.01   -7.04   -7.07   -7.08   -7.07   -7.07
