#  level#  00:00#  01:00#  02:00#  03:00#  04:00#  05:00#  06:00#  07:00#  08:00#  09:00#  10:00#  11:00#  12:00#  13:00#  14:00#  15:00#  16:00#  17:00#  18:00#  19:00#  20:00#  21:00#  22:00#  23:00
    1.00   -8.62  -10.11  -12.24  -13.48  -13.38  -13.30  -11.81  -10.53  -11.29  -12.85  -13.30  -12.43  -11.63  -11.40  -11.46  -11.28  -11.49  -10.41  -10.18   -9.01   -9.37  -10.25   -8.69   -8.46
    2.00   -9.77  -10.44  -10.99  -11.18  -13.04  -15.08  -16.30  -16.18  -13.86  -13.67  -13.55  -13.81  -13.11  -12.34  -10.96   -9.49   -9.62   -8.16   -7.75   -8.24   -8.20   -9.02   -9.40   -8.56
    3.00  -18.11  -18.53  -19.08  -19.62  -20.52  -21.23  -21.17  -21.95  -21.54  -19.24  -18.00  -18.00  -17.42  -17.99  -18.84  -18.54  -18.71  -18.45  -17.61  -16.37  -15.92  -16.16  -17.63  -18.61
   10.00  -36.86  -37.04  -37.43  -38.34  -38.93  -38.20  -37.74  -37.52  -37.00  -37.56  -38.00  -38.09  -38.59  -38.89  -38.06  -37.33  -36.23  -35.68  -35.26  -34.41  -34.97  -36.61  -38.93  -40.84
   20.00  -44.68  -44.68  -44.66  -43.44  -42.83  -43.05  -43.38  -43.99  -44.64  -44.78  -44.34  -44.56  -45.06  -45.80  -45.87  -45.33  -45.13  -44.56  -44.17  -44.08  -44.12  -44.40  -44.63  -45.21
   30.00  -50.53  -50.11  -49.90  -49.45  -48.73  -48.63  -48.78  -48.99  -49.10  -49.11  -48.81  -48.98  -49.10  -49.22  -49.34  -49.23  -49.13  -48.75  -48.89  -49.20  -49.34  -49.09  -49.03  -49.16
   50.00  -55.02  -55.09  -55.20  -55.57  -55.98  -56.32  -56.50  -56.26  -55.79  -55.34  -55.48  -55.65  -55.55  -55.30  -55.28  -55.47  -55.84  -55.89  -55.71  -55.53  -55.59  -55.57  -55.58  -56.00
   70.00  -60.07  -60.14  -60.06  -59.81  -59.89  -59.63  -59.31  -59.48  -59.77  -59.95  -59.66  -59.80  -59.47  -59.13  -59.07  -59.14  -59.18  -59.21  -59.17  -58.91  -58.91  -59.13  -59.39  -59.57
  100.00  -63.55  -63.63  -63.53  -63.27  -63.22  -63.50  -63.84  -64.18  -64.51  -64.77  -64.60  -64.22  -63.92  -63.65  -63.33  -63.24  -63.27  -63.26  -63.15  -62.92  -62.42  -61.63  -61.89  -61.72
  125.00  -63.25  -63.23  -63.17  -63.14  -62.77  -62.33  -62.40  -62.62  -62.80  -62.96  -63.23  -63.60  -63.59  -63.41  -63.08  -62.35  -61.63  -61.14  -60.90  -60.91  -60.99  -60.87  -59.87  -59.99
  150.00  -61.13  -61.30  -61.41  -61.49  -61.56  -61.40  -61.02  -60.55  -60.37  -60.60  -60.57  -60.47  -60.53  -60.82  -60.91  -60.89  -60.73  -60.50  -60.32  -60.06  -59.93  -59.65  -58.36  -58.18
  175.00  -56.97  -56.88  -56.83  -56.79  -56.90  -57.02  -57.08  -57.02  -56.81  -56.62  -56.34  -56.38  -56.60  -56.90  -57.35  -57.67  -57.81  -57.93  -57.73  -57.33  -56.97  -56.94  -56.72  -56.56
  200.00  -53.32  -53.10  -52.98  -52.78  -52.62  -52.60  -52.55  -52.45  -52.24  -51.83  -51.25  -51.50  -51.64  -51.56  -51.68  -51.74  -51.77  -51.80  -51.95  -52.26  -52.57  -52.98  -53.50  -53.77
  225.00  -49.44  -49.18  -49.05  -48.95  -48.87  -48.80  -48.70  -48.67  -48.63  -48.36  -48.03  -48.42  -48.41  -48.09  -48.01  -47.93  -48.18  -48.36  -48.72  -49.24  -49.76  -50.07  -50.28  -50.46
  250.00  -45.51  -45.39  -45.24  -45.12  -45.08  -45.10  -45.09  -44.94  -44.82  -44.85  -45.08  -45.43  -45.43  -45.65  -45.59  -45.57  -45.80  -45.97  -46.37  -46.49  -46.47  -46.47  -46.54  -46.46
  300.00  -37.51  -37.53  -37.56  -37.56  -37.50  -37.28  -37.06  -37.13  -37.52  -37.90  -37.85  -37.79  -37.84  -37.96  -38.36  -38.68  -38.81  -38.57  -38.08  -38.04  -38.26  -38.61  -38.60  -38.70
  350.00  -29.47  -29.49  -29.51  -29.50  -29.55  -29.68  -29.81  -29.84  -29.71  -29.63  -29.83  -29.65  -29.51  -29.51  -29.45  -29.36  -29.44  -29.57  -29.57  -29.33  -29.26  -29.26  -29.85  -29.96
  400.00  -22.27  -22.31  -22.34  -22.30  -22.28  -22.27  -22.31  -22.34  -22.21  -21.87  -21.69  -21.61  -21.71  -21.71  -21.71  -21.84  -21.92  -22.06  -22.15  -22.20  -22.14  -22.06  -22.53  -22.56
  450.00  -16.21  -16.28  -16.35  -16.37  -16.35  -16.35  -16.35  -16.22  -16.02  -15.85  -16.05  -15.76  -15.32  -15.05  -14.93  -14.87  -14.93  -15.13  -15.38  -15.51  -15.54  -15.49  -15.57  -15.57
  500.00   -9.82  -10.00  -10.21  -10.40  -10.54  -10.60  -10.62  -10.55  -10.45  -10.40  -10.44  -10.36  -10.20  -10.03   -9.84   -9.68   -9.53   -9.42   -9.41   -9.50   -9.60   -9.68   -9.73   -9.82
  550.00   -4.13   -4.31   -4.59   -4.82   -4.98   -5.05   -5.09   -5.08   -5.09   -5.15   -4.90   -4.88   -4.79   -4.72   -4.71   -4.79   -4.89   -4.98   -5.05   -5.17   -5.33   -5.39   -5.20   -5.38
  600.00   -0.18   -0.38   -0.72   -0.90   -0.93   -0.87   -0.78   -0.70   -0.68   -0.74   -0.58   -0.58   -0.42   -0.26   -0.19   -0.22   -0.22   -0.25   -0.35   -0.53   -0.78   -0.97   -1.14   -1.28
  650.00    3.50    3.34    3.01    2.77    2.69    2.68    2.65    2.62    2.62    2.66    2.57    2.70    2.91    3.03    3.07    3.14    3.30    3.42    3.44    3.37    3.16    2.95    2.56    2.42
  700.00    6.99    7.18    7.08    6.88    6.76    6.71    6.64    6.54    6.42    6.37    6.35    6.54    6.92    7.09    7.22    6.95    6.80    7.10    7.56    7.63    7.55    7.45    7.08    7.06
  750.00    9.69    9.94   10.10   10.09   10.07   10.12   10.18   10.18   10.15   10.14   10.33   10.55   11.00   10.86   10.72   11.22   11.69   12.02   12.27   12.63   12.74   12.70   12.58   12.48
  775.00   11.47   11.77   11.93   11.89   11.79   11.75   11.77   11.81   11.86   11.92   12.19   12.36   12.44   12.41   13.16   13.89   14.37   14.68   14.87   15.05   15.26   15.27   15.18   15.09
  800.00   13.41   13.59   13.88   13.90   13.77   13.63   13.55   13.52   13.54   13.66   13.85   14.18   13.89   14.83   15.78   16.53   17.04   17.29   17.45   17.53   17.72   17.79   17.74   17.74
  825.00   15.28   15.19   15.43   15.50   15.33   15.16   15.04   14.99   15.02   15.19   15.77   15.40   16.20   17.33   18.30   19.08   19.61   19.87   19.95   20.03   20.12   20.25   20.35   20.33
  850.00   17.24   16.92   16.88   16.81   16.56   16.34   16.22   16.26   16.43   16.67   16.92   17.28   18.66   19.79   20.76   21.53   22.11   22.44   22.46   22.42   22.44   22.59   22.73   22.84
  875.00   19.28   18.79   18.58   18.48   18.37   18.25   18.14   17.83   17.63   17.14   17.77   19.55   20.97   22.14   23.13   23.91   24.48   24.82   24.94   24.82   24.77   24.87   25.07   25.19
  900.00   21.08   20.32   19.86   19.57   19.14   18.56   18.02   17.64   17.24   18.56   20.16   22.06   23.56   24.74   25.71   26.47   26.98   27.24   27.31   27.23   27.07   26.97   27.07   27.00
  925.00   23.07   21.81   20.23   19.15   18.48   18.09   17.77   17.73   19.22   21.06   22.74   24.67   26.22   27.48   28.50   29.25   29.73   29.92   29.85   29.62   29.26   28.94   29.04   28.65
  950.00   23.61   22.71   21.36   20.12   19.48   18.88   18.71   19.19   21.07   23.02   24.75   26.45   27.81   29.01   29.96   30.70   31.17   31.40   31.34   31.13   30.85   30.61   30.69   30.23
  975.00   25.94   24.78   23.02   21.71   21.08   20.71   20.44   20.48   22.27   24.19   25.89   27.81   29.35   30.53   31.50   32.23   32.69   32.92   32.89   32.68   32.38   32.11   32.16   31.66
