#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    9.82    6.01    2.78    4.28    5.53   13.74    5.39    7.99    3.86 
1986-01-02   10.01    3.76    3.50    4.00    5.53   12.19    8.31    7.91    3.18 
1986-01-03    8.03    3.41    5.97    0.46    7.15    9.21    6.83    8.74    5.53 
1986-01-04    6.41    3.43    2.05   -1.62    3.55    7.23    5.74    5.61    2.13 
1986-01-05    6.67    2.34    7.01    1.40    8.83    9.47    4.73   11.92    3.95 
1986-01-06    6.41    2.64    5.44   -0.48    6.47    7.93    4.57    9.88    2.25 
1986-01-07    9.04    3.58    2.09    6.00    6.44   10.78    7.58    8.59    3.39 
1986-01-08    7.82    4.82    5.33   -0.17    5.48    9.60    6.59    6.96    3.94 
1986-01-09    8.72    5.73    3.11   -1.53    3.85   10.59    6.41    5.38    0.61 
1986-01-10    8.29    4.54    0.78    3.09    3.29   12.58    3.95    4.53    1.99 
1986-01-11    8.96    5.60    3.14    1.71    4.51   12.00    6.34    5.55    3.17 
1986-01-12    8.71    5.77    5.51   -1.26    5.99    9.48    7.94    7.34    5.10 
1986-01-13    8.38    5.07    2.95    0.77    3.15   11.55    5.11    5.00    1.49 
1986-01-14    8.76    4.63    3.57    2.12    4.65   12.96    5.01    5.90    2.78 
1986-01-15   10.57    9.33    4.38   -1.79    4.95   11.28    8.93    5.92    3.35 
1986-01-16    8.50    4.11    3.09   -3.23    4.55    9.36    7.88    5.66    2.74 
1986-01-17    9.09    7.00    4.11   -2.36    4.83   10.56    7.56    6.45    3.29 
1986-01-18   10.45    8.55    0.80    0.43    1.82   13.25    6.28    3.35    0.58 
1986-01-19    9.97    5.47    1.45    2.22    3.12   14.08    6.19    4.28    1.45 
1986-01-20    9.06    6.21    0.67   -0.56    2.28   10.25    8.44    4.83    0.19 
1986-01-21    8.95    5.60    1.66    0.04    2.32   10.55    8.03    6.20    0.33 
1986-01-22    8.28    3.44    3.46    2.45    4.94   10.63    5.65    6.46    2.97 
1986-01-23   11.76    6.63    3.71    2.15    4.88   14.58    9.17    6.12    3.78 
1986-01-24    8.18    3.99    6.56   -4.05    8.06   11.70    6.28   10.76    5.20 
1986-01-25    6.42    3.10    2.56   -2.76    3.98    8.00    5.20    5.32    1.62 
1986-01-26    7.11    3.73    3.10   -0.55    3.20   10.12    3.70    6.88    0.63 
1986-01-27    8.75    6.33    6.27   -1.98    6.63   11.36    6.25    7.37    5.46 
1986-01-28    6.23    1.26    3.00    1.21    4.21    7.94    4.82    7.17    1.63 
1986-01-29    5.67    0.17    5.19    1.37    6.19    6.16    4.98    8.67    2.49 
1986-01-30    3.72    1.29    6.97   -1.23    7.47    4.87    2.94    9.55    3.59 
1986-01-31    5.45    3.42    3.67   -5.51    6.76    6.35    4.02    7.58    4.40 
1986-02-01    5.00    3.20    4.87   -2.99    5.82    5.59    4.26    7.79    4.26 
1986-02-02    4.74    3.22    5.32   -0.74    5.40    5.28    3.75    6.71    2.70 
1986-02-03    4.90    2.47    3.55    0.04    3.68    6.91    3.56    5.51    0.79 
1986-02-04    3.84    1.73    1.25    1.05    2.22    5.91    0.98    3.30    1.21 
1986-02-05    5.25    3.84    2.92   -2.00    3.69    6.28    4.27    5.22    0.97 
1986-02-06    4.64    2.97    2.38   -0.10    2.54    6.41    2.29    3.58    0.98 
1986-02-07    5.35    1.47    1.71    2.07    3.00    9.06    2.99    4.86    0.85 
1986-02-08    4.31    0.93    4.60   -2.64    6.26    5.91    2.54    8.01    3.75 
1986-02-09    1.55   -3.66   -1.10   -2.77    3.40    2.39    0.60    3.97    2.88 
1986-02-10    0.71   -5.70   -3.22   -0.60    3.31    2.21   -0.28    3.89    2.48 
1986-02-11    0.90   -4.84   -2.54   -0.18    2.68    3.31   -1.02    3.98    0.61 
