#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    3.90    1.43   -0.28    0.13    1.23    8.13   -1.03    2.51    0.12 
1986-01-02    6.50    1.08    1.49    1.48    2.26   11.21    1.52    3.82    0.44 
1986-01-03    5.40    0.33    1.34   -0.36    1.95    9.64    0.76    3.53    0.49 
1986-01-04    4.11    0.61    2.34   -2.04    3.25    6.73    1.95    5.03    0.80 
1986-01-05    3.59   -0.18    1.15   -0.31    2.61    9.08    0.86    5.16    0.57 
1986-01-06    3.77   -2.60    3.42   -1.65    3.94    6.96    1.77    6.61    0.46 
1986-01-07    3.13    0.26   -1.43    1.52    2.12    7.71   -0.51    3.54    0.71 
1986-01-08    3.85    0.49    1.95   -1.15    2.32    9.13   -0.39    4.38    0.44 
1986-01-09    5.46    1.99    3.21   -2.63    4.23    9.32    1.19    6.54    2.61 
1986-01-10    6.26    1.85    1.89   -1.11    2.25   12.66    1.97    3.13    1.66 
1986-01-11    7.30    2.72    1.47   -1.40    2.21   13.66    1.71    3.33    1.40 
1986-01-12    6.39    2.90    2.85   -2.67    3.98    8.66    3.63    6.36    2.31 
1986-01-13    6.68    2.24    2.44   -1.72    3.08   10.79    1.24    4.11    1.60 
1986-01-14    5.15    0.07    1.37   -0.71    1.64   12.23   -1.17    2.16    0.84 
1986-01-15    9.89    6.08    2.18   -1.48    2.70   12.38    7.86    4.41    2.13 
1986-01-16    6.55    2.49    2.99   -3.37    4.53    8.68    4.86    6.39    3.03 
1986-01-17    6.88    3.64    2.72   -2.66    3.83    9.90    4.28    5.59    2.62 
1986-01-18    9.43    6.16    1.09   -0.77    1.85   13.47    5.55    2.86    0.66 
1986-01-19    7.11    2.99    0.26    0.01    0.99   14.36    3.16    1.82    0.30 
1986-01-20    7.41    4.19    1.02   -1.11    1.71    9.14    4.05    2.47    0.47 
1986-01-21    6.81    3.50    0.13   -0.21    0.84   11.04    2.32    1.80    0.11 
1986-01-22    5.68    0.55    1.29   -0.57    1.55   10.15    1.70    2.23    0.24 
1986-01-23    8.99    4.20    1.61    0.06    1.88   13.99    4.87    4.12    0.19 
1986-01-24    6.51    1.43    4.03   -3.43    5.49    8.68    2.98    8.71    3.13 
1986-01-25    3.98   -0.11    2.79   -2.86    4.09    7.07    2.04    5.55    3.04 
1986-01-26    4.20    0.18    2.26   -2.00    3.08    8.14    0.94    4.47    1.84 
1986-01-27    7.75    3.30    2.77   -2.03    3.55   10.64    5.58    5.73    0.59 
1986-01-28    3.07    1.46    0.93   -0.79    1.88    5.26   -1.33    2.28    1.14 
1986-01-29    1.88   -2.22    0.41    0.19    1.91    6.99   -1.46    4.48    0.26 
1986-01-30    1.60   -2.62    2.40   -1.75    3.48    5.10   -1.70    5.88    0.80 
1986-01-31    3.29   -0.17    4.36   -4.23    6.13    5.42    1.46    8.38    4.19 
1986-02-01    3.96    0.63    3.18   -1.73    3.66    5.84    2.57    4.81    2.06 
1986-02-02    3.58    0.96    0.82    0.00    1.40    6.60    0.69    2.13    0.64 
1986-02-03    3.58   -0.15    0.52   -0.43    1.13    5.76    1.47    2.49    0.16 
1986-02-04    2.61   -1.54    0.58   -0.19    1.05    7.39   -1.25    2.46    0.12 
1986-02-05    3.06   -0.03    2.95   -2.56    3.93    6.94    0.31    5.86    2.60 
1986-02-06    2.81   -0.84    1.91   -1.67    2.58    7.10   -0.64    3.87    1.50 
1986-02-07    2.83   -2.04    0.56    0.77    1.60    7.99   -1.41    2.97    0.58 
1986-02-08    2.72   -2.06    2.31   -2.49    3.95    5.87    0.48    5.72    0.30 
1986-02-09   -0.38   -5.72    3.02   -4.14    5.14    2.14   -2.87    6.05    4.23 
1986-02-10   -1.48  -10.58    2.71   -3.26    4.27    2.63   -3.82    5.17    3.09 
1986-02-11    0.05   -9.81    2.32   -2.73    3.60    6.52   -4.30    5.25    2.54 
1986-02-12    2.26   -4.21    1.02   -1.18    2.43    9.25   -2.22    3.84    0.92 
1986-02-13    4.18    1.02   -1.63    1.02    1.96    9.15    0.92    2.85    1.00 
1986-02-14    3.94    2.62   -2.07    1.38    2.52    6.17    0.30    4.60    1.08 
1986-02-15    7.13    2.65    1.32   -0.50    1.83   12.63    1.56    3.80    0.51 
1986-02-16    9.62    5.71   -0.57    1.73    2.13   17.09    4.95    4.96    0.66 
1986-02-17    7.30    1.70   -0.07    2.33    2.74   12.60    2.48    4.89    2.07 
1986-02-18    5.94    3.36    0.82   -0.91    2.10    8.86    1.27    3.86    0.51 
