#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    6.22    4.96    1.10    2.47    2.77   10.68    1.47    3.86    1.76 
1986-01-02    7.84    2.77    2.02    2.54    3.27   10.71    4.58    4.15    1.46 
1986-01-03    5.97    2.10    2.56    0.60    3.27    8.40    4.27    4.24    1.94 
1986-01-04    3.48    2.62    0.82   -0.70    1.63    4.85    1.15    2.77    0.81 
1986-01-05    3.75    0.63    2.47    0.81    3.60    6.57    2.20    5.04    1.69 
1986-01-06    3.15    2.00    2.27   -0.25    2.86    4.98    1.90    4.96    1.18 
1986-01-07    4.95    1.33   -0.04    3.00    3.03    7.81    2.90    3.95    1.73 
1986-01-08    4.56    3.07    1.83    0.21    2.21    7.94    1.55    3.56    1.53 
1986-01-09    5.88    5.05    1.35   -1.28    2.04    8.08    4.10    3.85    0.48 
1986-01-10    5.83    2.83    0.38    1.38    1.49   12.19    0.13    2.07    1.06 
1986-01-11    7.21    3.95    1.20    0.61    1.98   12.40    3.92    2.58    1.50 
1986-01-12    6.01    5.01    2.27   -1.02    2.66    7.18    4.83    3.49    2.02 
1986-01-13    6.43    4.40    1.33    0.17    1.58    9.67    2.07    2.13    0.84 
1986-01-14    5.95    2.31    1.22    1.14    1.90   11.65   -0.25    2.35    1.47 
1986-01-15    8.80    8.59    1.73   -0.70    1.98    9.42    6.84    2.72    1.23 
1986-01-16    5.53    4.44    1.43   -2.05    2.55    6.96    2.13    3.80    0.97 
1986-01-17    5.85    5.68    1.47   -1.12    1.91    8.49    1.97    3.34    0.95 
1986-01-18    8.79    7.13    0.51    0.69    1.12   12.94    5.58    2.22    0.55 
1986-01-19    8.38    4.04    0.65    1.71    2.06   13.97    4.50    2.55    1.37 
1986-01-20    7.16    5.83    0.20   -0.51    1.07    8.20    6.38    1.67    0.56 
1986-01-21    6.51    5.10    0.53    0.67    1.10    8.38    4.24    1.74    0.56 
1986-01-22    5.96    2.77    1.65    1.17    2.21    9.41    3.03    3.15    1.18 
1986-01-23    9.53    5.97    1.69    1.59    2.50   13.89    6.28    3.52    1.22 
1986-01-24    5.61    3.92    2.83   -2.02    3.71    9.31    3.64    5.02    2.54 
1986-01-25    3.59    3.01    1.00   -1.70    2.02    5.54    0.66    2.96    0.89 
1986-01-26    4.30    2.42    1.26   -0.32    1.40    7.51    0.55    2.81    0.46 
1986-01-27    6.66    6.13    2.32   -1.10    2.60    9.43    4.15    3.92    1.68 
1986-01-28    3.18    1.63    0.73    0.73    1.42    5.37    1.37    2.98    0.71 
1986-01-29    2.63   -0.95    1.21    1.31    2.47    5.34    1.09    3.37    1.41 
1986-01-30    1.32   -0.41    1.85   -0.03    2.45    3.67   -0.74    3.90    1.59 
1986-01-31    2.87    2.82    1.42   -2.51    2.97    4.17    1.69    3.95    2.47 
1986-02-01    2.36    2.21    1.84   -0.47    2.05    3.35    1.74    2.80    0.98 
1986-02-02    1.80    1.77    1.50    0.95    1.81    2.21    1.39    2.58    1.06 
1986-02-03    2.15    0.39    0.92    0.73    1.47    5.64   -0.97    2.44    0.41 
1986-02-04    1.43    0.06    0.03    0.78    1.11    4.74   -1.57    1.99    0.11 
1986-02-05    2.68    2.61    1.07   -0.76    1.39    4.37    1.36    2.22    0.79 
1986-02-06    2.54    2.17    1.01   -0.14    1.11    5.16    1.11    1.64    0.68 
1986-02-07    2.25   -0.27    0.60    1.64    1.90    7.36   -2.33    3.03    1.17 
1986-02-08    1.92    0.83    1.77   -1.02    2.48    4.38   -0.41    3.51    1.35 
1986-02-09   -1.57   -4.67    0.02   -1.97    2.03   -0.49   -3.23    2.60    1.35 
1986-02-10   -2.88   -9.17   -0.37   -1.01    1.08    0.36   -4.93    1.90    0.38 
1986-02-11   -2.07   -9.09    0.03   -0.39    0.77    2.67   -5.42    1.57    0.22 
1986-02-12    1.00   -3.40   -0.04    0.85    0.98    7.66   -4.10    2.54    0.22 
1986-02-13    5.24    1.36   -0.23    2.29    2.37   10.42    2.18    3.38    0.68 
1986-02-14    5.13    3.02   -0.38    2.44    2.48    9.32    2.11    3.62    1.74 
1986-02-15    6.90    3.56    1.08    1.28    1.94   11.61    2.83    3.56    0.27 
1986-02-16    9.92    6.05    0.49    3.09    3.26   15.99    6.32    4.94    2.12 
1986-02-17    9.27    2.42    1.21    3.11    3.42   12.84    6.15    5.06    1.87 
1986-02-18    5.82    4.29    1.51   -0.10    1.95    7.40    3.86    3.16    1.06 
1986-02-19    2.85    0.81    1.95   -1.01    2.47    3.76    1.82    3.63    0.39 
1986-02-20    3.20   -0.37   -0.29    0.42    0.98    8.24   -1.75    2.38    0.15 
1986-02-21    5.20    3.83    1.08    0.38    2.48    8.71    2.11    4.13    1.16 
1986-02-22    8.61    5.25    1.23    2.01    2.38   13.23    4.40    3.41    0.98 
1986-02-23   11.90    8.77    1.57    1.94    2.97   14.83    8.86    5.27    0.54 
1986-02-24    8.64    6.68   -0.21   -0.27    0.72   11.37    5.31    1.77    0.38 
