#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    5.80    3.97    2.65    2.49    3.66   10.42   -1.80    5.40    1.74 
1986-01-02    6.71    1.59    3.74    3.26    4.98    9.93    4.44    5.68    4.44 
1986-01-03    4.43    1.42    3.01    0.41    3.74    7.46    2.74    5.43    2.65 
1986-01-04    2.65    1.20    1.14   -1.14    2.08    4.61    0.09    3.21    0.48 
1986-01-05    3.05   -0.23    2.94    0.45    3.93    6.97    0.29    4.73    2.27 
1986-01-06    2.01    0.04    2.33   -0.28    2.76    4.88    0.67    4.46    0.31 
1986-01-07    4.02    1.23    0.33    2.79    2.95    6.60    1.95    4.03    1.23 
1986-01-08    3.08    1.32    1.70   -0.14    2.10    7.15    0.02    3.74    1.27 
1986-01-09    4.13    3.06    1.34   -1.42    2.09    7.50    1.07    3.94    0.81 
1986-01-10    3.71    1.16    1.10    1.16    1.65    9.35   -1.67    2.18    1.19 
1986-01-11    4.78    2.82    1.18    0.14    1.92    9.77    0.00    2.62    1.40 
1986-01-12    4.31    3.21    1.86   -1.55    2.54    6.63    1.41    4.43    1.45 
1986-01-13    3.75    1.89    1.21    0.23    1.35    8.80   -0.06    1.72    0.90 
1986-01-14    3.57    0.39    1.30    1.00    1.69    9.34   -2.35    2.25    1.26 
1986-01-15    7.31    5.97    1.45   -0.39    1.79    8.35    6.36    2.45    1.46 
1986-01-16    4.81    3.03    1.29   -2.40    2.75    6.42    2.70    4.68    1.12 
1986-01-17    5.09    4.52    1.29   -1.42    1.97    7.90    1.74    3.56    1.18 
1986-01-18    7.39    5.62    0.88    0.83    1.44   11.72    1.98    2.40    0.88 
1986-01-19    5.51    1.94    1.04    1.67    2.22   12.49    0.66    3.91    1.23 
1986-01-20    5.91    4.70   -0.21   -0.48    1.07    6.41    5.46    1.51    0.63 
1986-01-21    5.73    3.21    0.95    0.87    1.52    8.15    3.64    2.79    0.26 
1986-01-22    4.26    1.33    2.00    1.17    2.52    7.73   -0.52    3.90    1.07 
1986-01-23    8.52    4.48    3.51    1.94    4.04   12.72    5.16    5.00    3.40 
1986-01-24    4.72    2.62    2.88   -2.13    3.95    8.02    1.59    5.42    2.58 
1986-01-25    2.54    1.71    1.09   -1.94    2.26    5.15    0.88    3.37    1.33 
1986-01-26    3.74    1.64    1.29   -0.94    1.63    7.35    0.56    2.86    0.73 
1986-01-27    5.97    4.56    1.96   -1.36    2.49    9.40    3.16    3.35    1.04 
1986-01-28    2.25   -0.49    0.84    0.39    1.60    4.52    0.96    3.73    0.82 
1986-01-29    2.02   -1.67    1.86    1.20    2.71    4.57    0.49    4.07    0.63 
1986-01-30   -0.24   -1.94    2.35   -0.98    2.98    1.98   -1.92    5.13    0.79 
1986-01-31    1.06    0.86    1.73   -2.44    3.04    2.32   -0.60    4.26    2.27 
1986-02-01    1.02    0.67    2.14   -0.89    2.36    1.74    0.56    3.23    1.53 
1986-02-02    0.90    0.38    1.46    0.28    1.54    1.77    0.39    2.71    0.55 
1986-02-03    0.51   -0.92    0.71    0.45    1.31    3.17   -3.31    2.25    0.56 
1986-02-04   -1.33   -2.44    0.00    0.53    1.13    2.66   -5.11    1.84    0.45 
1986-02-05    1.18    0.84    1.22   -1.19    1.73    2.60    0.42    3.14    0.73 
1986-02-06    0.27   -0.47    1.11   -0.08    1.17    2.19   -2.19    1.93    0.46 
1986-02-07    0.11   -1.64    0.86    1.70    2.10    4.05   -4.33    4.29    0.47 
1986-02-08    0.43   -1.48    1.83   -1.85    2.83    2.29   -1.64    4.35    0.57 
1986-02-09   -2.47   -4.48    0.34   -2.48    2.53   -1.41   -5.10    3.46    1.24 
1986-02-10   -4.12   -7.26    0.30   -1.18    1.26   -0.76   -5.95    2.20    0.49 
1986-02-11   -3.65   -6.98    0.37   -0.76    0.93    1.73   -7.33    2.05    0.23 
1986-02-12   -1.25   -3.81    0.38    0.92    1.26    4.92   -5.52    2.30    0.26 
1986-02-13    2.72    0.23    0.17    2.35    2.60    6.76   -0.33    3.28    2.24 
1986-02-14    1.84    0.67   -0.63    1.95    2.10    5.96   -1.77    2.94    1.31 
1986-02-15    4.74    2.08    1.98    1.53    2.55    9.99    0.09    4.12    1.39 
1986-02-16    8.26    5.25    1.13    3.25    3.62   14.80    4.88    5.71    1.82 
1986-02-17    7.43    1.51    2.06    3.59    4.21   10.63    5.35    6.86    1.89 
1986-02-18    4.95    2.97    1.31   -0.77    1.97    7.00    1.54    3.72    0.50 
1986-02-19    1.43   -0.31    1.45   -1.05    2.27    3.97   -1.33    3.76    0.31 
1986-02-20    2.74   -0.46   -0.19    0.72    0.97    8.57   -0.97    2.25    0.22 
1986-02-21    4.97    2.74    1.19   -0.13    2.61    9.03    1.07    4.46    1.33 
1986-02-22    6.80    3.99    2.30    2.17    3.20   11.40    0.95    5.20    1.11 
1986-02-23   10.95    7.51    3.18    2.52    4.29   13.60    8.75    7.21    0.79 
1986-02-24    7.99    6.18   -0.05   -0.50    0.83   11.29    4.68    1.44    0.05 
1986-02-25    5.88    2.98    0.80    0.67    1.31   10.15    1.74    2.36    0.01 
1986-02-26    7.07    3.70   -0.21    2.42    2.55   11.44    2.07    4.66    1.69 
1986-02-27    7.76    4.96   -2.27    3.27    4.00   11.57    5.06    5.40    2.43 
1986-02-28    8.17    5.48   -3.10    4.03    5.09   11.34    6.28    6.88    3.93 
1986-03-01    9.72    6.92   -1.68    2.62    3.14   13.82    7.16    4.87    1.42 
1986-03-02    7.94    6.24    1.03    0.31    2.12   11.34    5.22    3.71    1.04 
1986-03-03    6.52    3.59    0.48   -1.15    1.40   10.70    2.66    2.57    0.68 
1986-03-04    6.39    2.45    0.27   -0.42    0.78   11.92    2.23    2.20    0.15 
1986-03-05    7.20    2.69    0.16   -0.43    1.13   13.62    1.32    2.10    0.36 
1986-03-06    6.12    4.61    0.61   -1.72    1.97    7.45    3.60    4.21    0.19 
1986-03-07    4.72    1.56   -0.75   -1.87    2.07    7.61    1.75    3.98    0.12 
1986-03-08    3.80    0.46    0.22   -1.86    1.94    7.56    0.91    3.41    0.65 
1986-03-09    3.34    0.15    0.85   -0.69    1.53    9.79   -2.60    3.16    0.58 
1986-03-10    4.12    3.05    1.36   -1.41    2.05    7.95    1.05    3.16    1.20 
1986-03-11    5.16    2.58    0.79   -0.81    1.30    8.33    3.11    1.77    0.80 
1986-03-12    7.38    3.25    0.81    0.86    1.51   13.84    2.20    3.11    0.40 
1986-03-13    3.68    3.01    1.96   -2.21    3.24    5.72    1.78    4.36    1.66 
1986-03-14    5.41    2.19    0.37   -1.97    2.13    9.42    2.73    3.13    0.25 
1986-03-15    6.16    1.69    0.02    1.53    1.63   14.08   -2.06    2.70    0.06 
1986-03-16    7.44    3.09   -0.39    0.95    1.59   14.73   -0.21    2.31    0.37 
