#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    7.19    4.64    1.62    2.72    3.23   11.61    0.40    4.99    1.07 
1986-01-02    7.36    2.03    2.38    3.05    3.89   10.21    4.72    5.11    1.29 
1986-01-03    5.63    1.89    2.64    0.56    3.42    7.99    4.01    5.39    1.76 
1986-01-04    3.65    2.03    1.14   -0.77    1.95    5.68    0.93    2.64    0.73 
1986-01-05    4.14    0.30    2.91    0.63    3.92    8.13    1.53    4.91    2.24 
1986-01-06    3.66    0.70    2.34    0.04    2.95    6.24    2.05    4.23    0.95 
1986-01-07    6.25    2.15    1.41    3.54    3.82    8.33    4.30    5.29    1.40 
1986-01-08    4.63    2.53    1.68    0.20    2.08    8.19    0.85    3.72    1.30 
1986-01-09    5.98    4.20    1.28   -0.67    1.80    8.75    1.97    3.54    0.47 
1986-01-10    5.01    1.54    0.79    1.93    2.09   10.93   -0.80    2.52    1.64 
1986-01-11    6.26    3.69    1.05    0.73    1.97   10.81    2.37    2.45    0.96 
1986-01-12    5.76    4.15    2.00   -0.82    2.46    7.86    3.00    3.90    1.59 
1986-01-13    4.67    2.24    0.89    0.91    1.37   10.28    0.56    1.83    0.44 
1986-01-14    5.05    1.30    0.91    1.73    1.97   11.22   -0.94    2.49    1.53 
1986-01-15    8.70    7.40    1.22   -0.10    1.66    9.75    7.21    2.40    1.13 
1986-01-16    5.98    3.56    1.12   -1.75    2.15    7.48    4.29    3.33    0.85 
1986-01-17    6.69    5.83    1.47   -1.00    1.91    9.32    3.68    3.69    1.04 
1986-01-18    8.37    6.47    0.53    1.14    1.31   12.77    4.38    2.26    0.85 
1986-01-19    7.55    3.36    0.94    1.79    2.15   13.22    3.01    2.88    1.14 
1986-01-20    6.84    5.62   -0.12   -0.42    1.10    7.68    6.24    1.81    0.76 
1986-01-21    6.95    4.81    0.47    0.26    0.89    9.16    5.29    1.65    0.21 
1986-01-22    5.33    2.05    1.38    1.64    2.38    9.08   -0.73    3.54    1.39 
1986-01-23    9.68    5.24    1.67    1.86    2.64   14.34    6.56    3.63    1.46 
1986-01-24    5.71    3.28    2.56   -1.81    3.39    8.88    2.64    4.83    1.84 
1986-01-25    3.69    2.20    1.19   -1.56    2.04    6.00    2.08    3.23    1.16 
1986-01-26    4.92    2.28    1.39   -0.28    1.49    9.03    1.13    2.86    0.80 
1986-01-27    6.84    4.87    2.43   -1.31    2.83   10.32    3.80    4.14    1.67 
1986-01-28    3.93   -0.21    1.08    0.75    1.77    6.45    2.10    4.37    0.86 
1986-01-29    3.45   -1.67    1.97    1.04    2.78    5.42    1.79    4.45    1.01 
1986-01-30    1.36   -0.92    3.14   -0.93    3.48    3.42    0.42    5.60    1.68 
1986-01-31    2.51    2.15    1.85   -2.42    3.09    4.16    0.63    3.79    2.25 
1986-02-01    2.35    1.80    2.04   -0.84    2.30    3.27    1.54    3.08    1.56 
1986-02-02    2.28    1.48    1.50    0.39    1.60    3.38    1.53    2.69    0.77 
1986-02-03    2.06    0.03    1.08    0.36    1.39    5.32   -2.04    2.42    0.37 
1986-02-04    0.47   -0.86    0.57    0.78    1.24    3.54   -3.26    1.90    0.47 
1986-02-05    2.79    2.23    1.23   -0.96    1.63    4.68    1.57    2.83    0.62 
1986-02-06    1.91    0.87    0.85    0.45    1.15    4.58   -1.10    1.44    0.84 
1986-02-07    2.16   -0.59    0.97    1.81    2.09    7.34   -1.86    3.24    1.19 
1986-02-08    2.10   -0.81    2.07   -1.57    2.85    4.56   -0.30    4.20    1.37 
1986-02-09   -1.00   -3.85   -0.22   -1.60    1.75    0.20   -2.54    2.56    0.72 
1986-02-10   -1.96   -6.27   -0.53   -0.20    0.74    1.31   -4.20    1.50    0.20 
1986-02-11   -1.82   -6.10   -0.02    0.20    0.97    3.18   -5.30    1.56    0.29 
1986-02-12    1.75   -3.02    0.19    1.65    1.69    8.88   -4.47    3.05    0.77 
1986-02-13    7.48    2.56    1.17    2.57    2.92   11.20    5.16    3.80    1.81 
1986-02-14    6.32    3.31    0.56    1.90    2.11   10.44    3.56    3.22    0.22 
1986-02-15    7.08    3.38    1.06    1.63    2.10   12.18    2.97    3.67    0.32 
1986-02-16   10.17    6.05    1.36    3.64    3.93   16.23    7.18    6.07    2.08 
1986-02-17    8.83    2.36    2.37    3.86    4.56   12.12    6.56    6.57    1.83 
1986-02-18    5.72    3.58    1.93   -0.63    2.22    7.22    1.99    3.51    0.98 
1986-02-19    2.84    0.66    1.39   -0.93    2.09    4.73    1.22    2.94    0.31 
1986-02-20    3.42    0.33   -0.32    0.77    1.09    9.28   -1.01    2.46    0.38 
1986-02-21    6.81    3.94    1.78    0.24    2.83    9.85    3.80    4.80    1.24 
1986-02-22    8.07    4.50    1.58    2.54    3.04   13.00    1.95    4.53    1.18 
1986-02-23   11.95    8.39    2.26    2.30    3.68   15.09    8.93    6.64    0.59 
1986-02-24    8.90    6.84   -0.22   -0.41    0.63   12.02    7.03    1.55    0.06 
1986-02-25    6.90    4.10    0.22    0.58    1.04   11.44    2.27    1.77    0.08 
1986-02-26    8.85    4.88    0.52    2.66    2.77   12.96    3.18    5.04    1.86 
1986-02-27    9.78    5.67   -0.75    2.80    2.94   13.96    6.98    3.94    1.97 
1986-02-28   10.22    5.77   -1.35    3.31    3.60   14.54    7.82    4.86    2.76 
1986-03-01   10.75    7.42   -0.41    1.45    1.65   15.73    6.49    3.13    0.06 
1986-03-02    8.66    6.86    1.11    0.34    1.85   12.30    6.13    3.18    1.23 
1986-03-03    6.99    3.52    0.40   -0.50    1.28   11.60    2.71    2.07    0.19 
1986-03-04    6.76    3.05    0.03    0.19    0.91   12.81    1.10    2.07    0.10 
1986-03-05    7.26    3.30    0.25    0.03    1.29   14.08    0.16    1.94    0.47 
1986-03-06    7.08    5.56    0.95   -1.44    2.00    8.35    4.71    3.99    0.17 
1986-03-07    5.47    2.34   -0.91   -1.06    1.75    7.97    3.36    3.50    0.34 
1986-03-08    4.65    1.76   -0.24   -1.36    1.58    7.67    1.00    2.68    0.22 
1986-03-09    3.61    0.56    1.00   -0.20    1.73   10.17   -2.40    3.04    0.66 
