#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    4.67    2.92    0.57    2.67    2.85    7.95    1.33    3.80    1.91 
1986-01-02    7.43    2.12    1.64    2.72    3.23   10.48    4.25    4.41    1.12 
1986-01-03    5.61    1.92    2.43    1.22    3.41    7.84    4.23    4.41    1.88 
1986-01-04    2.95    1.05    0.15   -0.47    1.27    4.22   -0.10    2.05    0.25 
1986-01-05    2.88    0.40    2.54    1.34    3.94    5.91    0.66    5.52    2.21 
1986-01-06    2.72    1.68    2.48   -0.56    3.19    4.79    0.22    5.06    1.42 
1986-01-07    4.31    0.83   -0.17    3.39    3.41    7.93    0.19    5.01    1.98 
1986-01-08    4.67    3.16    2.04    0.40    2.37    7.11    3.14    3.61    1.72 
1986-01-09    5.59    4.54    1.07   -1.48    2.18    7.84    3.33    4.15    0.87 
1986-01-10    5.55    2.85    0.08    1.13    1.31   12.56   -0.83    2.08    0.60 
1986-01-11    7.51    5.15    1.39    0.51    2.18   13.01    4.42    3.20    1.37 
1986-01-12    6.05    4.95    2.61   -0.95    2.92    6.62    5.15    4.08    2.16 
1986-01-13    6.31    5.03    1.65   -0.28    2.03    8.80    0.92    3.15    1.01 
1986-01-14    5.90    3.36    1.93    0.89    2.53   10.74   -0.22    3.73    1.53 
1986-01-15    8.47    8.14    1.94   -1.20    2.34    9.34    6.25    3.54    1.64 
1986-01-16    5.16    3.77    1.12   -2.12    2.51    6.50    3.04    3.96    0.30 
1986-01-17    5.47    5.16    1.18   -0.75    1.46    8.10    2.08    2.23    0.83 
1986-01-18    7.62    6.00    0.46    0.75    1.12   12.05    3.39    2.18    0.26 
1986-01-19    7.55    4.19    0.46    1.55    1.90   14.24    3.30    2.46    1.16 
1986-01-20    6.97    4.70    0.37   -0.63    1.25    8.51    4.33    2.37    0.47 
1986-01-21    5.71    4.05    0.50    0.82    1.25    8.17    3.74    1.90    0.61 
1986-01-22    5.92    2.35    1.94    1.10    2.52    8.89    3.48    3.34    1.47 
1986-01-23    8.60    5.50    1.68    1.72    2.66   12.54    5.82    3.42    1.78 
1986-01-24    5.16    2.82    3.21   -2.07    4.11    8.29    2.94    6.77    2.76 
1986-01-25    3.24    2.46    0.70   -1.54    1.72    5.52    1.35    3.00    0.46 
1986-01-26    3.36    1.33    1.07    0.18    1.46    6.56   -1.02    3.34    0.37 
1986-01-27    6.49    5.88    2.57   -1.22    2.94    8.21    4.55    4.12    2.18 
1986-01-28    2.77    1.56    0.83    0.80    1.55    4.29    0.41    2.81    0.72 
1986-01-29    2.03   -0.66    1.40    1.87    2.97    4.69    0.38    3.98    1.95 
1986-01-30    1.37   -0.72    1.61    0.15    2.46    3.65   -0.28    3.81    1.77 
1986-01-31    2.10    1.37    1.42   -2.79    3.23    2.91    1.34    4.21    2.30 
1986-02-01    1.57    0.89    1.16   -0.18    1.40    2.79    0.36    2.04    0.37 
1986-02-02    1.60    0.96    1.56    1.04    1.89    2.34    0.78    3.03    1.11 
1986-02-03    1.05   -1.19    0.82    0.98    1.53    3.89   -4.48    2.62    0.54 
