#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    6.47    4.20    1.56    3.41    3.99   10.01    2.77    5.14    2.56 
1986-01-02    8.24    2.66    2.44    3.14    4.06   10.87    5.62    5.11    1.82 
1986-01-03    6.35    2.23    3.90    0.90    4.89    8.31    4.73    6.20    3.32 
1986-01-04    3.97    2.54    0.69   -0.76    1.94    4.92    3.01    3.89    0.60 
1986-01-05    4.22    1.07    4.17    1.41    5.78    6.78    2.75    7.84    3.04 
1986-01-06    3.71    2.21    3.80   -0.64    4.61    5.29    2.09    7.50    1.98 
1986-01-07    5.68    1.60    0.05    4.39    4.43    8.35    3.33    5.76    2.77 
1986-01-08    5.58    3.37    3.47    0.18    3.73    7.87    3.94    5.04    2.68 
1986-01-09    6.61    4.78    1.96   -1.91    3.04    8.42    4.70    4.76    0.75 
1986-01-10    6.97    3.80    0.16    1.71    1.86   12.65    1.79    2.86    1.14 
1986-01-11    8.04    4.53    2.04    1.00    3.14   12.67    5.33    4.09    2.10 
1986-01-12    6.74    5.21    3.90   -1.19    4.27    7.28    5.97    5.32    3.70 
1986-01-13    6.98    4.84    2.48    0.11    2.66    9.63    2.06    4.25    1.47 
1986-01-14    7.39    3.63    2.57    1.36    3.31   11.68    1.76    4.66    1.75 
1986-01-15    8.98    8.76    2.99   -1.56    3.48   10.09    6.83    4.79    2.59 
1986-01-16    5.89    4.06    1.94   -2.74    3.44    6.99    1.79    4.76    1.06 
1986-01-17    6.47    5.68    2.37   -1.63    2.92    8.55    2.21    4.24    2.06 
1986-01-18    8.73    7.23    0.75    0.59    1.52   12.67    5.42    2.27    0.14 
1986-01-19    9.13    4.91    0.74    1.85    2.38   13.80    5.74    3.10    1.24 
1986-01-20    7.60    5.23    0.57   -0.63    1.52    9.07    6.50    3.00    0.28 
1986-01-21    6.98    4.83    0.88    0.71    1.56    8.38    5.11    3.74    0.90 
1986-01-22    6.54    2.56    2.77    1.53    3.56    9.51    4.34    4.68    2.61 
1986-01-23    9.92    5.83    2.59    1.96    3.64   13.30    6.93    4.73    2.57 
1986-01-24    5.97    3.46    4.51   -2.97    5.73    9.72    4.55    8.07    3.97 
1986-01-25    4.22    2.65    1.29   -2.33    2.73    5.71    1.70    4.25    1.12 
1986-01-26    4.72    2.38    1.87   -0.19    2.08    7.39    0.74    4.88    0.08 
1986-01-27    6.93    6.30    4.03   -1.60    4.41    9.24    4.54    5.66    3.47 
1986-01-28    3.57    1.76    1.55    1.01    2.47    5.46    2.19    4.12    1.04 
1986-01-29    3.02   -0.53    2.60    2.00    4.11    4.92    1.98    5.62    2.54 
1986-01-30    1.90   -0.09    3.08    0.11    3.82    3.79    0.20    5.71    2.21 
1986-01-31    3.17    2.09    1.93   -3.83    4.45    4.01    2.39    5.24    3.35 
1986-02-01    2.64    2.18    2.40   -0.89    2.69    3.86    1.92    4.06    1.04 
1986-02-02    2.14    1.94    2.99    0.57    3.06    2.51    1.61    4.15    1.64 
1986-02-03    2.36    0.37    1.87    0.96    2.36    4.91   -0.46    3.67    1.30 
1986-02-04    1.94    0.02    0.20    1.08    1.53    4.76   -0.82    2.70    0.35 
1986-02-05    2.96    2.73    1.72   -1.02    2.20    4.46    1.61    2.99    1.43 
1986-02-06    2.93    2.25    1.43   -0.29    1.61    5.25    1.74    2.26    0.49 
1986-02-07    3.26    0.41    0.93    1.89    2.35    7.37   -0.12    3.38    1.42 
1986-02-08    2.29    0.95    2.75   -1.21    3.81    4.47   -0.15    5.69    2.36 
1986-02-09   -1.29   -5.26   -0.35   -2.28    2.47   -0.31   -2.65    2.90    2.05 
1986-02-10   -2.69   -9.62   -1.32   -0.97    1.69    0.30   -5.07    2.22    1.03 
1986-02-11   -1.65  -10.31   -0.91   -0.30    1.35    2.74   -5.53    1.96    0.41 
1986-02-12    2.09   -3.07   -0.73    0.82    1.31    7.22   -1.91    3.35    0.17 
