#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    1.98    1.10   -0.23    1.14    1.63    4.57   -1.38    2.10    0.57 
1986-01-02    5.66    1.48    1.55    2.72    3.33    8.97    3.10    4.81    1.70 
1986-01-03    3.44    1.37    0.96    0.58    2.33    6.89    0.85    2.98    1.40 
1986-01-04    2.18    0.85    0.35   -1.65    1.88    3.77   -0.37    3.01    0.53 
1986-01-05    1.07   -0.83    0.98    0.24    2.65    3.98   -1.71    4.82    0.89 
1986-01-06    1.28    0.12    1.91   -1.61    2.93    3.36   -1.88    4.54    0.54 
1986-01-07    1.30   -0.12   -1.23    2.38    2.69    4.46   -2.14    4.44    1.10 
1986-01-08    2.78    1.42    1.23   -0.83    1.62    6.29   -0.19    3.55    0.27 
1986-01-09    3.98    3.06    1.05   -2.78    3.04    7.02    0.18    5.86    1.66 
1986-01-10    4.13    2.09    0.31   -1.12    1.23   11.15   -2.23    1.91    0.63 
1986-01-11    6.29    3.94    0.74   -1.03    1.50   10.50    3.47    3.00    0.16 
1986-01-12    4.08    3.21    1.59   -2.51    3.00    6.10    0.83    4.30    1.70 
1986-01-13    5.33    4.02    0.94   -1.77    2.11    8.11    1.18    2.97    1.01 
1986-01-14    4.87    1.80    0.78   -0.81    1.42    9.62   -0.76    2.47    0.13 
1986-01-15    7.88    7.33    1.55   -1.27    2.08    8.52    6.00    2.93    1.54 
1986-01-16    4.37    2.84    1.09   -3.66    3.82    6.03    1.90    5.98    1.66 
1986-01-17    4.59    3.96    0.91   -2.21    2.41    7.34    1.32    3.38    1.51 
1986-01-18    7.39    5.65    0.15   -0.39    1.08   11.09    3.86    1.47    0.43 
1986-01-19    6.68    2.88   -0.08    0.91    1.24   12.22    1.73    2.35    0.30 
1986-01-20    6.27    4.03    0.01   -1.44    1.65    7.46    3.86    2.39    0.56 
1986-01-21    5.74    2.75    0.42    0.65    1.11    8.42    3.81    1.90    0.62 
1986-01-22    4.51    1.25    1.47    0.03    1.96    7.63    0.92    2.66    0.70 
1986-01-23    7.44    4.48    1.80    1.09    2.42   12.11    4.28    4.30    1.44 
1986-01-24    4.37    2.59    2.61   -2.88    4.22    7.16    1.68    5.91    3.19 
1986-01-25    2.09    1.22    0.85   -2.99    3.12    4.39   -0.34    4.08    2.03 
1986-01-26    1.93   -0.17    0.81   -1.87    2.16    5.91   -2.40    3.23    1.32 
1986-01-27    5.60    4.95    1.61   -1.63    2.32    7.99    3.66    3.08    1.47 
1986-01-28    1.61    0.68    0.30   -0.42    1.31    3.38   -1.54    2.19    0.62 
1986-01-29   -0.36   -2.03    0.22    1.14    1.99    3.30   -4.31    3.20    0.88 
1986-01-30   -0.61   -2.21    1.13   -0.93    2.35    2.06   -4.15    4.63    0.39 
1986-01-31    1.16    0.35    1.72   -4.38    4.75    1.99    0.31    6.51    2.23 
1986-02-01    0.96    0.34    1.35   -0.98    1.81    2.18    0.13    2.65    1.11 
1986-02-02    0.97    0.47    1.13    1.00    1.73    2.02    0.15    3.11    1.06 
1986-02-03    1.03   -1.09    0.36    0.12    0.95    3.72   -2.67    1.59    0.24 
1986-02-04   -0.64   -2.62   -0.42   -0.38    1.26    4.54   -4.55    1.66    0.20 
1986-02-05    0.11   -0.61    1.15   -2.18    2.50    2.82   -2.60    4.07    1.33 
1986-02-06    0.47   -0.44    0.62   -1.48    1.61    3.10   -1.54    2.87    0.75 
1986-02-07    0.61   -1.19    0.08    1.42    1.92    3.86   -3.05    3.63    0.38 
1986-02-08    0.22   -1.12    1.42   -1.92    3.13    1.90   -2.36    4.82    0.78 
1986-02-09   -4.84   -7.25    0.50   -3.54    3.58   -2.61   -9.32    4.53    2.71 
1986-02-10   -9.43  -13.88    0.38   -2.81    2.86   -2.53  -14.15    4.02    2.24 
1986-02-11   -7.28  -12.83    0.17   -2.45    2.47    0.56  -12.91    3.61    1.87 
1986-02-12   -3.15   -7.04   -0.16   -0.87    1.64    5.53  -10.75    2.35    0.15 
1986-02-13    1.43   -0.48   -0.88    1.98    2.22    4.70   -1.93    2.95    1.50 
1986-02-14    1.71    0.95   -1.31    2.33    2.70    4.39   -1.93    5.31    1.14 
1986-02-15    4.62    2.43    0.84    0.48    1.50    8.78    1.22    3.69    0.28 
1986-02-16    6.56    4.80   -0.62    2.72    2.96   13.07    1.74    6.13    1.29 
1986-02-17    6.62    2.46   -0.49    3.52    3.70   10.37    3.63    5.32    3.01 
1986-02-18    4.64    3.34    0.41   -0.31    1.61    6.98    2.34    3.36    0.24 
1986-02-19    1.28   -0.24    1.57   -1.54    2.64    3.54   -0.72    5.01    0.78 
1986-02-20    1.16   -2.16   -0.33   -0.31    1.08    6.90   -3.45    1.87    0.27 
