#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    7.50    5.24    1.98    3.39    4.15   11.61    3.12    5.66    3.02 
1986-01-02    8.68    3.13    2.68    3.17    4.25   11.18    6.21    5.32    2.27 
1986-01-03    6.74    2.40    4.08    0.77    5.02    8.67    5.08    6.23    3.56 
1986-01-04    4.35    2.95    0.90   -0.88    2.10    5.30    3.40    4.05    1.04 
1986-01-05    4.82    1.28    4.45    1.29    5.92    7.59    3.23    7.88    2.99 
1986-01-06    4.23    2.32    3.83   -0.51    4.60    5.73    2.89    7.54    2.02 
1986-01-07    6.39    1.91    0.38    4.33    4.39    8.88    4.32    5.54    2.74 
1986-01-08    5.99    3.76    3.56    0.15    3.79    8.35    4.41    5.09    2.67 
1986-01-09    7.03    5.12    2.03   -1.77    2.97    8.72    5.43    4.53    0.51 
1986-01-10    7.04    3.81    0.30    1.88    2.01   12.51    1.85    2.83    1.41 
1986-01-11    8.13    4.53    2.08    1.12    3.15   12.64    5.29    3.91    2.24 
1986-01-12    7.01    5.32    3.89   -1.14    4.28    7.73    6.24    5.16    3.79 
1986-01-13    7.39    4.91    2.43    0.28    2.59   10.14    3.12    4.00    1.48 
1986-01-14    7.62    3.59    2.41    1.58    3.25   12.08    2.95    4.32    1.79 
1986-01-15    9.34    9.01    2.94   -1.34    3.35   10.25    7.22    4.46    2.30 
1986-01-16    6.41    4.46    1.98   -2.62    3.37    7.48    4.37    4.64    1.20 
1986-01-17    7.03    6.03    2.47   -1.65    3.03    8.97    4.39    4.45    1.97 
1986-01-18    9.21    7.64    0.75    0.59    1.48   12.99    6.06    2.22    0.07 
1986-01-19    9.38    4.81    0.94    1.89    2.47   13.90    6.11    3.13    1.55 
1986-01-20    7.87    5.80    0.54   -0.60    1.46    9.21    7.20    3.07    0.19 
1986-01-21    7.29    5.31    0.95    0.63    1.58    8.65    5.56    3.84    0.83 
1986-01-22    6.87    2.83    2.77    1.68    3.61    9.81    4.54    4.85    2.56 
1986-01-23   10.31    6.07    2.68    2.03    3.73   13.80    7.20    4.82    2.67 
1986-01-24    6.31    3.77    4.52   -2.95    5.72   10.19    4.70    7.84    4.06 
1986-01-25    4.59    2.94    1.38   -2.30    2.78    6.22    2.23    3.92    1.08 
1986-01-26    5.03    2.72    1.87   -0.22    2.08    7.94    0.84    4.77    0.17 
1986-01-27    7.22    6.42    4.08   -1.53    4.42    9.72    4.71    5.71    3.38 
1986-01-28    4.02    1.92    1.60    1.04    2.51    5.96    2.83    4.36    1.09 
1986-01-29    3.54   -0.53    2.87    1.80    4.17    5.31    2.57    5.69    2.50 
1986-01-30    2.21    0.26    3.35   -0.06    4.01    4.10    0.62    5.80    2.36 
1986-01-31    3.66    2.77    1.95   -3.77    4.41    4.86    2.77    5.29    3.27 
1986-02-01    3.01    2.58    2.62   -1.09    2.96    4.06    2.30    4.39    1.17 
1986-02-02    2.48    2.30    3.10    0.51    3.16    2.79    2.03    4.20    1.61 
1986-02-03    2.95    0.95    1.95    0.88    2.39    5.97   -0.11    3.84    1.25 
1986-02-04    2.50    0.64    0.23    1.05    1.43    5.10   -0.31    2.49    0.25 
1986-02-05    3.49    3.05    1.69   -1.14    2.20    5.04    2.29    2.96    1.23 
1986-02-06    3.29    2.66    1.53   -0.22    1.64    5.56    1.78    2.25    0.82 
1986-02-07    3.55    0.79    1.03    1.90    2.38    7.82    0.34    3.33    1.57 
1986-02-08    2.65    1.14    2.81   -1.36    3.87    4.76    0.42    5.34    2.51 
1986-02-09   -0.66   -4.67   -0.45   -2.38    2.58    0.32   -1.96    3.12    2.19 
1986-02-10   -1.91   -8.41   -1.34   -1.04    1.74    0.79   -3.80    2.21    1.07 
1986-02-11   -1.03   -8.18   -0.85   -0.41    1.33    2.91   -4.58    2.09    0.51 
1986-02-12    2.47   -2.39   -0.77    0.76    1.26    7.67   -1.56    3.17    0.13 
1986-02-13    6.26    1.97   -0.29    3.08    3.21   10.54    3.62    4.73    1.10 
1986-02-14    6.29    3.38   -0.15    3.20    3.24   10.15    3.65    4.51    1.87 
1986-02-15    7.71    3.87    1.63    1.56    2.72   11.75    3.91    4.44    0.18 
1986-02-16   10.70    6.20    0.78    3.98    4.21   16.24    7.50    5.77    2.80 
1986-02-17    9.93    2.42    1.76    3.88    4.33   13.05    7.66    5.95    2.02 
1986-02-18    6.50    4.45    3.11   -0.11    3.47    7.67    5.01    4.65    2.02 
1986-02-19    3.62    0.93    3.31   -1.51    3.94    4.84    2.61    5.58    0.67 
1986-02-20    3.90    0.01   -0.91    0.14    1.37    7.96   -0.30    2.84    0.44 
1986-02-21    5.84    4.01    1.83    0.52    3.68    8.76    3.29    5.97    1.44 
1986-02-22    9.33    5.39    1.60    2.48    3.04   13.35    5.70    4.67    1.48 
1986-02-23   12.23    8.82    2.39    2.21    4.04   15.18    9.07    6.64    0.85 
1986-02-24    8.94    6.90   -0.14    0.03    0.83   11.41    5.95    1.57    0.09 
1986-02-25    7.52    5.13   -0.13    0.31    1.19   11.23    3.71    2.05    0.29 
1986-02-26    9.09    4.88   -0.61    3.07    3.16   13.54    5.49    4.56    2.22 
1986-02-27   10.10    5.52   -1.17    4.96    5.10   12.37    7.96    6.21    4.46 
1986-02-28   10.65    6.06   -1.48    5.28    5.51   12.96    9.38    6.80    2.91 
