#  fecha#  T_2m#  Td_2m#  u_10#  v_10#  wind_speed_10#  T_2m_max#  T_2m_min#  wind_speed_max#  wind_speed_min

1986-01-01    5.27    4.09    1.20    2.07    2.46    9.59   -0.51    3.65    1.58 
1986-01-02    7.24    2.28    2.50    2.49    3.55    9.68    5.07    4.66    2.31 
1986-01-03    4.99    1.69    2.48    0.39    3.09    7.71    3.35    4.05    1.97 
1986-01-04    2.82    1.85    0.95   -0.94    1.70    4.29    0.01    2.55    0.39 
1986-01-05    2.65   -0.09    2.16    0.44    3.19    5.14    0.49    4.83    1.18 
1986-01-06    2.03    0.96    2.19   -0.49    2.67    4.23    0.05    4.68    0.64 
1986-01-07    3.34    0.74   -0.28    2.54    2.59    6.35    0.93    3.44    1.33 
1986-01-08    3.51    2.07    1.76   -0.11    2.04    7.18    0.68    3.49    1.18 
1986-01-09    5.07    4.21    1.38   -1.51    2.16    7.45    2.78    4.17    0.57 
1986-01-10    4.89    2.31    0.79    0.86    1.21   11.16   -1.16    1.52    0.81 
1986-01-11    5.99    3.53    1.30    0.13    1.80   11.20    1.64    2.53    1.19 
1986-01-12    4.98    4.09    2.12   -1.44    2.68    6.51    2.60    3.87    1.83 
1986-01-13    5.66    3.77    1.36   -0.21    1.51    8.95    1.46    2.13    0.87 
1986-01-14    5.02    1.48    1.37    0.66    1.63   10.67   -0.88    2.17    1.09 
1986-01-15    8.02    7.57    1.71   -0.73    1.96    8.65    6.30    2.55    1.46 
1986-01-16    4.94    3.79    1.46   -2.32    2.76    6.36    2.18    4.19    1.11 
1986-01-17    5.34    5.03    1.38   -1.33    1.96    7.86    1.80    3.15    1.21 
1986-01-18    8.07    6.46    0.63    0.45    1.10   12.23    4.34    1.86    0.60 
1986-01-19    6.58    3.15    0.69    1.42    1.81   13.18    1.28    2.46    1.18 
1986-01-20    6.44    5.15    0.14   -0.59    1.07    7.22    5.56    1.59    0.52 
1986-01-21    5.78    4.05    0.66    0.65    1.13    8.03    3.72    1.67    0.50 
1986-01-22    5.11    2.02    1.75    0.83    2.12    8.45    1.06    2.91    0.95 
1986-01-23    8.89    5.28    2.33    1.34    2.79   13.04    5.52    3.79    2.00 
1986-01-24    4.92    3.30    2.78   -2.14    3.74    8.55    2.60    5.13    2.93 
1986-01-25    2.75    2.10    1.09   -1.90    2.22    4.51    0.87    3.07    1.15 
1986-01-26    3.49    1.72    1.26   -0.72    1.50    6.79   -0.13    2.69    0.51 
1986-01-27    6.01    5.40    2.03   -1.18    2.37    8.85    3.56    3.46    1.45 
1986-01-28    2.32    0.74    0.70    0.38    1.30    4.49    0.08    2.60    0.69 
1986-01-29    1.48   -1.43    0.99    1.07    2.15    4.70   -0.27    3.19    1.06 
1986-01-30    0.43   -1.31    1.77   -0.38    2.40    3.08   -2.03    3.88    1.21 
1986-01-31    2.08    1.89    1.54   -2.65    3.13    3.42    0.74    3.84    2.60 
1986-02-01    1.57    1.23    1.87   -0.74    2.11    2.34    0.98    2.86    1.25 
1986-02-02    1.18    0.87    1.52    0.69    1.70    1.88    0.51    2.77    0.78 
1986-02-03    0.86   -0.74    0.86    0.45    1.26    3.75   -2.61    2.25    0.38 
1986-02-04   -0.27   -1.52   -0.08    0.49    1.01    3.72   -4.01    1.68    0.11 
1986-02-05    1.68    1.43    1.16   -1.08    1.61    3.16    0.43    2.53    0.76 
1986-02-06    1.39    0.90    1.09   -0.42    1.20    3.51   -0.19    1.94    0.74 
