
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-10-03,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A12441

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1994-12-14,10:14:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 163
* <Unknown> DIC1494

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
247.9,0,268.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.060,27.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
947.90,0.000,8.5,0.5,250,2,0,640,56,25.3
944.43,0.000,7.9,1.1,243,0,2,670,57,25.2
943.74,0.000,7.9,1.1,245,0,4,676,59,25.2
942.82,0.000,7.9,1.2,246,0,6,684,59,25.2
941.90,0.000,8.1,1.3,247,0,8,692,59,25.2
940.75,0.000,8.4,1.4,249,0,10,702,59,25.1
939.60,0.000,8.6,1.4,250,0,12,713,59,25.1
938.69,0.000,8.9,1.5,252,0,14,721,58,25.0
937.54,0.000,9.3,1.6,253,0,16,731,57,25.0
936.63,0.000,9.4,1.7,255,0,18,739,56,25.0
935.71,0.000,9.5,1.7,256,0,20,747,56,24.9
935.03,0.000,9.6,1.8,258,0,22,753,55,24.9
933.89,0.000,9.6,1.9,260,0,24,763,55,24.9
932.75,0.000,9.5,1.9,261,0,26,773,55,24.9
931.84,0.000,9.5,2.0,263,0,28,781,55,24.9
930.70,0.000,9.5,2.0,265,0,30,792,55,24.9
929.79,0.000,9.5,2.1,267,0,32,800,56,24.8
928.66,0.000,9.5,2.2,269,0,34,810,57,24.8
927.75,0.000,9.5,2.2,271,0,36,818,58,24.8
927.07,0.000,9.5,2.3,273,0,38,824,58,24.8
926.17,0.000,9.5,2.3,276,0,40,832,58,24.7
925.00,0.000,9.6,2.3,278,3,42,842,58,24.7
924.81,0.000,9.6,2.3,278,0,42,844,58,24.7
923.68,0.000,9.9,2.4,281,0,44,854,59,24.7
923.01,0.000,10.0,2.4,283,0,46,860,59,24.7
922.33,0.000,10.1,2.4,286,0,48,867,59,24.7
920.98,0.010,10.1,2.5,289,0,50,879,58,24.7
919.86,0.010,10.1,2.5,292,0,52,889,58,24.7
918.96,0.010,10.2,2.5,295,0,54,897,58,24.6
918.06,0.030,10.4,2.5,298,0,56,905,57,24.6
916.94,0.030,10.5,2.5,302,0,58,915,56,24.7
915.60,0.070,10.6,2.5,305,0,60,927,56,24.7
914.48,0.090,10.7,2.5,309,2,62,938,55,24.7
913.59,0.150,10.9,2.5,313,0,64,946,55,24.6
912.92,0.220,11.0,2.5,317,0,66,952,55,24.6
912.03,0.260,11.0,2.5,321,0,68,960,56,24.6
910.92,0.350,11.1,2.4,326,0,70,970,57,24.6
909.58,0.460,11.1,2.4,330,0,72,982,58,24.7
908.48,0.490,11.2,2.4,335,0,74,993,58,24.6
907.59,0.550,11.3,2.3,339,0,76,1001,58,24.7
906.92,0.650,11.4,2.3,344,0,78,1007,56,24.6
906.26,0.780,11.5,2.3,349,0,80,1013,54,24.7
905.15,0.860,11.5,2.2,354,0,82,1023,53,24.6
903.61,1.030,11.6,2.2,359,0,84,1038,52,24.6
902.95,1.160,11.6,2.1,4,0,86,1044,52,24.6
902.07,1.270,11.6,2.0,8,0,88,1052,53,24.6
900.97,1.420,11.6,2.0,13,0,90,1062,53,24.5
899.87,1.500,11.6,1.9,18,0,92,1072,53,24.5
898.99,1.600,11.8,1.9,23,0,94,1080,52,24.5
898.33,1.640,11.9,1.8,27,0,96,1087,49,24.5
897.23,1.740,11.9,1.8,32,0,98,1097,49,24.5
896.14,1.770,12.1,1.7,36,0,100,1107,48,24.5
895.05,1.790,12.3,1.7,40,0,102,1117,48,24.6
893.95,1.870,12.4,1.6,44,0,104,1127,47,24.6
893.08,1.960,12.5,1.6,47,0,106,1136,45,24.7
891.99,1.990,12.5,1.5,51,0,108,1146,43,24.7
890.90,2.040,12.6,1.5,54,2,110,1156,41,24.7
890.03,2.080,12.6,1.4,57,0,112,1164,40,24.7
889.17,2.110,12.6,1.4,60,0,114,1172,40,24.7
888.08,2.160,12.5,1.3,63,0,116,1183,40,24.8
887.00,2.180,12.5,1.3,66,0,118,1193,39,24.8
885.92,2.200,12.5,1.2,68,0,120,1203,39,24.8
885.05,2.240,12.5,1.1,67,0,122,1211,39,24.9
883.97,2.280,12.5,1.0,69,0,124,1222,42,24.9
882.89,2.290,12.5,1.0,70,0,126,1232,43,24.9
881.82,2.320,12.4,1.0,72,0,128,1242,43,24.9
880.74,2.360,12.4,1.0,74,0,130,1252,43,24.9
879.66,2.390,12.5,0.9,76,0,132,1263,43,24.9
878.59,2.410,12.4,0.9,77,0,134,1273,43,24.9
