
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a12580

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-02-20,11:23:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 215
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
223.9,0,253.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.36,0.890,14.0,0.0,0,2,0,640,40
945.59,0.930,13.1,1.9,162,0,2,665,40
944.43,0.960,12.7,2.3,158,0,4,675,42
943.05,1.030,12.2,2.6,154,2,6,687,43
941.90,1.110,12.1,3.0,150,0,8,697,44
940.75,1.200,11.9,3.3,147,0,10,708,45
939.60,1.200,11.8,3.6,144,0,12,718,46
938.23,1.200,11.6,3.9,141,0,14,730,46
936.86,1.200,11.5,4.1,139,0,16,742,47
935.48,1.170,11.4,4.3,137,0,18,755,47
934.12,1.150,11.1,4.5,136,0,20,767,48
932.75,1.130,11.0,4.7,134,0,22,779,48
931.61,1.120,10.9,4.8,133,0,24,789,48
930.02,1.120,10.8,4.9,132,0,26,803,48
928.43,1.120,10.7,5.0,132,0,28,818,49
927.07,1.130,10.6,5.1,132,0,30,830,49
925.71,1.130,10.5,5.1,131,0,32,842,49
925.00,1.150,10.4,5.1,131,3,33,848,49
924.13,1.150,10.3,5.2,131,0,34,856,50
922.78,1.190,10.2,5.2,131,0,36,868,50
921.66,1.190,10.1,5.2,131,0,38,879,51
920.53,1.190,10.0,5.2,132,0,40,889,51
919.18,1.210,9.8,5.2,132,0,42,901,52
917.84,1.210,9.6,5.2,132,0,44,913,52
916.72,1.200,9.5,5.2,132,0,46,923,52
915.15,1.200,9.3,5.2,133,0,48,937,52
913.81,1.200,9.1,5.2,133,0,50,950,53
