
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a14898

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-02-22,11:01:00
* SOFTWARE: SNDPRO 1.32
* NO TROPOPAUSE FOUND
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
31.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.51,1.620,8.0,0.0,0,2,0,640,40
944.20,1.660,7.2,0.0,0,0,2,660,45
943.51,1.670,7.0,0.0,0,0,4,666,46
942.59,1.700,6.7,0.0,0,0,6,674,47
941.44,1.700,6.4,0.0,0,0,8,684,49
940.52,1.750,6.2,0.0,0,0,10,692,50
939.60,1.760,6.1,0.0,0,0,12,700,51
938.92,1.770,6.0,0.0,0,0,14,706,51
938.00,1.810,5.9,0.0,0,0,16,714,52
937.31,1.820,5.8,0.5,135,0,18,720,53
936.17,1.830,5.7,0.5,132,0,20,730,53
935.48,1.860,5.6,0.5,129,0,22,736,53
934.80,1.900,5.6,0.6,125,0,24,742,54
934.12,1.920,5.5,0.6,122,0,26,748,54
933.43,1.930,5.5,0.6,119,0,28,754,54
932.98,1.930,5.4,0.7,115,0,30,758,55
932.06,1.930,5.4,0.7,112,0,32,766,55
930.93,1.940,5.3,0.7,109,0,34,776,55
930.02,1.960,5.2,0.7,106,0,36,784,55
929.11,1.970,5.2,0.8,103,0,38,792,55
928.43,1.970,5.2,0.8,101,0,40,798,55
927.52,1.970,5.1,0.8,98,0,42,806,56
926.85,1.980,5.0,0.8,95,0,44,812,56
926.17,1.980,5.0,0.9,93,0,46,818,56
925.49,1.980,4.9,0.9,90,0,48,824,57
925.00,1.990,4.8,0.9,88,3,49,828,57
924.81,1.990,4.8,0.9,88,0,50,830,57
923.91,2.020,4.7,0.9,85,0,52,838,57
922.78,2.040,4.6,0.9,83,0,54,848,57
921.88,2.050,4.6,0.9,81,0,56,856,58
921.21,2.050,4.5,1.0,79,0,58,862,57
920.31,2.050,4.5,1.0,78,0,60,870,57
919.41,2.050,4.4,1.0,76,0,62,878,58
918.74,2.050,4.2,1.0,74,0,64,884,58
917.84,2.030,4.1,1.0,73,0,66,891,58
916.72,2.050,4.0,1.0,72,0,68,901,59
915.82,2.030,3.8,1.0,71,0,70,909,59
914.93,2.040,3.8,1.0,70,0,72,917,60
914.26,2.040,3.7,1.0,69,0,74,923,60
913.37,2.050,3.7,1.0,68,0,76,931,60
912.70,2.060,3.7,1.0,67,0,78,937,60
912.25,2.060,3.7,1.0,66,0,80,941,60
911.36,2.060,3.6,1.0,66,0,82,949,60
910.47,2.060,3.5,1.0,65,0,84,957,61
909.36,2.060,3.4,1.0,65,0,86,967,61
908.48,2.060,3.3,1.0,64,0,88,975,61
907.59,2.070,3.2,1.0,64,0,90,983,61
906.70,2.080,3.1,1.0,64,0,92,991,61
905.82,2.080,3.0,1.0,64,0,94,998,62
904.93,2.080,2.9,1.0,63,0,96,1006,62
903.83,2.080,2.8,1.0,63,0,98,1016,62
902.29,2.080,2.7,1.0,63,0,100,1030,63
900.75,2.090,2.6,0.9,65,0,102,1044,64
899.21,2.090,2.5,0.9,65,0,104,1058,64
897.89,2.090,2.4,0.9,65,0,106,1070,64
896.58,2.080,2.2,0.9,64,0,108,1081,64
895.70,2.090,2.1,0.9,64,0,110,1089,65
894.61,2.090,2.0,0.9,64,0,112,1099,65
893.52,2.090,2.0,0.8,63,0,114,1109,65
892.65,2.090,1.8,0.8,63,0,116,1117,66
891.77,2.090,1.8,0.8,62,0,118,1125,66
891.12,2.090,1.7,0.8,61,0,120,1131,67
890.25,2.090,1.6,0.7,57,0,122,1139,67
889.17,2.090,1.5,0.7,55,0,124,1148,67
888.30,2.090,1.5,0.7,54,0,126,1156,67
887.00,2.090,1.4,0.7,52,0,128,1168,68
885.70,2.110,1.3,0.7,50,0,130,1180,68
884.62,2.130,1.2,0.6,43,0,132,1190,68
883.97,2.130,1.1,0.6,41,0,134,1196,69
882.89,2.110,1.0,0.6,39,0,136,1205,69
881.82,2.120,0.9,0.6,36,0,138,1215,70
880.74,2.120,0.9,0.6,34,0,140,1225,70
879.66,2.120,0.8,0.5,32,0,142,1235,70
878.38,2.120,0.6,0.5,29,0,144,1247,71
877.52,2.120,0.5,0.5,27,0,146,1254,71
876.45,2.120,0.4,0.5,24,0,148,1264,71
875.59,2.120,0.3,0.5,22,0,150,1272,71
874.74,2.140,0.3,0.5,20,0,152,1280,72
873.89,2.140,0.2,0.5,17,0,154,1288,72
873.03,2.140,0.1,0.5,15,0,156,1296,72
871.97,2.140,0.0,0.5,12,0,158,1305,72
871.12,2.150,-0.1,0.5,9,0,160,1313,73
870.27,2.150,-0.2,0.0,0,0,162,1321,74
869.42,2.150,-0.3,0.0,0,0,164,1329,74
868.78,2.160,-0.4,0.0,0,0,166,1335,75
867.93,2.150,-0.4,0.0,0,0,168,1342,75
866.87,2.150,-0.4,0.0,0,0,170,1352,76
866.03,2.150,-0.5,0.0,0,0,172,1360,76
865.18,2.160,-0.5,0.5,352,0,174,1368,76
864.34,2.150,-0.6,0.5,350,0,176,1376,76
863.70,2.150,-0.7,0.5,347,0,178,1382,76
863.28,2.160,-0.7,0.5,345,0,180,1385,76
862.23,2.160,-0.8,0.5,342,0,182,1395,76
861.18,2.170,-0.8,0.5,340,0,184,1405,77
860.55,2.180,-0.8,0.5,338,0,186,1411,75
860.13,2.190,-0.8,0.5,336,0,188,1415,76
859.50,2.210,-0.8,0.5,334,0,190,1421,76
858.45,2.260,-0.9,0.6,332,0,192,1430,77
858.24,2.270,-0.9,0.6,330,0,194,1432,76
857.61,2.290,-0.9,0.6,328,0,196,1438,75
856.77,2.300,-1.0,0.6,326,0,198,1446,74
856.15,2.310,-1.0,0.6,324,0,200,1452,73
855.73,2.360,-1.0,0.7,322,0,202,1456,73
855.10,2.410,-1.1,0.7,321,0,204,1461,73
854.48,2.460,-1.1,0.7,319,0,206,1467,73
853.85,2.470,-1.2,0.8,318,0,208,1473,74
853.02,2.480,-1.3,0.8,316,0,210,1481,75
851.98,2.480,-1.4,0.8,315,0,212,1491,75
851.14,2.490,-1.4,0.9,314,0,214,1498,75
850.31,2.500,-1.4,0.9,313,0,216,1506,76
850.00,2.510,-1.4,0.9,313,3,217,1509,76
849.48,2.510,-1.5,0.9,312,0,218,1514,77
848.65,2.510,-1.6,1.0,311,0,220,1522,77
847.62,2.510,-1.6,1.0,318,0,222,1532,75
846.59,2.550,-1.6,1.1,317,0,224,1541,72
845.55,2.620,-1.5,1.1,317,0,226,1551,70
844.52,2.670,-1.5,1.1,316,0,228,1561,68
843.49,2.750,-1.4,1.1,316,0,230,1570,66
842.67,2.830,-1.3,1.2,316,0,232,1578,65
841.84,2.850,-1.4,1.2,316,0,234,1586,65
840.61,2.940,-1.4,1.2,316,0,236,1598,65
839.59,2.950,-1.5,1.3,316,0,238,1607,66
838.56,3.000,-1.6,1.3,316,0,240,1617,66
837.74,3.010,-1.6,1.3,322,0,242,1625,67
836.72,3.060,-1.6,1.3,322,0,244,1635,66
835.70,3.120,-1.4,1.3,322,0,246,1644,65
834.89,3.150,-1.4,1.3,322,0,248,1652,64
833.87,3.170,-1.2,1.3,322,0,250,1662,64
832.65,3.210,-1.1,1.4,325,0,252,1674,63
832.04,3.220,-1.0,1.4,325,0,254,1679,63
831.02,3.220,-0.9,1.4,325,0,256,1689,62
830.01,3.310,-0.8,1.4,326,0,258,1699,61
829.20,3.320,-0.7,1.5,326,0,260,1707,60
828.59,3.320,-0.6,1.5,326,0,262,1713,59
827.78,3.360,-0.5,1.5,326,0,264,1720,56
827.18,3.380,-0.5,1.6,327,0,266,1726,55
826.37,3.380,-0.5,1.6,328,0,268,1734,55
825.36,3.390,-0.5,1.6,329,0,270,1744,54
824.55,3.410,-0.5,1.5,333,0,272,1752,49
823.75,3.440,-0.3,1.5,334,0,274,1759,44
823.35,3.460,-0.2,1.6,336,0,276,1763,40
822.34,3.490,-0.2,1.6,338,0,278,1773,37
821.54,3.520,-0.2,1.7,339,0,280,1781,37
820.74,3.520,-0.1,1.7,341,2,282,1789,36
819.94,3.550,-0.2,1.8,342,0,284,1796,36
819.14,3.560,-0.3,1.9,344,0,286,1804,37
818.54,3.580,-0.4,1.9,345,0,288,1810,36
817.54,3.590,-0.4,2.0,347,0,290,1820,35
816.74,3.610,-0.4,2.1,348,0,292,1828,32
815.94,3.620,-0.4,2.1,350,0,294,1836,30
814.95,3.630,-0.4,2.2,351,0,296,1845,28
813.95,3.660,-0.5,2.3,352,0,298,1855,28
812.96,3.680,-0.5,2.3,353,0,300,1865,28
812.37,3.700,-0.6,2.4,355,0,302,1871,27
811.57,3.700,-0.7,2.5,356,0,304,1878,27
810.78,3.710,-0.7,2.5,357,0,306,1886,26
809.79,3.710,-0.8,2.6,357,0,308,1896,26
809.00,3.710,-0.8,2.7,358,0,310,1904,25
808.01,3.710,-0.8,2.8,360,0,312,1913,24
807.23,3.730,-0.9,2.8,360,0,314,1921,24
806.44,3.730,-1.0,2.9,360,0,316,1929,24
805.65,3.710,-1.0,2.9,360,0,318,1937,24
804.67,3.740,-1.2,3.0,1,0,320,1947,24
803.69,3.760,-1.3,3.0,360,0,322,1956,24
802.90,3.760,-1.3,3.0,360,0,324,1964,24
802.12,3.760,-1.5,3.1,360,0,326,1972,24
801.34,3.760,-1.6,3.1,1,0,328,1980,24
800.55,3.760,-1.6,3.2,1,0,330,1987,24
799.77,3.760,-1.6,3.3,360,0,332,1995,24
798.80,3.760,-1.7,3.3,360,0,334,2005,23
797.82,3.760,-1.8,3.4,360,0,336,2015,22
797.04,3.760,-1.8,3.4,1,0,338,2022,21
796.26,3.760,-1.9,3.5,1,0,340,2030,19
795.49,3.770,-1.9,3.5,2,0,342,2038,18
794.71,3.770,-1.9,3.5,3,0,344,2046,18
793.74,3.770,-1.9,3.6,4,0,346,2055,17
792.97,3.770,-1.9,3.6,5,0,348,2063,17
792.19,3.770,-1.9,3.6,6,0,350,2071,17
791.23,3.770,-1.9,3.7,8,0,352,2081,16
790.26,3.770,-1.8,3.7,9,0,354,2090,14
789.49,3.770,-1.8,3.7,9,0,356,2098,13
788.53,3.770,-1.8,3.8,10,0,358,2108,12
787.56,3.760,-1.9,3.8,11,0,360,2117,11
786.60,3.770,-1.9,3.8,11,0,362,2127,11
785.84,3.780,-1.9,3.9,11,0,364,2135,11
785.07,3.780,-1.9,3.9,11,0,366,2143,10
