
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2006-02-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A8620

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-04-19,13:22:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 160
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
296.3,0,345.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.16,30.4,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
928.88,5.590,21,2,340,2,0,640,10,27.7
925.94,5.630,17.2,3.5,328,0,2,667,13,27.7
925,5.710,17.1,3.6,327,3,3,676,14,27.8
924.59,5.710,17,3.6,327,0,4,680,14,27.8
923.46,5.770,16.9,3.7,326,0,6,690,14,27.8
922.56,5.780,16.9,3.8,324,0,8,698,14,27.8
921.43,5.790,16.8,3.9,323,0,10,709,14,27.8
920.31,5.800,16.7,4,322,0,12,719,14,27.8
918.96,5.890,16.5,4.2,321,0,14,732,14,27.8
917.61,5.920,16.4,4.3,320,0,16,744,14,27.8
916.5,5.920,16.3,4.4,319,0,18,754,14,27.9
915.6,5.920,16.2,4.5,318,0,20,763,14,27.9
914.48,5.940,16.1,4.6,316,0,22,773,14,27.8
913.59,5.940,16,4.7,315,0,24,781,15,27.9
912.7,5.940,15.8,4.8,314,0,26,789,15,27.9
911.59,5.950,15.8,4.9,313,0,28,800,15,27.9
910.25,5.970,15.6,5,312,0,30,812,15,27.9
908.48,5.980,15.5,5.2,311,0,32,829,15,27.9
906.92,5.970,15.5,5.3,310,0,34,843,15,28
905.6,5.970,15.3,5.4,309,0,36,856,15,28
904.27,6.000,15.2,5.5,308,0,38,868,15,28
903.39,6.020,15.2,5.6,306,0,40,876,15,28
902.51,6.020,15,5.7,305,0,42,884,15,28
901.41,6.000,14.9,5.8,304,0,44,895,15,28
900.31,5.990,14.8,5.9,303,0,46,905,16,28
899.43,5.990,14.7,6,302,0,48,913,16,28
898.77,6.000,14.6,6.1,301,0,50,920,16,28.1
898.33,6.000,14.6,6.2,300,0,52,924,16,28.1
897.45,5.990,14.5,6.3,299,0,54,932,16,28.1
896.8,5.990,14.5,6.4,298,0,56,938,16,28.1
896.36,5.990,14.4,6.5,297,0,58,942,16,28.1
895.7,5.980,14.3,6.5,296,0,60,948,16,28.1
894.61,5.980,14.2,6.6,295,0,62,959,16,28.2
893.52,5.980,14.1,6.7,294,0,64,969,16,28.1
892.21,5.980,14.1,6.8,293,0,66,981,16,28.2
890.9,5.960,14,6.9,293,0,68,994,16,28.2
890.47,5.960,13.9,7,292,0,70,998,16,28.2
889.82,5.950,13.9,7.1,291,0,72,1004,17,28.2
889.38,5.950,13.8,7.1,290,0,74,1008,17,28.2
888.95,5.960,13.7,7.2,289,0,76,1012,17,28.2
888.3,5.980,13.6,7.3,288,0,78,1018,17,28.3
887.21,5.960,13.6,7.4,287,0,80,1028,17,28.3
886.35,5.960,13.5,7.4,287,0,82,1037,17,28.3
885.7,5.960,13.4,7.5,286,0,84,1043,17,28.3
884.62,5.980,13.3,7.6,285,0,86,1053,17,28.3
883.54,5.980,13.2,7.6,284,0,88,1063,17,28.3
882.68,5.980,13.1,7.7,284,0,90,1071,17,28.3
882.03,5.980,13.1,7.7,283,0,92,1078,17,28.4
881.17,5.950,13.1,7.8,282,0,94,1086,17,28.4
879.88,5.950,13,7.8,282,0,96,1098,17,28.4
878.38,5.950,12.8,7.9,281,0,98,1112,17,28.4
877.09,5.970,12.7,7.9,280,0,100,1125,17,28.4
876.66,5.950,12.6,8,280,0,102,1129,17,28.5
876.45,5.950,12.5,8,279,0,104,1131,18,28.5
876.02,5.940,12.4,8.1,279,0,106,1135,18,28.5
875.38,5.930,12.4,8.1,278,0,108,1141,18,28.5
874.31,5.910,12.4,8.1,278,0,110,1151,18,28.5
873.03,5.930,12.3,8.2,277,0,112,1164,18,28.5
871.97,5.910,12.2,8.2,277,0,114,1174,18,28.5
870.9,5.910,12.1,8.2,276,0,116,1184,18,28.5
869.84,5.920,12,8.2,276,0,118,1194,18,28.6
868.99,5.930,12,8.3,275,0,120,1202,18,28.5
867.93,5.940,11.9,8.3,275,0,122,1213,18,28.6
866.87,5.950,11.8,8.3,274,0,124,1223,18,28.6
865.82,5.950,11.8,8.3,274,0,126,1233,18,28.6
864.97,5.950,11.7,8.3,274,0,128,1241,18,28.6
864.13,5.950,11.6,8.4,273,0,130,1249,18,28.6
863.49,5.950,11.5,8.4,273,0,132,1255,18,28.7
863.07,5.940,11.5,8.4,272,0,134,1259,18,28.7
862.44,5.930,11.4,8.3,272,0,136,1266,18,28.7
862.02,5.930,11.3,8.2,272,0,138,1270,19,28.7
861.39,5.870,11.2,8.2,272,0,140,1276,19,28.7
860.97,5.920,11.2,8.2,273,0,142,1280,19,28.7
860.34,5.920,11.1,8.2,273,0,144,1286,19,28.7
858.87,5.870,11,8.1,273,0,146,1300,19,28.7
857.61,5.870,10.9,8.1,273,0,148,1312,19,28.7
856.15,5.860,10.8,8.1,273,0,150,1327,19,28.8
855.73,5.890,10.8,8.1,273,0,152,1331,19,28.8
855.52,5.890,10.7,8.1,272,0,154,1333,19,28.8
855.1,5.890,10.6,8,272,0,156,1337,19,28.8
854.68,5.890,10.5,8,272,0,158,1341,19,28.8
854.06,5.860,10.5,8,272,0,160,1347,19,28.8
853.23,5.860,10.4,8,272,0,162,1355,19,28.8
851.98,5.830,10.4,8,272,0,164,1367,19,28.8
850.73,5.820,10.3,7.9,272,0,166,1379,20,28.9
850,5.820,10.2,7.9,272,3,167,1386,20,28.9
849.48,5.820,10.1,7.9,272,0,168,1391,20,28.9
848.65,5.800,10.1,7.9,272,0,170,1400,20,28.9
848.03,5.800,10,7.8,272,0,172,1406,20,28.9
847.41,5.800,10,7.8,272,0,174,1412,20,28.9
846.17,5.790,9.9,7.7,272,0,176,1424,20,28.9
844.73,5.790,9.7,7.7,272,0,178,1438,20,28.9
843.49,5.790,9.6,7.7,272,0,180,1450,20,28.9
843.08,5.810,9.5,7.6,272,0,182,1454,20,28.9
842.67,5.790,9.5,7.6,272,0,184,1458,21,28.9
842.26,5.790,9.4,7.5,272,0,186,1462,21,28.9
841.84,5.800,9.3,7.5,272,0,188,1466,21,28.9
841.23,5.800,9.2,7.5,271,0,190,1472,21,28.9
840.61,5.800,9.1,7.4,271,0,192,1478,21,28.9
839.79,5.800,9.1,7.4,271,0,194,1487,21,29
838.36,5.780,9.1,7.4,271,0,196,1501,21,29
837.54,5.750,9,7.3,271,0,198,1509,21,29
836.93,5.750,9,7.3,271,0,200,1515,21,29
836.11,5.750,8.9,7.4,271,0,202,1523,21,29
835.5,5.750,8.8,7.4,271,0,204,1529,21,29
834.68,5.750,8.7,7.4,271,0,206,1537,22,29
833.66,5.750,8.6,7.4,270,0,208,1547,22,29
832.44,5.750,8.5,7.4,270,0,210,1559,22,29
831.02,5.750,8.4,7.5,270,0,212,1573,22,29.1
829.6,5.750,8.3,7.5,270,0,214,1587,22,29.1
828.39,5.760,8.2,7.6,270,0,216,1599,22,29.1
827.18,5.760,8.1,7.6,270,0,218,1612,22,29.1
825.97,5.760,7.9,7.6,270,0,220,1624,22,29.1
824.96,5.750,7.8,7.6,270,0,222,1634,22,29.1
823.95,5.750,7.8,7.6,270,0,224,1644,22,29.1
823.15,5.740,7.6,7.7,270,0,226,1652,22,29.1
822.54,5.720,7.5,7.7,269,0,228,1658,23,29.1
821.94,5.720,7.4,7.7,269,0,230,1664,23,29.1
821.14,5.720,7.3,7.6,269,0,232,1672,23,29.1
820.54,5.690,7.2,7.6,268,0,234,1678,23,29.1
819.74,5.690,7.1,7.5,268,0,236,1686,23,29.1
818.74,5.690,7.1,7.5,268,0,238,1696,23,29.2
817.34,5.710,6.9,7.5,268,0,240,1710,23,29.2
816.14,5.680,6.8,7.5,267,0,242,1722,23,29.2
815.15,5.680,6.7,7.4,267,0,244,1732,23,29.2
814.15,5.680,6.6,7.4,267,0,246,1742,24,29.2
812.96,5.660,6.6,7.4,266,0,248,1754,24,29.2
811.38,5.660,6.5,7.3,266,0,250,1770,24,29.2
810.78,5.660,6.4,7.3,266,0,252,1776,24,29.2
810.19,5.650,6.4,7.3,266,0,254,1782,24,29.3
809.4,5.620,6.3,7.2,265,0,256,1790,24,29.3
808.8,5.590,6.2,7.2,265,0,258,1796,24,29.3
808.01,5.550,6.1,7.1,264,0,260,1804,24,29.3
807.03,5.580,6,7,264,0,262,1814,25,29.3
805.65,5.580,5.9,6.9,263,0,264,1828,25,29.3
804.28,5.580,5.8,6.8,263,0,266,1842,25,29.3
803.29,5.580,5.8,6.8,262,0,268,1852,25,29.3
802.31,5.580,5.7,6.7,262,0,270,1862,25,29.3
801.14,5.580,5.6,6.7,261,0,272,1874,25,29.4
800.16,5.570,5.6,6.7,261,0,274,1884,25,29.4
799.19,5.540,5.5,6.6,261,0,276,1894,25,29.4
798.21,5.540,5.3,6.6,260,0,278,1904,25,29.4
797.43,5.500,5.2,6.6,260,0,280,1912,26,29.4
796.65,5.500,5.1,6.6,260,0,282,1920,26,29.4
795.88,5.500,5,6.5,259,0,284,1928,26,29.4
794.91,5.490,4.9,6.5,259,0,286,1938,26,29.4
794.13,5.490,4.9,6.5,259,0,288,1946,26,29.4
793.35,5.490,4.8,6.5,258,0,290,1954,26,29.4
792.58,5.470,4.7,6.4,258,0,292,1961,26,29.4
791.81,5.470,4.6,6.4,257,0,294,1969,26,29.4
791.03,5.460,4.5,6.4,257,0,296,1977,27,29.4
790.26,5.460,4.4,6.4,257,0,298,1985,27,29.4
789.3,5.410,4.3,6.4,257,0,300,1995,27,29.4
788.53,5.410,4.2,6.3,256,0,302,2003,27,29.4
787.76,5.420,4.1,6.4,256,0,304,2011,28,29.4
786.99,5.410,4,6.4,256,0,306,2019,28,29.4
