
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-01,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A12582

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-06-05,10:21:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 199
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
276.1,0,311.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.100,28.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
939.38,4.710,25.5,1.5,70,2,0,640,25,29.8
938.00,4.810,24.3,2.7,69,0,2,653,27,29.9
937.08,4.850,23.4,3.0,68,0,4,661,27,29.9
935.94,4.860,22.4,3.3,68,2,6,672,28,29.9
935.03,4.860,22.3,3.6,67,0,8,680,29,29.9
934.12,4.860,22.2,3.9,67,0,10,689,29,29.9
932.98,4.860,22.2,4.1,67,0,12,699,29,29.9
931.84,4.860,22.2,4.2,68,0,14,710,29,29.9
930.70,4.870,22.1,4.4,68,0,16,721,30,29.9
929.57,4.880,22.0,4.5,69,0,18,731,30,29.9
928.66,4.880,21.9,4.5,69,0,20,740,30,29.9
927.52,4.840,21.8,4.5,69,0,22,750,30,30.0
926.39,4.840,21.8,4.5,69,0,24,761,30,30.0
925.49,4.890,21.7,4.5,69,0,26,769,30,30.0
925.00,4.860,21.6,4.4,69,3,27,774,31,30.0
924.59,4.860,21.6,4.4,69,0,28,778,31,30.1
923.68,4.890,21.5,4.4,68,0,30,786,31,30.1
922.78,4.890,21.4,4.3,68,0,32,795,31,30.1
921.66,4.910,21.2,4.3,68,0,34,805,31,30.2
920.76,4.910,21.1,4.2,68,0,36,814,31,30.1
919.86,4.910,21.0,4.1,68,0,38,822,31,30.1
918.74,4.920,20.8,4.1,68,0,40,833,32,30.1
917.84,4.910,20.7,4.0,69,0,42,841,32,30.1
916.94,4.920,20.5,4.0,69,0,44,850,32,30.2
916.05,4.920,20.4,4.0,69,0,46,858,32,30.2
915.38,4.920,20.3,4.0,69,0,48,864,32,30.2
914.93,4.960,20.2,3.9,70,0,50,868,32,30.2
914.04,4.960,20.1,4.0,71,0,52,877,32,30.2
913.14,4.960,20.1,4.0,72,0,54,885,32,30.2
912.03,4.960,20.0,4.0,72,0,56,896,33,30.3
911.14,4.960,19.9,4.0,73,0,58,904,33,30.2
910.25,4.890,19.8,4.0,73,0,60,913,33,30.3
909.36,4.900,19.8,3.9,73,0,62,921,33,30.3
908.48,4.890,19.7,3.9,73,0,64,929,34,30.3
907.59,4.890,19.6,4.0,73,0,66,938,34,30.2
906.92,4.890,19.5,4.0,73,0,68,944,33,30.3
906.26,4.890,19.4,4.0,73,0,70,950,33,30.3
905.38,4.890,19.3,4.0,73,0,72,959,34,30.3
904.71,4.890,19.2,4.0,73,0,74,965,34,30.3
904.05,4.880,19.1,4.0,73,0,76,971,34,30.4
903.39,4.870,19.1,4.0,73,0,78,978,34,30.4
902.73,4.870,19.1,4.0,73,0,80,984,34,30.4
902.07,4.860,19.0,4.0,73,0,82,990,34,30.4
901.41,4.830,18.9,4.0,74,0,84,996,35,30.4
900.75,4.820,18.8,4.0,74,0,86,1003,35,30.4
900.09,4.830,18.7,4.0,74,0,88,1009,35,30.4
899.65,4.820,18.7,4.0,74,0,90,1013,35,30.5
898.99,4.820,18.6,4.0,74,0,92,1020,35,30.5
898.33,4.840,18.6,4.0,74,0,94,1026,35,30.5
897.67,4.820,18.6,4.1,74,0,96,1032,35,30.6
897.45,4.820,18.5,4.1,75,0,98,1034,35,30.6
897.01,4.830,18.4,4.1,75,0,100,1038,36,30.6
896.58,4.840,18.3,4.2,75,0,102,1043,35,30.6
895.92,4.830,18.3,4.2,75,0,104,1049,35,30.6
895.48,4.820,18.2,4.2,75,0,106,1053,36,30.6
894.83,4.830,18.2,4.3,75,0,108,1059,36,30.6
894.61,4.820,18.2,4.3,75,0,110,1061,36,30.6
894.17,4.820,18.2,4.3,75,0,112,1066,36,30.6
893.95,4.830,18.1,4.3,75,0,114,1068,36,30.7
893.52,4.840,18.1,4.4,75,0,116,1072,36,30.7
893.08,4.830,18.1,4.4,75,0,118,1076,36,30.7
892.65,4.930,18.1,4.4,75,0,120,1080,36,30.7
892.21,4.930,18.1,4.4,75,0,122,1084,36,30.8
891.99,4.920,18.0,4.4,75,0,124,1086,36,30.8
891.56,4.920,18.0,4.4,75,0,126,1091,36,30.8
891.12,4.930,18.0,4.4,75,0,128,1095,36,30.8
890.69,4.920,17.9,4.4,74,0,130,1099,37,30.8
890.25,4.920,17.9,4.4,74,0,132,1103,37,30.8
889.82,4.930,17.8,4.4,74,0,134,1107,37,30.8
889.38,4.920,17.8,4.4,74,0,136,1111,37,30.9
888.95,4.930,17.8,4.4,74,0,138,1116,37,30.9
888.51,4.930,17.7,4.4,74,0,140,1120,37,30.9
887.86,4.930,17.6,4.4,73,0,142,1126,37,31.0
887.21,4.940,17.6,4.4,73,0,144,1132,37,31.0
886.56,4.940,17.6,4.5,73,0,146,1139,37,31.0
886.13,4.930,17.5,4.5,73,0,148,1143,37,31.0
885.70,4.910,17.4,4.5,73,0,150,1147,37,31.0
885.27,4.910,17.4,4.6,73,0,152,1151,37,31.0
884.62,4.910,17.3,4.6,73,0,154,1157,37,31.0
883.75,4.880,17.2,4.6,73,0,156,1166,38,31.0
883.32,4.880,17.2,4.6,73,0,158,1170,38,31.0
882.89,4.880,17.2,4.7,73,0,160,1174,38,31.0
882.25,4.880,17.1,4.7,73,0,162,1180,38,31.0
881.60,4.880,17.1,4.7,73,0,164,1186,38,31.0
880.74,4.880,17.0,4.8,73,0,166,1195,38,31.1
880.09,4.880,16.9,4.8,73,0,168,1201,38,31.1
879.45,4.880,16.9,4.8,73,0,170,1207,38,31.1
