
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-01,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A14953

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-06-13,10:43:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 174
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
161.1,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.110,27.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
937.08,3.680,23.0,4.0,340,2,0,640,25,29.7
934.34,3.680,21.7,5.4,309,0,2,665,27,29.7
932.98,3.680,21.6,5.7,305,0,4,678,28,29.8
931.61,3.680,21.5,6.0,301,0,6,691,28,29.8
930.25,3.680,21.4,6.3,297,0,8,703,28,29.7
928.88,3.670,21.2,6.5,293,0,10,716,28,29.8
927.52,3.670,21.0,6.7,289,0,12,729,29,29.8
926.17,3.670,20.9,7.0,285,0,14,741,29,29.8
925.04,3.670,20.8,7.2,281,0,16,752,29,29.7
924.13,3.670,20.6,7.3,278,0,18,760,29,29.7
922.78,3.670,20.3,7.5,274,0,20,773,30,29.7
921.66,3.730,20.1,7.6,271,0,22,784,30,29.7
920.31,3.760,19.9,7.7,267,2,24,796,30,29.7
919.41,3.800,19.8,7.8,264,0,26,805,30,29.7
918.29,3.810,19.7,7.8,261,0,28,815,30,29.7
916.94,3.810,19.6,7.9,259,0,30,828,31,29.8
915.82,3.810,19.5,7.9,256,0,32,838,31,29.7
914.48,3.770,19.4,7.8,253,0,34,851,31,29.8
913.14,3.820,19.4,7.8,251,0,36,863,31,29.8
911.81,3.840,19.3,7.8,249,0,38,876,32,29.7
910.70,3.840,19.2,7.7,247,0,40,886,32,29.8
909.58,3.780,19.2,7.6,245,0,42,897,32,29.8
908.48,3.770,19.0,7.6,243,0,44,907,32,29.8
907.37,3.770,18.8,7.5,241,0,46,918,32,29.8
