
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-01,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A14904

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-07-26,11:01:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 183
* <Unknown> SONDA  RECUPERADA

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
237.9,0,295.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.150,28.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.92,5.800,25.6,2.5,218,2,0,640,48,31.0
935.71,5.800,22.4,3.5,202,2,2,670,31,31.0
934.57,5.800,22.2,3.8,199,0,4,680,31,31.0
933.20,5.800,22.1,4.1,195,0,6,693,32,31.0
931.84,5.800,21.9,4.3,192,0,8,706,33,31.0
930.47,5.890,21.8,4.5,190,0,10,719,33,31.0
929.11,5.910,21.7,4.7,188,0,12,731,33,31.0
927.30,5.910,21.6,4.8,186,0,14,748,34,31.0
925.71,5.910,21.5,5.0,186,0,16,763,34,31.0
925.00,5.910,21.5,5.0,186,3,17,770,34,31.0
924.13,5.910,21.4,5.1,185,0,18,778,34,31.0
922.56,5.910,21.3,5.1,186,0,20,793,34,30.9
920.98,5.910,21.3,5.2,186,0,22,807,34,31.0
919.41,5.910,21.2,5.2,187,0,24,822,34,30.9
917.61,5.900,21.0,5.2,189,0,26,839,34,30.8
915.82,5.870,20.8,5.2,191,0,28,856,34,30.8
914.26,5.890,20.6,5.2,192,0,30,871,35,30.8
912.70,5.870,20.4,5.2,194,0,32,885,35,30.9
911.36,5.870,20.2,5.2,197,0,34,898,35,30.9
910.25,5.870,20.0,5.1,199,0,36,909,35,30.8
908.25,5.870,19.8,5.1,201,0,38,927,36,30.9
906.26,5.870,19.5,5.0,203,0,40,946,36,30.9
904.49,5.860,19.3,5.0,205,0,42,963,37,30.9
902.73,5.870,19.1,5.0,206,0,44,980,37,30.9
900.75,5.870,18.9,4.9,208,0,46,999,37,30.8
898.55,5.880,18.8,4.9,209,0,48,1020,38,30.8
897.23,5.950,18.7,4.8,210,0,50,1032,38,30.7
895.92,5.950,18.6,4.8,211,0,52,1045,39,30.7
894.83,5.960,18.4,4.8,212,0,54,1055,39,30.7
893.52,5.950,18.2,4.7,213,0,56,1068,39,30.7
891.99,5.950,18.0,4.7,214,0,58,1082,40,30.7
890.03,5.950,17.8,4.7,215,0,60,1101,40,30.7
888.51,5.970,17.7,4.8,210,0,62,1116,40,30.7
886.78,5.980,17.6,4.8,211,0,64,1133,41,30.7
884.83,5.960,17.5,4.8,212,0,66,1151,41,30.8
883.11,5.940,17.4,4.8,212,0,68,1168,41,30.8
881.38,5.910,17.3,4.8,213,0,70,1185,42,30.7
879.45,5.880,17.1,4.8,214,0,72,1203,42,30.6
878.38,5.870,16.9,4.8,214,0,74,1214,42,30.5
876.88,5.870,16.7,4.8,215,0,76,1228,42,30.6
875.38,5.860,16.5,4.8,215,0,78,1243,43,30.6
873.67,5.860,16.4,4.8,216,0,80,1260,43,30.7
872.18,5.860,16.2,4.8,216,0,82,1274,43,30.8
870.90,5.830,16.0,4.8,216,0,84,1286,43,30.9
869.63,5.830,15.9,4.8,217,0,86,1299,44,30.9
868.14,5.830,15.8,4.8,217,0,88,1313,44,30.9
866.66,5.760,15.7,4.8,217,0,90,1328,45,31.0
864.97,5.720,15.6,4.8,218,0,92,1345,45,31.0
863.49,5.720,15.5,4.8,219,0,94,1359,46,30.9
862.02,5.720,15.4,4.8,219,0,96,1374,46,30.8
860.97,5.720,15.3,4.8,219,0,98,1384,46,30.8
860.13,5.720,15.2,4.8,219,0,100,1392,46,30.9
859.29,5.720,15.1,4.8,218,0,102,1400,46,30.9
858.45,5.730,15.1,4.8,219,0,104,1409,45,31.0
857.82,5.760,15.0,4.8,219,0,106,1415,44,31.0
857.19,5.780,14.9,4.9,219,0,108,1421,43,31.0
855.94,5.770,14.8,4.9,219,0,110,1433,44,30.9
854.89,5.790,14.7,4.9,219,0,112,1444,44,30.8
854.06,5.790,14.6,4.9,219,0,114,1452,45,30.8
852.81,5.820,14.4,4.9,219,0,116,1464,45,30.8
851.77,5.840,14.3,4.9,219,0,118,1475,46,30.7
850.94,5.870,14.2,4.9,219,0,120,1483,47,30.8
850.31,5.890,14.1,4.9,219,0,122,1489,46,30.8
850.00,5.920,14.0,4.9,219,3,123,1492,47,30.9
849.69,5.920,14.0,4.9,219,0,124,1495,47,30.9
848.86,5.930,14.0,5.0,219,0,126,1504,47,30.9
848.03,5.940,13.8,5.0,219,0,128,1512,47,30.9
847.21,5.950,13.8,5.0,219,0,130,1520,47,31.0
