
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-01,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a14896

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-08-02,11:27:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 131
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
178.9,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.160,26.20,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
937.08,5.680,29.4,0.8,180,2,0,640,30,37.3
934.57,5.730,27.7,1.7,196,0,2,664,31,37.3
933.66,5.790,27.3,2.0,202,2,4,672,31,37.2
932.52,5.790,27.0,2.2,207,0,6,683,32,37.3
931.61,5.830,26.9,2.5,211,0,8,692,32,37.2
930.70,5.920,26.9,2.7,215,0,10,700,32,37.5
930.02,5.920,26.8,2.8,217,0,12,707,32,37.5
929.34,6.090,26.7,3.0,219,0,14,713,32,37.3
928.66,6.200,26.7,3.1,219,0,16,720,33,37.2
927.98,6.200,26.6,3.2,219,0,18,726,33,38.0
927.07,6.240,26.6,3.3,218,0,20,735,33,37.3
926.39,6.290,26.5,3.3,216,0,22,741,33,37.3
925.71,6.200,26.4,3.3,213,0,24,748,33,37.4
925.00,6.240,26.2,3.4,210,3,26,754,33,37.4
924.81,6.240,26.2,3.4,210,0,26,756,33,37.4
923.91,6.290,26.0,3.4,207,0,28,765,33,37.2
923.01,6.480,26.0,3.4,203,0,30,774,34,37.9
922.11,6.570,25.9,3.4,199,0,32,782,34,37.5
921.43,6.480,25.9,3.4,194,0,34,789,34,37.4
920.08,6.550,25.8,3.4,190,0,36,802,34,37.0
918.74,6.570,25.7,3.4,187,0,38,814,34,37.5
917.61,6.570,25.6,3.4,184,0,40,825,34,37.3
916.27,6.550,25.4,3.4,182,0,42,838,35,37.4
915.15,6.550,25.3,3.3,181,0,44,849,35,37.2
914.04,6.550,25.3,3.3,181,0,46,859,35,37.2
912.70,6.560,25.3,3.3,181,0,48,872,35,38.6
912.03,6.560,25.2,3.3,182,0,50,879,35,37.4
911.14,6.560,25.0,3.3,183,2,52,887,35,37.9
910.03,5.840,24.9,3.3,185,2,54,898,35,37.2
908.70,5.960,24.7,3.3,186,0,56,911,35,37.9
907.37,5.960,24.5,3.2,188,0,58,924,36,38.0
906.26,5.960,24.4,3.2,189,0,60,934,36,37.9
905.38,5.960,24.3,3.3,190,0,62,943,36,37.4
904.27,6.090,24.1,3.3,190,0,64,954,37,37.6
903.17,5.960,24.0,3.3,191,0,66,964,37,37.3
901.85,6.220,23.9,3.3,191,0,68,977,37,37.8
900.75,6.220,23.8,3.4,192,0,70,988,37,37.5
899.65,6.340,23.7,3.4,192,0,72,998,37,37.2
898.33,6.410,23.6,3.4,192,2,74,1011,38,37.9
897.01,6.340,23.5,3.4,192,0,76,1024,38,37.8
895.92,6.340,23.4,3.5,192,0,78,1035,38,37.5
894.83,6.400,23.2,3.5,193,0,80,1045,38,37.3
893.74,6.390,23.1,3.6,192,0,82,1056,38,37.3
