
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-01,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A14949

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1995-10-18,12:25:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 116
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
200.9,0,266.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
952.31,4.160,22.0,1.0,259,2,0,640,42
950.91,5.090,21.9,0.9,292,2,2,653,31
949.52,5.090,21.7,0.9,295,0,4,665,32
948.13,5.090,21.5,1.0,298,0,6,678,33
946.97,5.090,21.4,1.0,301,0,8,689,33
945.82,4.990,21.3,1.0,304,0,10,699,33
944.90,4.980,21.2,1.1,307,0,12,708,34
943.97,4.890,21.1,1.1,311,0,14,716,34
943.05,4.780,21.1,1.1,314,0,16,725,34
941.67,4.770,20.9,1.1,317,0,18,737,35
940.52,4.670,20.8,1.2,320,0,20,748,35
939.38,4.630,20.7,1.2,323,0,22,758,35
938.00,4.630,20.6,1.2,326,0,24,771,35
936.63,4.570,20.5,1.3,329,0,26,784,35
935.48,4.440,20.4,1.3,332,2,28,794,36
934.57,4.440,20.2,1.3,335,0,30,803,36
933.20,4.420,20.1,1.3,338,0,32,815,36
932.29,4.420,20.0,1.4,341,0,34,824,36
931.38,4.420,19.9,1.4,343,0,36,832,36
930.47,4.420,19.9,1.4,346,0,38,840,36
929.57,4.410,19.8,1.5,349,0,40,849,36
928.43,4.420,19.7,1.5,351,0,42,859,37
927.07,4.410,19.5,1.5,354,0,44,872,37
926.17,4.450,19.4,1.6,356,0,46,880,37
925.26,4.490,19.4,1.6,359,0,48,889,37
924.13,4.510,19.3,1.6,1,0,50,899,38
923.01,4.530,19.2,1.6,4,0,52,910,38
921.88,4.540,19.1,1.7,6,0,54,920,38
920.98,4.550,19.1,1.7,8,0,56,928,38
920.31,4.560,19.0,1.7,10,0,58,935,38
919.18,4.560,18.9,1.8,12,0,60,945,38
917.84,4.560,18.8,1.8,14,0,62,958,38
916.50,4.590,18.7,1.8,16,0,64,970,39
915.38,4.590,18.6,1.9,18,0,66,981,39
914.26,4.590,18.5,1.9,20,0,68,991,39
913.37,4.590,18.5,1.9,21,0,70,1000,39
912.48,4.590,18.5,2.0,23,0,72,1008,39
912.03,4.590,18.3,2.0,25,0,74,1012,39
911.36,4.620,18.2,2.1,26,0,76,1018,39
910.92,4.620,18.2,2.1,27,0,78,1023,40
910.47,4.630,18.2,2.1,29,0,80,1027,40
909.81,4.620,18.2,2.2,30,0,82,1033,40
909.14,4.640,18.1,2.2,31,0,84,1039,40
908.48,4.630,18.1,2.3,32,0,86,1046,40
907.59,4.640,18.0,2.3,33,0,88,1054,40
906.70,4.660,17.8,2.4,34,0,90,1062,40
