
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-21,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A12448

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-02-14,11:36:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 244

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
252.5,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.050,27.30,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.00,2.040,6.0,3.7,65,2,0,640,40,23.5
935.26,2.040,5.5,6.7,65,0,2,664,41,23.5
933.66,2.050,5.3,6.9,64,0,4,678,42,23.4
932.29,2.060,5.2,7.1,63,0,6,690,42,23.4
931.16,2.120,5.1,7.4,62,0,8,700,42,23.3
930.25,2.120,5.0,7.6,61,0,10,708,42,23.4
929.34,2.120,4.9,7.8,60,0,12,716,42,23.3
928.66,2.150,4.8,8.1,59,0,14,722,42,23.3
927.52,2.210,4.6,8.3,58,0,16,732,43,23.3
926.39,2.280,4.5,8.5,57,0,18,742,43,23.3
925.49,2.350,4.5,8.7,56,0,20,750,43,23.3
925.00,2.390,4.4,8.7,56,3,21,754,43,23.4
924.13,2.390,4.3,9.0,55,0,22,761,44,23.3
923.01,2.460,4.2,9.2,54,0,24,771,44,23.3
921.43,2.470,4.2,9.4,53,0,26,785,44,23.3
920.08,2.480,4.0,9.6,52,0,28,797,44,23.3
918.96,2.520,3.9,9.8,51,0,30,807,44,23.3
918.06,2.550,3.8,10.1,50,0,32,815,45,23.2
916.72,2.570,3.7,10.3,49,0,34,827,45,23.2
915.15,2.570,3.6,10.5,48,0,36,841,45,23.2
913.81,2.610,3.5,10.7,47,0,38,853,46,23.2
912.48,2.610,3.3,10.9,46,0,40,865,46,23.3
910.92,2.610,3.2,11.1,45,0,42,878,46,23.3
909.58,2.620,3.1,11.3,44,0,44,890,47,23.3
908.03,2.620,3.0,11.5,43,0,46,904,47,23.3
906.48,2.620,2.9,11.7,41,0,48,918,47,23.3
905.38,2.620,2.8,11.9,40,0,50,928,47,23.3
904.27,2.620,2.6,12.1,39,0,52,938,48,23.3
902.95,2.620,2.5,12.3,38,0,54,950,48,23.3
901.85,2.610,2.5,12.4,37,0,56,959,49,23.3
900.53,2.620,2.3,12.6,36,0,58,971,49,23.3
899.21,2.620,2.2,12.8,35,0,60,983,49,23.3
897.67,2.630,2.1,13.0,33,0,62,997,50,23.3
896.14,2.620,2.0,13.1,32,0,64,1011,49,23.2
894.83,2.660,1.9,13.3,31,0,66,1022,48,23.3
893.52,2.710,1.7,13.4,30,0,68,1034,48,23.3
892.65,2.790,1.6,13.6,28,0,70,1042,48,23.3
891.99,2.860,1.5,13.7,27,0,72,1048,49,23.3
890.47,2.910,1.4,13.9,26,0,74,1062,48,23.2
889.38,2.940,1.4,14.0,25,0,76,1072,48,23.2
888.30,3.040,1.3,14.2,23,0,78,1081,48,23.2
887.21,3.090,1.3,14.3,22,0,80,1091,48,23.2
886.13,3.100,1.3,14.4,21,0,82,1101,48,23.3
885.27,3.120,1.3,14.5,19,0,84,1109,48,23.3
884.19,3.160,1.2,14.6,18,0,86,1119,48,23.2
883.11,3.170,1.2,14.7,17,0,88,1129,49,23.2
882.03,3.190,1.1,14.8,16,0,90,1138,49,23.3
880.95,3.240,1.0,14.9,15,0,92,1148,50,23.2
880.09,3.280,0.9,15.0,14,0,94,1156,50,23.2
879.24,3.280,0.9,15.1,13,0,96,1164,51,23.2
877.95,3.290,0.8,15.2,12,0,98,1176,51,23.2
876.88,3.290,0.7,15.3,11,0,100,1186,51,23.2
875.59,3.300,0.7,16.1,7,0,102,1197,51,23.2
874.53,3.320,0.6,16.1,6,0,104,1207,54,23.2
873.67,3.330,0.5,16.1,5,0,106,1215,55,23.2
872.82,3.340,0.5,16.2,5,0,108,1223,57,23.2
871.75,3.340,0.4,16.2,5,0,110,1233,59,23.1
870.69,3.340,0.3,16.4,6,0,112,1242,58,23.2
869.63,3.340,0.2,16.4,6,0,114,1252,58,23.2
868.36,3.340,0.0,16.3,6,0,116,1264,59,23.2
867.30,3.340,0.0,16.3,7,0,118,1274,59,23.2
866.45,3.340,-0.1,16.3,7,0,120,1281,60,23.2
864.97,3.330,-0.2,16.2,8,0,122,1295,61,23.1
863.92,3.330,-0.3,16.2,8,0,124,1305,62,23.1
862.86,3.310,-0.4,16.1,9,0,126,1315,62,23.1
861.60,3.310,-0.5,16.0,10,0,128,1326,63,23.2
860.55,3.300,-0.6,16.0,11,0,130,1336,64,23.2
859.71,3.300,-0.6,16.1,12,0,132,1344,64,23.2
858.66,3.300,-0.7,16.0,13,0,134,1354,63,23.2
857.61,3.300,-0.8,15.9,15,0,136,1363,62,23.2
856.77,3.300,-0.8,15.8,17,0,138,1371,62,23.2
855.52,3.300,-0.9,15.6,18,0,140,1383,62,23.2
854.48,3.300,-1.0,15.5,20,0,142,1393,62,23.2
853.64,3.300,-1.0,15.3,22,0,144,1400,62,23.1
852.60,3.300,-1.1,15.2,23,0,146,1410,61,23.1
851.56,3.310,-1.1,15.0,25,0,148,1420,61,23.1
850.52,3.310,-1.1,14.9,26,0,150,1430,61,23.1
850.00,3.320,-1.2,14.6,29,3,151,1435,60,23.2
849.48,3.320,-1.2,14.6,29,0,152,1439,60,23.2
848.45,3.340,-1.2,14.4,30,0,154,1449,58,23.1
847.62,3.350,-1.2,14.3,31,0,156,1457,56,23.1
846.59,3.350,-1.2,14.1,32,0,158,1467,56,23.1
845.55,3.390,-1.2,13.9,32,0,160,1476,55,23.1
844.73,3.390,-1.3,13.7,32,0,162,1484,54,23.1
843.70,3.390,-1.4,13.5,33,0,164,1494,54,23.1
842.67,3.400,-1.4,13.3,33,0,166,1504,53,23.1
841.64,3.400,-1.4,13.1,33,0,168,1513,53,23.1
840.41,3.400,-1.5,12.9,33,0,170,1525,53,23.1
839.38,3.420,-1.6,12.8,33,0,172,1535,53,23.2
838.56,3.420,-1.6,12.6,33,0,174,1543,53,23.1
837.54,3.420,-1.7,12.5,33,0,176,1552,53,23.1
836.52,3.430,-1.8,12.3,33,0,178,1562,53,23.1
835.29,3.430,-1.8,12.2,33,0,180,1574,52,23.2
834.27,3.430,-1.9,12.3,33,0,182,1583,50,23.2
833.46,3.450,-1.9,12.1,33,0,184,1591,47,23.2
832.44,3.460,-1.9,12.0,33,0,186,1601,44,23.1
831.43,3.470,-1.9,11.9,33,0,188,1610,41,23.1
830.41,3.500,-1.9,11.8,32,0,190,1620,38,23.1
829.40,3.510,-2.0,11.6,31,0,192,1630,34,23.0
828.19,3.520,-2.0,11.5,31,0,194,1642,34,23.0
826.97,3.530,-2.0,11.4,30,0,196,1653,30,23.1
825.76,3.560,-2.0,11.3,30,0,198,1665,29,23.1
824.76,3.580,-2.1,11.3,30,0,200,1675,29,23.1
823.95,3.580,-2.1,11.1,30,0,202,1682,28,23.1
822.75,3.590,-2.2,11.1,29,0,204,1694,28,23.2
821.74,3.600,-2.2,11.1,29,0,206,1704,27,23.2
820.74,3.640,-2.3,11.0,29,0,208,1713,27,23.2
819.74,3.650,-2.4,11.0,29,0,210,1723,26,23.2
818.94,3.650,-2.4,11.0,29,0,212,1731,25,23.2
817.94,3.650,-2.4,11.0,29,0,214,1740,25,23.2
816.54,3.680,-2.5,11.0,29,0,216,1754,24,23.2
815.94,3.700,-2.6,11.0,29,0,218,1760,24,23.2
815.15,3.720,-2.7,11.0,29,0,220,1767,24,23.1
814.15,3.720,-2.8,11.1,30,0,222,1777,24,23.1
813.16,3.730,-2.8,11.1,29,0,224,1787,24,23.1
812.17,3.760,-2.9,11.1,29,0,226,1796,22,23.2
810.78,3.770,-2.6,11.2,29,0,228,1810,15,23.2
809.99,3.790,-2.5,11.2,29,0,230,1818,15,23.2
809.00,3.800,-2.4,11.2,29,0,232,1827,15,23.3
808.01,3.800,-2.5,11.2,29,0,234,1837,15,23.3
807.23,3.820,-2.5,11.2,28,2,236,1845,15,23.3
806.24,3.820,-2.6,11.1,28,0,238,1855,16,23.2
805.06,3.830,-2.7,11.1,29,0,240,1866,16,23.2
804.08,3.830,-2.8,11.0,30,0,242,1876,16,23.2
802.90,3.850,-2.9,10.9,31,0,244,1887,16,23.1
801.73,3.850,-3.0,10.8,31,0,246,1899,16,23.0
800.75,3.830,-3.0,10.7,32,0,248,1909,16,23.0
799.58,3.850,-3.1,10.6,32,0,250,1920,16,23.0
798.60,3.830,-3.2,10.6,31,0,252,1930,15,23.0
797.63,3.830,-3.3,10.5,31,0,254,1940,16,23.0
796.85,3.830,-3.3,10.5,31,0,256,1947,16,22.9
795.88,3.830,-3.4,10.5,30,0,258,1957,16,23.0
794.91,3.830,-3.5,10.5,29,0,260,1967,16,23.0
794.13,3.830,-3.6,10.5,29,0,262,1974,17,23.0
793.16,3.830,-3.7,10.5,29,0,264,1984,18,22.9
792.39,3.830,-3.7,10.6,29,0,266,1992,20,22.9
791.23,3.830,-3.7,10.6,29,0,268,2003,22,23.0
790.07,3.830,-3.8,10.7,29,0,270,2015,25,23.0
788.91,3.830,-3.9,10.7,28,0,272,2026,26,23.0
787.76,3.790,-3.9,10.7,28,0,274,2038,27,23.0
786.22,3.780,-4.0,10.7,28,0,276,2053,29,23.0
785.64,3.770,-4.0,10.7,28,0,278,2059,30,23.0
784.69,3.770,-4.1,10.7,28,0,280,2069,30,23.0
783.73,3.780,-4.2,10.6,27,0,282,2078,30,23.0
782.77,3.770,-4.3,10.5,27,0,284,2088,30,23.0
781.63,3.770,-4.4,10.4,27,0,286,2099,31,23.0
780.10,3.760,-4.6,10.3,27,0,288,2115,31,23.1
778.96,3.750,-4.7,10.2,27,0,290,2126,30,23.1
778.01,3.740,-4.8,10.1,26,0,292,2136,31,23.1
777.06,3.730,-4.9,10.0,26,0,294,2145,31,23.0
776.11,3.720,-5.0,9.9,25,0,296,2155,32,22.9
774.98,3.710,-5.0,9.8,25,0,298,2167,33,22.9
773.65,3.710,-5.2,9.6,24,0,300,2180,33,22.8
772.90,3.700,-5.3,9.6,23,0,302,2188,33,22.9
772.14,3.690,-5.3,9.5,22,0,304,2195,34,22.8
771.01,3.690,-5.5,9.4,21,0,306,2207,34,22.8
769.88,3.680,-5.6,9.3,20,0,308,2218,34,22.8
768.76,3.680,-5.7,9.2,19,0,310,2230,34,22.8
767.44,3.680,-5.8,9.1,18,0,312,2243,34,22.7
766.51,3.650,-5.9,9.0,17,0,314,2253,34,22.8
765.39,3.650,-6.0,9.0,16,0,316,2264,35,22.8
764.27,3.650,-6.2,8.9,15,0,318,2276,36,22.9
763.15,3.650,-6.3,8.8,14,0,320,2287,36,23.0
761.84,3.650,-6.4,8.7,13,0,322,2300,37,23.0
760.36,3.650,-6.6,8.7,12,0,324,2316,39,22.9
759.43,3.640,-6.7,8.6,11,0,326,2325,42,22.8
758.32,3.640,-6.8,8.5,10,0,328,2337,44,22.8
757.02,3.640,-7.0,8.4,10,0,330,2350,45,22.7
755.73,3.620,-7.1,8.4,9,0,332,2363,47,22.7
754.62,3.620,-7.2,8.4,9,0,334,2375,48,22.8
753.15,3.620,-7.3,8.3,8,0,336,2390,49,22.7
752.23,3.600,-7.4,8.2,8,0,338,2399,49,22.7
750.95,3.590,-7.5,8.2,7,0,340,2413,49,22.8
749.85,3.580,-7.7,8.1,6,0,342,2424,49,22.7
748.75,3.560,-7.8,8.1,6,2,344,2436,49,22.8
747.66,3.560,-7.8,8.0,5,0,346,2447,54,22.9
746.20,3.570,-7.8,8.0,5,0,348,2462,60,22.9
745.47,3.570,-7.8,7.9,5,0,350,2470,61,22.9
744.56,3.560,-7.8,7.9,5,0,352,2479,62,22.9
743.65,3.560,-7.8,7.8,5,0,354,2489,63,22.9
742.74,3.560,-7.9,7.8,4,0,356,2498,63,22.9
741.84,3.550,-7.9,7.7,4,0,358,2508,64,22.9
740.75,3.550,-8.0,7.7,4,0,360,2519,65,22.9
740.03,3.540,-8.1,7.6,4,0,362,2527,65,22.9
738.95,3.540,-8.1,7.5,4,0,364,2538,65,22.9
737.86,3.530,-8.3,7.5,3,0,366,2549,66,22.9
736.96,3.520,-8.3,7.4,3,0,368,2559,66,22.9
735.89,3.520,-8.3,7.4,3,0,370,2570,67,22.9
734.63,3.510,-8.4,7.4,1,0,372,2584,69,22.9
733.91,3.510,-8.6,7.4,1,0,374,2591,70,22.9
733.20,3.500,-8.6,7.3,360,0,376,2599,71,22.9
732.12,3.500,-8.7,7.3,360,0,378,2610,72,22.8
731.23,3.480,-8.7,7.3,359,0,380,2620,72,22.9
730.34,3.460,-8.8,7.3,358,0,382,2629,72,22.9
729.27,3.450,-8.9,7.3,358,0,384,2640,73,22.8
728.73,3.440,-8.9,7.3,357,0,386,2646,74,22.8
728.02,3.410,-8.9,7.2,356,0,388,2654,75,22.7
726.96,3.410,-9.0,7.2,355,0,390,2665,76,22.7
726.07,3.410,-9.0,7.2,354,0,392,2674,76,22.6
725.18,3.410,-9.0,7.2,353,0,394,2684,76,22.6
724.30,3.390,-9.0,7.2,352,0,396,2693,76,22.5
723.59,3.360,-9.0,7.3,351,0,398,2701,76,22.5
722.71,3.360,-9.1,7.3,350,0,400,2710,75,22.5
721.65,3.370,-9.2,7.2,350,0,402,2722,75,22.5
