
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-27,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a14946

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-07-24,11:04:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 112
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
214.0,0,269.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.100,27.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.82,3.320,29.0,3.3,308,2,0,640,30,31.3
940.06,3.340,28.5,5.2,286,0,2,666,28,31.3
939.15,3.410,28.4,5.6,279,0,4,675,28,31.3
937.77,3.460,28.1,6.0,273,0,6,688,28,31.3
936.40,3.480,27.9,6.4,267,0,8,701,28,31.3
935.03,3.600,27.7,6.8,261,0,10,714,28,31.3
933.89,3.650,27.5,7.1,257,0,12,724,29,31.3
932.98,3.760,27.4,7.5,253,0,14,733,29,31.3
931.61,3.840,27.2,7.8,250,0,16,746,29,31.3
930.47,3.850,27.1,8.1,248,0,18,757,29,31.3
929.11,3.930,26.9,8.4,247,0,20,770,29,31.3
927.98,3.930,26.9,8.6,246,0,22,780,29,31.3
926.62,4.040,26.7,8.9,245,0,24,793,30,31.3
925.49,4.070,26.6,9.1,245,0,26,804,30,31.3
925.00,4.130,26.6,9.1,245,3,27,809,30,31.3
924.13,4.130,26.5,9.3,245,0,28,817,30,31.3
923.01,4.130,26.4,9.5,246,0,30,828,30,31.3
921.66,4.130,26.3,9.7,247,0,32,841,30,31.3
920.53,4.140,26.1,9.8,248,0,34,851,30,31.3
919.18,4.130,26.0,10.0,249,0,36,864,31,31.3
917.84,4.130,25.9,10.1,250,0,38,877,31,31.3
916.50,4.110,25.9,10.3,251,0,40,890,31,31.3
915.15,4.110,25.7,10.4,252,0,42,903,31,31.2
914.04,4.090,25.6,10.5,253,0,44,914,31,31.3
912.92,4.060,25.5,10.6,254,0,46,924,31,31.3
911.36,4.060,25.3,10.7,255,0,48,939,31,31.3
910.92,4.060,25.2,10.8,256,0,50,944,31,31.3
910.25,4.070,25.1,10.9,256,0,52,950,32,31.3
909.36,4.070,25.0,11.0,257,0,54,959,32,31.3
908.03,4.100,24.9,11.1,257,0,56,971,32,31.3
906.70,4.100,24.8,11.2,257,0,58,984,32,31.3
905.38,4.150,24.7,11.2,258,0,60,997,32,31.3
904.27,4.150,24.6,11.3,258,0,62,1008,32,31.3
902.95,4.110,24.5,11.3,258,0,64,1021,32,31.3
901.63,4.120,24.4,11.4,258,0,66,1033,32,31.3
900.53,4.120,24.2,11.5,257,0,68,1044,32,31.3
899.43,4.120,24.2,11.5,257,0,70,1055,33,31.3
898.55,4.100,24.1,11.5,255,0,72,1063,33,31.3
897.23,4.120,24.0,11.5,255,0,74,1076,33,31.3
895.92,4.100,23.9,11.6,255,0,76,1089,33,31.3
894.83,4.110,23.7,11.6,254,0,78,1100,34,31.3
893.52,4.120,23.6,11.7,254,0,80,1112,34,31.3
892.21,4.110,23.5,11.7,255,0,82,1125,34,31.3
890.90,4.120,23.4,11.8,255,0,84,1138,34,31.3
889.17,4.120,23.4,11.8,254,0,86,1155,33,31.4
888.30,4.120,23.3,11.9,254,0,88,1163,33,31.4
887.65,4.100,23.3,11.9,253,0,90,1170,33,31.3
887.00,4.090,23.2,12.1,253,0,92,1176,33,31.4
886.13,4.010,23.1,12.1,252,0,94,1185,33,31.4
884.83,3.970,23.0,12.2,251,0,96,1197,34,31.4
883.54,3.970,22.8,12.3,251,0,98,1210,34,31.4
882.25,3.960,22.7,12.4,250,0,100,1223,34,31.3
880.95,3.960,22.7,12.5,249,0,102,1236,34,31.4
879.88,3.900,22.7,12.6,249,0,104,1246,33,31.4
879.02,3.900,22.7,12.7,249,0,106,1255,33,31.4
878.16,3.890,22.7,12.8,248,0,108,1263,33,31.4
876.88,3.890,22.6,12.9,248,0,110,1276,33,31.4
875.59,3.820,22.5,13.0,248,0,112,1289,33,31.4
874.53,3.820,22.4,13.1,248,0,114,1299,33,31.4
873.25,3.800,22.3,13.2,248,0,116,1312,33,31.4
872.18,3.760,22.2,13.3,248,0,118,1323,34,31.4
871.12,3.750,22.2,13.4,248,0,120,1333,33,31.4
870.05,3.670,22.1,13.5,248,0,122,1344,33,31.5
869.20,3.670,22.1,13.6,248,0,124,1352,33,31.5
868.36,3.670,22.1,13.8,248,0,126,1361,33,31.4
867.72,3.590,22.1,13.9,247,0,128,1367,33,31.4
866.66,3.590,21.9,14.0,247,0,130,1378,34,31.4
865.18,3.610,21.8,14.1,247,0,132,1393,34,31.4
864.13,3.590,21.7,14.3,247,0,134,1403,34,31.4
863.28,3.590,21.7,14.4,247,0,136,1412,34,31.4
862.02,3.580,21.6,14.6,246,0,138,1424,34,31.5
860.76,3.550,21.5,14.8,246,0,140,1437,34,31.5
859.71,3.530,21.4,14.9,246,0,142,1448,34,31.5
