
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-27,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A14871

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-08-07,10:50:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 123
* <Unknown> X

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
273.9,0,317.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.130,27.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.23,4.520,31.5,4.0,150,2,0,640,50,32.0
936.17,4.520,28.2,9.8,111,0,2,660,30,31.9
935.26,4.480,26.9,10.2,108,0,4,668,31,31.8
934.57,4.520,25.6,10.6,104,2,6,675,32,31.8
933.66,4.580,25.4,11.0,101,0,8,683,32,31.8
932.98,4.480,25.3,11.4,98,0,10,690,33,31.8
932.29,4.400,25.2,11.8,95,0,12,696,33,31.7
931.16,4.360,25.1,12.2,92,0,14,707,33,31.7
930.25,4.400,25.1,12.5,90,0,16,715,34,31.6
929.57,4.360,25.0,12.9,87,0,18,722,34,31.5
929.11,4.400,24.9,13.2,85,0,20,726,34,31.5
928.43,4.400,24.7,13.5,83,0,22,733,34,31.5
927.52,4.400,24.7,13.8,80,0,24,741,34,31.5
926.85,4.400,24.6,14.1,79,0,26,747,34,31.5
926.17,4.410,24.5,14.4,77,0,28,754,34,31.5
925.26,4.430,24.4,14.6,75,0,30,762,35,31.5
925.00,4.410,24.4,14.6,75,3,31,765,35,31.4
924.36,4.410,24.3,14.9,74,0,32,771,35,31.5
923.46,4.430,24.3,15.1,73,0,34,780,35,31.4
922.78,4.440,24.3,15.3,71,0,36,786,35,31.5
921.88,4.440,24.2,15.5,70,0,38,794,35,31.5
920.98,4.440,24.0,15.6,70,0,40,803,35,31.5
920.31,4.500,23.9,15.8,69,0,42,809,35,31.5
919.41,4.510,23.9,15.9,68,0,44,818,35,31.6
918.51,4.520,23.9,16.0,68,0,46,826,35,31.5
917.84,4.600,23.8,16.1,68,0,48,833,36,31.5
917.17,4.600,23.8,16.1,67,0,50,839,36,31.5
916.27,4.510,23.7,15.1,80,0,52,848,36,31.5
915.60,4.630,23.6,15.0,81,0,54,854,36,31.5
914.71,4.690,23.5,15.0,82,0,56,863,36,31.6
913.81,4.750,23.5,14.9,83,0,58,871,36,31.6
