
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-27,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Madrid,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A14944

#LOCATION
Latitude,Longitude,Height
40.45,-3.72,640.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1996-08-28,11:47:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 189
* <Unknown> BIEN

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
276.2,0,323.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.180,26.20,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.90,4.040,21.2,2.0,80,2,0,640,51,29.2
939.60,4.040,21.1,2.4,89,0,2,661,29,29.1
938.00,4.040,21.0,2.6,89,0,4,676,31,29.2
936.63,4.090,20.9,2.7,89,0,6,689,32,29.2
935.26,4.090,20.9,2.7,87,0,8,701,33,29.2
934.12,4.090,20.8,2.7,85,0,10,712,33,29.2
932.52,4.140,20.7,2.7,81,0,12,726,34,29.1
930.93,4.140,20.7,2.5,76,0,14,741,34,29.2
929.57,4.140,20.6,2.4,70,0,16,754,35,29.2
928.43,4.150,20.6,2.2,63,0,18,764,35,29.2
927.07,4.150,20.4,2.0,55,0,20,777,35,29.2
925.49,4.160,20.3,1.9,46,0,22,792,35,29.2
925.00,4.150,20.3,1.9,46,3,23,796,35,29.2
924.13,4.150,20.3,1.8,37,0,24,804,35,29.2
922.78,4.160,20.2,1.8,29,0,26,817,35,29.2
921.43,4.150,20.0,1.8,22,0,28,830,35,29.2
920.08,4.160,19.9,1.9,17,0,30,842,36,29.2
918.96,4.140,19.9,1.9,16,0,32,853,36,29.2
917.39,4.140,19.9,2.1,17,0,34,867,36,29.2
915.60,4.140,19.7,2.2,20,0,36,884,36,29.2
913.59,4.260,19.5,2.3,26,0,38,903,37,29.2
911.81,4.230,19.3,2.5,33,0,40,920,37,29.2
910.03,4.130,19.1,2.7,41,0,42,937,37,29.2
