
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-09,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A12553

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-02-12,12:04:00
* SOFTWARE: SNDPRO 1.32
* NO TROPOPAUSE FOUND
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
29.2,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.110,27.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
956.50,1.240,14.2,3.5,190,2,0,631,68
955.33,1.300,12.7,4.3,167,2,2,641,66
954.40,1.380,12.6,4.9,167,0,4,649,67
953.47,1.390,12.5,5.3,166,0,6,658,68
952.54,1.390,12.5,5.7,165,0,8,666,69
951.84,1.410,12.4,5.9,165,0,10,672,69
951.14,1.410,12.3,6.1,164,0,12,678,69
950.68,1.450,12.3,6.1,164,0,14,682,69
949.75,1.460,12.2,6.0,163,0,16,690,69
948.59,1.460,12.1,5.9,162,0,18,701,70
947.67,1.480,12.1,5.7,162,0,20,709,70
946.74,1.550,12.0,5.4,161,0,22,717,71
945.59,1.610,11.9,5.2,161,0,24,727,72
944.43,1.610,11.8,5.0,161,0,26,738,72
943.05,1.610,11.7,4.8,160,0,28,750,73
941.90,1.610,11.6,4.6,160,0,30,760,73
940.75,1.630,11.4,4.6,160,0,32,770,73
939.38,1.660,11.3,4.5,159,0,34,782,73
937.77,1.660,11.2,4.6,159,0,36,797,74
936.86,1.680,11.2,4.6,159,0,38,805,74
936.17,1.680,11.2,4.7,159,0,40,811,74
935.26,1.740,11.0,4.7,159,0,42,819,74
934.57,1.740,11.0,4.8,159,0,44,825,74
933.66,1.820,10.9,4.8,159,0,46,833,75
932.75,1.820,10.8,4.9,160,0,48,842,75
931.84,1.820,10.7,4.9,160,0,50,850,76
930.93,1.830,10.7,5.0,161,0,52,858,76
930.02,1.830,10.6,5.1,161,0,54,866,76
929.34,1.840,10.5,5.1,162,0,56,872,76
928.43,1.840,10.5,5.2,162,0,58,880,77
927.52,1.860,10.4,5.3,163,0,60,888,77
926.85,1.860,10.4,5.3,160,0,62,895,77
925.71,1.860,10.4,5.4,161,0,64,905,77
925.00,1.890,10.3,5.5,162,3,65,911,77
924.59,1.890,10.3,5.5,162,0,66,915,77
923.68,1.930,10.3,5.5,163,0,68,923,77
923.01,1.990,10.2,5.6,165,0,70,929,77
922.33,2.010,10.1,5.5,163,0,72,935,77
921.21,2.020,10.0,5.6,164,0,74,945,78
920.08,2.020,9.9,5.6,166,0,76,956,78
919.18,2.060,9.7,5.6,168,0,78,964,79
918.06,2.060,9.7,5.7,171,0,80,974,80
917.17,2.060,9.6,5.7,172,0,82,982,81
916.27,2.060,9.4,5.7,175,0,84,990,81
915.82,2.050,9.3,5.8,178,0,86,994,81
915.38,2.040,9.2,5.8,181,0,88,998,82
914.71,2.040,9.1,5.9,185,0,90,1004,82
913.81,2.040,9.0,5.9,188,0,92,1012,83
912.92,2.020,9.0,6.0,192,0,94,1020,84
911.59,2.010,8.9,6.0,195,0,96,1033,84
910.92,2.020,8.8,6.1,199,0,98,1039,84
910.03,2.010,8.7,6.2,202,0,100,1047,85
909.36,2.000,8.7,6.2,206,0,102,1053,85
908.70,2.000,8.7,6.3,209,0,104,1059,85
907.81,2.010,8.6,6.4,213,0,106,1067,86
907.15,2.020,8.5,6.4,216,0,108,1073,86
905.82,2.020,8.4,6.5,219,0,110,1085,85
904.71,2.020,8.4,6.5,223,0,112,1095,85
903.83,2.020,8.3,6.6,226,0,114,1103,85
903.17,2.030,8.4,6.7,228,0,116,1109,84
902.29,2.040,8.4,6.8,231,0,118,1118,84
901.19,2.130,8.4,6.9,233,0,120,1128,84
900.31,2.150,8.3,7.0,234,0,122,1136,84
899.43,2.170,8.2,7.1,236,0,124,1144,84
898.11,2.250,8.2,7.3,238,0,126,1156,84
897.01,2.280,8.1,7.4,240,0,128,1166,85
895.92,2.300,8.0,7.5,242,0,130,1176,85
895.05,2.300,8.0,7.7,239,0,132,1184,85
893.95,2.380,7.9,7.8,241,2,134,1194,84
892.86,2.410,7.9,8.0,242,0,136,1204,84
891.99,2.490,7.9,8.2,244,0,138,1212,83
890.90,2.490,7.9,8.3,245,0,140,1222,82
889.82,2.600,8.4,8.5,247,0,142,1233,76
888.73,2.660,8.9,8.7,248,0,144,1243,70
888.08,2.740,9.3,8.9,249,0,146,1249,59
887.43,2.880,9.6,9.1,251,0,148,1255,57
886.56,2.880,9.7,9.3,252,0,150,1263,55
885.48,2.990,9.9,9.5,253,0,152,1273,53
884.62,3.040,10.0,9.7,254,0,154,1281,51
883.75,3.090,10.2,9.9,255,0,156,1289,49
882.68,3.140,10.2,10.1,255,0,158,1299,48
881.60,3.190,10.3,10.3,256,2,160,1310,47
880.52,3.220,10.2,10.6,257,0,162,1320,47
879.24,3.260,10.2,10.8,258,0,164,1332,47
877.52,3.270,10.2,11.0,258,0,166,1348,45
876.02,3.280,10.2,11.1,259,0,168,1362,44
874.95,3.320,10.2,11.3,259,0,170,1373,43
874.10,3.360,10.3,11.2,260,0,172,1381,43
873.03,3.390,10.2,11.3,260,0,174,1391,42
871.97,3.400,10.3,11.4,260,0,176,1401,41
