
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-04,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a12583

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1997-05-07,11:41:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 387

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
362.7,0,408.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.103,27.70,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
936.40,3.110,14.0,10.0,290,2,0,631,48,23.5
933.20,3.150,13.1,15.5,285,0,2,660,34,23.5
932.06,3.170,12.8,16.4,283,0,4,670,35,23.5
930.47,3.190,12.4,17.3,282,0,6,684,34,23.4
928.66,3.200,11.9,18.1,281,0,8,701,34,23.4
927.07,3.250,11.4,19.0,279,0,10,715,33,23.4
925.71,3.440,11.0,19.7,279,0,12,727,34,23.4
925.00,3.460,10.8,19.7,279,3,13,733,34,23.4
924.13,3.460,10.6,20.4,278,0,14,741,34,23.3
922.33,3.470,10.4,20.9,277,0,16,758,35,23.3
920.76,3.680,10.3,21.5,276,0,18,772,36,23.3
919.41,3.700,10.2,21.9,276,0,20,784,36,23.3
917.84,3.730,10.1,22.2,275,0,22,798,37,23.3
916.05,3.740,10.0,22.5,275,0,24,814,37,23.3
914.93,3.750,9.9,22.7,275,0,26,825,37,23.3
913.59,3.800,9.8,22.8,275,0,28,837,37,23.2
912.25,3.830,9.6,22.8,275,0,30,849,38,23.2
911.14,3.880,9.5,22.8,275,0,32,859,38,23.2
910.03,3.920,9.4,22.7,274,0,34,869,38,23.1
908.92,3.920,9.2,22.5,274,0,36,879,38,23.2
907.37,3.970,9.0,22.3,274,0,38,893,38,23.2
906.04,3.980,8.9,22.1,274,0,40,906,39,23.2
904.71,3.980,8.8,21.9,274,0,42,918,39,23.2
903.61,3.980,8.6,21.6,274,0,44,928,39,23.2
902.29,3.980,8.5,21.3,274,0,46,940,39,23.2
900.97,3.990,8.4,21.0,274,0,48,952,39,23.2
899.87,4.000,8.3,20.7,274,0,50,962,40,23.2
898.55,4.010,8.1,20.0,274,0,52,974,41,23.2
897.23,4.010,8.0,19.8,274,0,54,986,41,23.2
895.92,4.010,7.9,19.6,274,0,56,998,41,23.2
894.61,4.010,7.8,19.4,274,0,58,1010,42,23.3
893.74,4.010,7.7,19.2,273,0,60,1018,43,23.2
892.21,4.060,7.6,19.3,273,0,62,1032,43,23.3
890.69,4.080,7.5,19.3,273,2,64,1047,43,23.3
889.38,4.060,7.3,19.2,273,0,66,1059,43,23.3
888.08,4.060,7.2,19.2,273,0,68,1071,43,23.3
886.78,4.080,7.1,19.2,273,0,70,1083,44,23.3
885.27,4.060,7.0,19.2,273,0,72,1097,44,23.3
884.19,4.060,7.0,19.2,273,0,74,1107,44,23.3
882.89,4.050,6.8,19.3,273,0,76,1119,44,23.3
881.82,4.040,6.7,19.3,273,0,78,1129,45,23.3
880.74,4.040,6.7,19.3,273,0,80,1139,45,23.3
879.66,4.070,6.5,19.5,273,0,82,1149,46,23.4
878.59,4.070,6.4,19.6,273,0,84,1159,47,23.3
877.31,4.070,6.3,19.8,273,0,86,1171,48,23.4
876.02,4.090,6.2,19.9,273,0,88,1183,48,23.4
874.74,4.050,6.0,19.9,273,0,90,1195,48,23.3
873.67,4.030,5.9,20.2,273,0,92,1205,49,23.4
872.61,4.070,5.9,20.2,273,0,94,1215,49,23.4
871.12,4.020,5.7,20.3,273,0,96,1229,49,23.4
870.27,4.030,5.6,20.3,273,0,98,1237,49,23.4
869.20,4.010,5.5,20.3,273,0,100,1247,49,23.5
868.36,4.030,5.5,20.0,274,0,102,1255,49,23.5
867.51,4.030,5.4,20.0,273,0,104,1263,49,23.5
866.45,4.020,5.3,20.0,273,0,106,1273,49,23.5
865.39,4.080,5.3,19.9,273,0,108,1283,50,23.5
864.13,4.020,5.1,19.9,273,0,110,1295,50,23.5
863.07,4.030,5.0,19.9,273,0,112,1305,51,23.6
862.02,4.030,4.9,19.9,273,0,114,1315,51,23.6
860.97,4.020,4.8,19.8,273,0,116,1325,52,23.6
860.13,4.020,4.7,19.7,273,0,118,1333,52,23.6
859.29,4.020,4.6,19.6,273,0,120,1340,51,23.7
858.45,4.030,4.6,19.1,273,0,122,1348,51,23.7
857.61,4.030,4.5,19.1,273,0,124,1356,51,23.7
