
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-17,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A16459

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-06-10,11:11:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB  83
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
270.3,0,307.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.160,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.90,2.920,25.0,5.0,270,2,0,631,50,29.7
938.69,2.930,24.1,6.1,270,0,2,661,39,29.7
937.54,3.000,23.8,6.4,270,0,4,672,40,29.7
936.40,3.010,23.5,6.7,270,0,6,682,42,29.8
935.26,3.020,23.2,7.0,271,0,8,693,42,29.8
934.12,3.030,22.8,7.3,271,0,10,704,43,29.8
932.98,3.080,22.5,7.5,271,0,12,714,43,29.8
931.84,3.140,22.3,7.8,271,0,14,725,43,29.8
930.70,3.120,22.1,8.0,271,0,16,735,44,29.8
929.34,3.160,21.9,8.2,271,0,18,748,44,29.8
928.20,3.180,21.8,8.4,271,0,20,759,45,29.8
927.30,3.310,21.7,8.6,271,0,22,767,45
926.39,3.350,21.6,8.7,272,0,24,776,44,29.8
925.49,3.310,21.4,8.8,272,0,26,784,45,29.8
925.00,3.360,21.3,8.8,272,3,27,789,45,29.8
924.59,3.360,21.3,8.8,272,0,28,793,45,29.8
923.91,3.360,21.3,8.8,272,0,30,799,45,29.8
923.23,3.370,21.0,8.9,272,0,32,805,45
922.56,3.360,21.0,8.7,272,0,34,812,45,29.8
921.43,3.360,21.0,8.5,272,0,36,822,45,29.8
920.76,3.360,20.9,8.2,272,0,38,828,46,29.8
920.08,3.400,20.8,7.8,271,0,40,835,46,29.8
919.41,3.440,20.8,7.6,272,0,42,841,46
918.51,3.440,20.7,7.4,272,0,44,850,46,29.8
917.61,3.400,20.6,7.3,272,0,46,858,47,29.9
916.94,3.420,20.6,7.2,273,0,48,864,46,29.9
916.05,3.440,20.5,7.2,274,0,50,873,47,29.9
915.15,3.440,20.4,7.2,275,0,52,881,47
914.48,3.440,20.3,7.3,276,0,54,888,47,29.9
913.59,3.440,20.2,7.4,277,0,56,896,47,29.9
912.48,3.440,20.2,7.6,278,0,58,907,47,29.9
911.36,3.440,20.1,7.8,279,0,60,917,48,29.9
910.47,3.490,20.0,7.9,279,0,62,925,48
909.36,3.490,19.9,8.0,279,0,64,936,48,30.0
908.48,3.440,19.8,8.1,279,0,66,944,48,29.9
907.81,3.490,19.8,8.2,279,0,68,951,48,30.0
906.92,3.500,19.7,8.2,278,0,70,959,49,30.0
906.04,3.490,19.6,8.2,277,0,72,968,49
904.93,3.490,19.5,8.1,276,0,74,978,48,30.0
904.05,3.480,19.5,8.1,275,0,76,986,48,30.0
902.95,3.480,19.3,8.1,273,0,78,997,49,30.0
901.85,3.490,19.3,8.1,272,0,80,1007,49,30.0
900.97,3.490,19.3,8.1,271,0,82,1016,49
900.09,3.480,19.2,8.1,271,0,84,1024,49,30.0
899.21,3.480,19.1,8.1,271,0,86,1033,50,30.0
898.33,3.490,19.0,8.1,271,0,88,1041,50,30.0
897.23,3.490,18.9,8.1,271,0,90,1052,50,30.0
896.36,3.500,18.7,8.1,272,0,92,1060,51,30.1
895.48,3.500,18.6,8.1,273,0,94,1068,51,30.1
894.61,3.510,18.6,8.1,274,0,96,1077,51,30.0
893.52,3.540,18.5,8.0,275,0,98,1087,52,30.0
892.43,3.540,18.4,7.9,276,0,100,1098,52,30.1
891.34,3.510,18.3,7.8,277,0,102,1108,52,30.1
890.03,3.500,18.1,7.7,278,0,104,1121,52,30.1
888.95,3.500,18.1,7.6,279,0,106,1131,52,30.1
887.86,3.500,18.1,7.6,279,0,108,1142,52,30.1
887.21,3.500,18.1,7.6,280,0,110,1148,51,30.1
886.13,3.500,18.0,7.6,280,0,112,1158,52,30.1
885.05,3.480,17.8,7.7,280,0,114,1169,53,30.1
883.97,3.500,17.7,7.8,280,0,116,1179,53,30.1
882.89,3.510,17.7,8.0,279,0,118,1190,52,30.1
881.82,3.510,17.6,8.1,279,0,120,1200,52
880.95,3.530,17.6,8.3,279,0,122,1208,52,30.1
880.09,3.530,17.5,8.4,278,0,124,1217,52,30.2
879.45,3.530,17.4,8.5,278,0,126,1223,53,30.2
878.38,3.530,17.4,8.5,278,0,128,1233,52,30.2
877.31,3.520,17.3,8.5,277,0,130,1244,52
876.45,3.500,17.2,8.4,277,0,132,1252,52,30.2
875.38,3.500,17.1,8.3,277,0,134,1263,53,30.3
874.53,3.500,17.0,8.2,277,0,136,1271,53,30.2
873.89,3.500,17.0,8.0,277,0,138,1277,53,30.2
873.03,3.530,16.8,7.8,276,0,140,1286,53
871.97,3.520,16.8,7.6,276,0,142,1296,54,30.3
870.90,3.520,16.7,7.4,276,0,144,1306,54,30.3
869.84,3.530,16.6,7.1,277,0,146,1317,54,30.3
868.78,3.570,16.5,6.8,277,0,148,1327,55,30.3
867.93,3.530,16.4,6.6,277,0,150,1336,55,30.3
866.87,3.530,16.4,6.3,276,0,152,1346,55
865.60,3.530,16.2,6.0,276,0,154,1358,56,30.3
864.55,3.530,16.1,5.7,276,0,156,1369,56,30.4
863.28,3.560,16.0,5.3,275,0,158,1381,56,30.3
862.02,3.610,16.0,5.0,275,0,160,1394,56,30.3
860.97,3.580,15.8,4.7,274,0,162,1404,56,30.3
859.92,3.570,15.8,4.4,274,0,164,1414,56,30.4
858.87,3.570,15.7,4.1,274,0,166,1425,56,30.3
857.40,3.570,15.6,3.9,274,0,168,1439,56,30.4
856.36,3.570,15.4,3.8,275,0,170,1450,56,30.4
854.89,3.570,15.3,3.7,275,0,172,1464,57,30.4
853.64,3.550,15.2,3.6,276,0,174,1477,57,30.4
852.39,3.540,15.0,3.6,278,0,176,1489,58,30.4
851.14,3.530,15.0,3.7,279,0,178,1501,58,30.4
850.11,3.530,14.9,3.8,280,0,180,1512,58,30.5
850.00,3.500,14.9,3.8,280,3,180,1513,58
848.24,3.500,14.7,4.0,281,0,182,1530,59,30.5
846.59,3.480,14.5,4.2,282,0,184,1547,60,30.5
845.14,3.480,14.3,4.4,282,0,186,1561,60,30.5
843.70,3.470,14.3,4.7,283,0,188,1576,60,30.5
842.05,3.470,14.1,5.0,283,0,190,1592,61
840.61,3.470,14.0,5.2,283,0,192,1607,62,30.5
839.38,3.470,13.9,5.4,282,0,194,1619,61,30.5
837.95,3.470,13.7,5.6,282,0,196,1634,61,30.5
836.72,3.470,13.6,5.7,281,0,198,1646,61,30.5
835.50,3.470,13.5,5.8,280,0,200,1658,62
834.27,3.500,13.4,5.9,279,0,202,1671,62,30.5
833.26,3.500,13.3,5.9,278,0,204,1681,63,30.6
832.04,3.500,13.1,5.9,276,0,206,1693,64,30.6
830.62,3.500,12.9,5.8,274,0,208,1708,65,30.5
829.20,3.500,12.6,5.7,273,0,210,1722,66,30.6
827.98,3.500,12.5,5.6,272,0,212,1734,66
826.37,3.500,12.4,5.6,271,0,214,1751,67,30.6
824.35,3.450,12.3,5.5,271,0,216,1771,68,30.6
823.35,3.450,12.2,5.5,271,0,218,1781,67,30.6
822.14,3.470,12.1,5.5,271,0,220,1794,67,30.7
821.14,3.450,12.0,5.5,272,0,222,1804,67
