
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-17,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5A,5A17500

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1998-09-16,11:09:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 179
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
263.1,0,301.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.050,26.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.51,3.790,25.6,0.0,0,2,0,631,42,28.9
944.66,3.920,24.9,0.0,0,0,2,648,28,28.9
943.74,3.920,24.6,0.0,0,0,4,657,28,28.9
942.36,4.000,24.1,0.0,0,0,6,669,28,28.9
941.21,4.000,24.1,0.0,0,0,8,680,29,28.9
940.06,4.000,24.0,0.0,0,0,10,691,29,29.0
938.92,3.920,23.9,0.5,179,0,12,701,29
937.77,3.910,23.9,0.5,178,0,14,712,29,29.0
936.63,3.840,23.9,0.6,178,0,16,723,29,29.0
935.71,3.750,23.8,0.7,177,0,18,731,29,29.0
934.80,3.750,23.5,0.7,176,0,20,740,29,29.0
933.89,3.760,23.3,0.8,175,0,22,748,29,29.0
933.20,3.760,23.1,0.9,174,0,24,755,30,29.0
932.29,3.830,22.9,0.9,173,0,26,763,30,29.1
931.38,3.870,22.7,1.0,172,0,28,772,31,29.1
930.47,3.890,22.6,1.1,170,0,30,780,31,29.1
929.34,3.890,22.4,1.1,169,0,32,791,31,29.1
928.43,3.890,22.3,1.2,167,0,34,799,32,29.1
927.52,3.930,22.3,1.2,165,0,36,808,32,29.1
925.94,3.930,22.2,1.3,162,0,38,823,32,29.1
925.00,3.940,22.1,1.3,160,3,39,831,32
924.59,3.940,22.1,1.3,160,0,40,835,32
923.46,3.960,22.0,1.4,157,0,42,846,32,29.2
922.56,3.960,21.9,1.4,154,0,44,854,32,29.1
921.66,3.990,21.8,1.5,150,0,46,863,33,29.2
920.53,3.990,21.8,1.5,147,0,48,873,33,29.2
919.86,4.020,21.6,1.5,143,0,50,880,33,29.2
918.96,4.020,21.5,1.5,139,0,52,888,33,29.2
918.29,4.010,21.5,1.6,134,0,54,894,33
917.17,4.030,21.4,1.6,129,0,56,905,33,29.2
916.72,4.030,21.3,1.6,124,0,58,909,33,29.3
916.27,4.020,21.2,1.6,119,0,60,914,33,29.3
915.60,4.020,21.1,1.7,115,0,62,920,33,29.3
914.93,4.060,21.1,1.8,109,0,64,926,32,29.3
913.59,4.090,21.0,1.9,106,0,66,939,34,29.3
912.03,4.110,20.9,2.0,103,0,68,954,34,29.3
911.14,4.110,20.8,2.2,102,0,70,962,34,29.4
910.47,4.110,20.7,2.3,101,0,72,968,34,29.4
909.36,4.100,20.6,2.4,100,0,74,979,34,29.4
908.25,4.090,20.4,2.5,98,0,76,989,34,29.4
907.15,4.090,20.4,2.6,97,0,78,1000,34,29.4
905.82,4.090,20.3,2.7,95,0,80,1013,35,29.4
904.93,4.090,20.2,2.7,93,0,82,1021,35
904.05,4.080,20.0,2.8,92,0,84,1029,35
903.17,4.020,19.9,2.8,90,0,86,1038,35,29.4
902.07,4.020,19.8,2.8,88,0,88,1048,36,29.4
900.97,4.020,19.8,2.7,86,0,90,1059,36,29.5
899.65,4.030,19.6,2.7,84,0,92,1071,36,29.5
898.33,4.020,19.6,2.6,82,0,94,1084,36,29.5
896.80,4.020,19.4,2.5,80,0,96,1099,36
895.70,4.010,19.3,2.4,78,0,98,1109,36,29.5
894.83,4.030,19.2,2.3,76,0,100,1118,37,29.6
893.95,4.030,19.1,2.2,74,0,102,1126,37,29.5
893.08,4.000,19.1,2.1,72,0,104,1134,37,29.5
892.21,4.000,19.0,2.0,70,0,106,1143,37,29.5
890.90,4.000,18.8,2.0,69,0,108,1155,37,29.6
889.60,3.970,18.7,2.0,68,0,110,1168,37,29.6
888.30,4.000,18.6,2.1,66,0,112,1180,38,29.6
887.21,4.010,18.6,2.2,65,0,114,1191,38,29.6
885.92,4.010,18.4,2.3,63,0,116,1203,38,29.6
884.83,3.990,18.3,2.5,62,0,118,1214,38,29.7
883.97,3.990,18.2,2.7,60,0,120,1222,39,29.7
883.11,4.010,18.2,2.8,58,0,122,1231,39,29.7
882.03,4.010,18.0,2.9,57,0,124,1241,39,29.7
881.17,4.010,17.9,2.9,56,0,126,1249,40
880.31,4.010,17.9,2.8,55,0,128,1258,40,29.7
879.45,4.020,17.8,2.7,55,0,130,1266,40,29.7
878.38,4.030,17.7,2.6,57,0,132,1277,40,29.8
877.52,4.030,17.6,2.4,59,0,134,1285,40,29.8
876.66,4.070,17.5,2.1,63,0,136,1293,41,29.8
875.81,4.230,17.4,1.8,67,0,138,1302,41,29.8
874.95,4.260,17.4,1.6,74,0,140,1310,41
874.31,4.270,17.4,1.4,82,0,142,1316,41,29.8
873.46,4.270,17.3,1.3,84,0,144,1325,41,29.8
872.82,4.270,17.2,1.2,84,0,146,1331,42,29.8
871.97,4.230,17.1,1.2,83,0,148,1339,42,29.8
871.12,4.220,17.0,1.2,82,0,150,1347,42,29.9
870.27,4.200,17.0,1.3,74,0,152,1356,42,29.9
869.42,4.200,16.9,1.4,64,0,154,1364,42,29.9
868.57,4.200,16.8,1.6,56,0,156,1372,42,29.9
867.72,4.200,16.7,1.8,52,0,158,1381,42,29.9
866.87,4.200,16.6,2.1,49,0,160,1389,42,29.9
865.82,4.180,16.6,2.2,47,0,162,1399,43,30.0
864.76,4.200,16.5,2.2,47,0,164,1410,43,30.0
863.92,4.210,16.4,2.3,50,0,166,1418,42,30.0
862.86,4.230,16.4,2.3,55,0,168,1428,40,30.0
862.23,4.230,16.5,2.2,63,2,170,1435,40
861.18,4.290,16.5,2.0,72,0,172,1445,38,30.0
860.34,4.390,16.6,1.8,82,0,174,1453,37,30.0
859.50,4.400,16.5,1.7,96,0,176,1462,37,30.1
858.66,4.430,16.5,1.6,112,0,178,1470,37,30.1
857.61,4.480,16.5,1.6,125,0,180,1480,37,30.1
856.56,4.620,16.4,1.6,135,0,182,1491,37,30.1
855.73,4.680,16.3,1.7,144,0,184,1499,36,30.2
854.89,4.740,16.2,1.6,151,0,186,1507,36
854.06,4.840,16.2,1.6,156,0,188,1516,37,30.1
853.23,4.990,16.1,1.5,158,0,190,1524,37,30.2
852.39,5.130,16.0,1.4,162,0,192,1532,37,30.2
851.35,5.130,16.0,1.2,168,0,194,1543,37,30.3
850.52,5.140,15.9,1.1,173,0,196,1551,38,30.3
850.00,5.150,15.8,1.1,189,3,198,1556,38,30.3
849.69,5.150,15.8,1.1,189,0,198,1559,38,30.3
848.65,5.170,15.6,1.0,197,0,200,1570,38
847.62,5.210,15.5,1.0,205,0,202,1580,38,30.3
846.59,5.250,15.4,1.0,213,0,204,1590,38,30.3
845.14,5.260,15.4,1.0,219,0,206,1605,39,30.3
843.90,5.260,15.3,1.0,226,0,208,1617,39,30.3
842.87,5.260,15.0,1.1,233,0,210,1627,39,30.4
841.84,5.260,15.0,1.2,242,0,212,1638,39,30.4
840.61,5.260,14.9,1.4,246,0,214,1650,40,30.4
838.97,5.250,14.8,1.5,248,0,216,1667,40
838.56,5.240,14.8,1.7,250,0,218,1671,40,30.4
837.74,5.240,14.8,1.9,251,0,220,1679,40,30.4
836.72,5.210,14.7,2.0,252,0,222,1689,39,30.5
835.70,5.210,14.6,2.2,251,0,224,1700,39,30.5
834.89,5.210,14.6,2.4,251,0,226,1708,38,30.5
833.87,5.150,14.7,2.6,250,2,228,1718,35,30.5
833.26,4.910,14.8,2.7,249,0,230,1724,36,30.6
832.44,4.790,14.9,2.8,247,0,232,1733,35
831.43,4.590,15.0,3.0,245,0,234,1743,34,30.6
830.62,4.590,15.0,3.0,242,0,236,1751,34,30.6
829.81,4.520,15.0,3.1,240,0,238,1760,34,30.6
829.00,4.410,15.1,3.2,238,0,240,1768,34,30.6
827.98,4.410,15.1,3.2,237,0,242,1778,34,30.6
826.77,4.310,15.0,3.3,235,0,244,1791,35,30.7
825.76,4.000,14.9,3.3,234,0,246,1801,35,30.7
824.76,3.990,14.9,3.3,233,0,248,1811,35,30.7
823.95,3.840,14.8,3.3,234,0,250,1819,36,30.7
823.35,3.650,14.8,3.3,236,0,252,1826,35,30.7
822.34,3.600,14.7,3.2,239,0,254,1836,36,30.8
821.54,3.450,14.6,3.2,243,0,256,1844,36,30.8
820.74,3.450,14.6,3.1,249,0,258,1852,35,30.8
819.74,3.390,14.7,3.1,255,0,260,1863,35
818.94,3.290,14.6,3.0,263,0,262,1871,36,30.8
818.34,3.260,14.6,3.0,272,0,264,1877,36
817.54,3.190,14.5,3.0,279,0,266,1885,36,30.9
816.74,3.140,14.4,2.9,286,2,268,1894,35,30.9
815.94,3.140,14.4,2.9,291,0,270,1902,34,30.9
814.95,3.120,14.4,2.9,296,0,272,1912,34,30.9
813.95,3.070,14.5,3.0,299,0,274,1923,33,30.9
812.96,3.050,14.4,3.0,302,0,276,1933,33
812.37,3.050,14.3,3.1,303,0,278,1939,33,30.9
811.57,3.020,14.3,3.1,303,0,280,1947,33,30.9
810.58,3.050,14.3,3.2,303,0,282,1958,34,31.0
809.59,3.020,14.2,3.3,301,0,284,1968,35,31.0
808.80,3.050,14.1,3.5,301,0,286,1976,35,31.0
808.21,3.050,14.0,3.6,300,0,288,1982,33,31.0
807.03,3.070,14.0,3.7,300,0,290,1995,33,31.1
805.65,3.110,13.9,3.7,300,0,292,2009,33
804.47,3.160,13.9,3.7,301,0,294,2021,32,31.1
803.10,3.210,13.9,3.6,302,0,296,2036,32,31.1
801.53,3.230,13.8,3.4,303,0,298,2052,33,31.1
800.16,3.270,13.7,3.2,304,0,300,2067,33,31.1
799.58,3.270,13.6,2.9,306,0,302,2073,33,31.1
798.80,3.250,13.6,2.5,308,0,304,2081,33,31.1
797.82,3.230,13.5,2.1,310,0,306,2091,33
796.85,3.210,13.4,1.8,313,0,308,2102,33,31.1
796.07,3.200,13.4,1.5,316,0,310,2110,34,31.2
795.10,3.190,13.3,1.3,319,0,312,2120,34,31.2
794.13,3.160,13.2,1.1,321,0,314,2130,34,31.2
793.16,3.160,13.1,1.0,322,0,316,2141,35
791.81,3.070,13.0,1.0,324,0,318,2155,34,31.3
790.45,3.070,13.0,1.0,325,0,320,2169,34
789.10,2.980,12.9,1.0,325,0,322,2184,35,31.3
788.14,2.980,12.9,1.1,325,2,324,2194,35,31.3
787.18,2.970,12.7,1.1,325,0,326,2204,35,31.3
786.60,2.950,12.6,1.2,326,0,328,2210,36,31.3
785.84,2.920,12.5,1.3,326,0,330,2218,37,31.3
785.07,2.840,12.4,1.4,326,0,332,2227,38,31.3
784.30,2.770,12.4,1.5,325,0,334,2235,38
783.54,2.750,12.2,1.6,324,0,336,2243,39,31.3
782.77,2.750,12.1,1.7,322,0,338,2251,39,31.4
781.82,2.730,12.1,1.8,319,0,340,2261,38,31.4
781.05,2.730,11.9,1.9,316,0,342,2270,38,31.4
780.10,2.740,11.9,1.9,312,0,344,2280,37,31.4
778.96,2.770,11.8,1.9,307,0,346,2292,37,31.4
777.82,2.800,11.7,2.0,302,0,348,2304,37,31.4
776.87,2.820,11.6,2.0,298,0,350,2314,37,31.4
776.11,2.820,11.5,2.0,295,0,352,2323,37,31.5
775.35,2.830,11.4,2.0,293,0,354,2331,37,31.5
774.60,2.830,11.4,2.0,292,0,356,2339,37,31.5
773.84,2.830,11.4,2.1,292,0,358,2347,37,31.5
772.71,2.820,11.3,2.2,293,0,360,2359,37,31.5
771.95,2.820,11.2,2.3,295,0,362,2367,38
771.01,2.820,11.1,2.4,297,0,364,2378,38,31.5
770.07,2.790,10.9,2.6,300,0,366,2388,38,31.6
768.95,2.780,10.8,2.8,303,0,368,2400,38,31.5
768.01,2.780,10.7,2.8,305,0,370,2410,38,31.6
