
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-20,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a5251

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-06-11,10:58:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 231
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
300.6,0,366

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.04,26.7,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.13,4.350,24.8,0,0,2,0,631,44,27.2
947.44,4.360,24.5,0.7,189,0,2,637,31,27.3
946.74,4.430,24.2,0.9,187,0,4,644,32,27.3
946.05,4.430,23.8,1,185,0,6,650,34,27.3
945.36,4.430,23.5,1.1,183,0,8,657,35,27.3
944.43,4.430,23.3,1.2,181,0,10,665,35,27.3
943.74,4.430,23.1,1.3,178,0,12,672,36,27.3
943.05,4.450,22.9,1.5,178,0,14,678,36,27.3
942.36,4.460,22.7,1.5,174,0,16,684,37,27.3
941.67,4.460,22.5,1.5,164,0,18,691,38,27.4
940.98,4.500,22.3,1.4,157,2,20,697,38,27.4
940.29,4.550,22.3,1.4,149,0,22,703,39,27.3
939.83,4.550,22.3,1.3,140,0,24,708,39
939.15,4.550,22.2,1.3,132,0,26,714,39,27.3
938.23,4.550,22.1,1.2,124,0,28,722,39,27.4
937.54,4.560,22.1,1.2,116,0,30,729,39,27.3
936.86,4.560,22,1.1,108,0,32,735,39,27.4
936.17,4.580,22,1.1,100,0,34,741,39,27.4
935.48,4.580,21.9,1,94,0,36,748,40,27.4
934.57,4.590,21.8,1,88,0,38,756,39,27.4
933.89,4.610,21.8,1,83,0,40,763,39
