
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-20,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a5282

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,1999-12-29,12:00:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 271
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
58.1,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.052,26.90,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
941.21,0.310,3.4,2.0,0,2,0,631,90,17.0
939.38,0.320,2.5,,,0,2,647,86
938.69,0.320,2.5,,,0,4,653,87,17.0
937.77,0.330,2.3,,,0,6,661,87,17.0
937.08,0.340,2.2,,,0,8,667,87,17.0
936.63,0.350,2.2,,,0,10,671,88,17.0
935.94,0.350,2.1,,,0,12,676,88,17.1
935.26,0.370,2.0,,,0,14,682,88,17.1
934.34,0.400,2.0,,,0,16,690,89,17.1
933.20,0.420,1.9,,,0,18,700,90
932.06,0.430,1.8,,,0,20,710,90,17.1
930.93,0.440,1.7,,,0,22,720,91,17.1
929.79,0.450,1.6,,,0,24,730,91,17.1
928.88,0.470,1.5,,,0,26,738,91,17.1
927.75,0.490,1.5,,,0,28,747,91,17.1
926.62,0.530,1.4,,,0,30,757,91,17.2
925.71,0.560,1.3,,,0,32,765,92,17.2
925.00,0.610,1.3,,,3,34,771,92,17.2
924.81,0.610,1.3,,,0,34,773,92,17.2
923.91,0.660,1.2,,,0,36,781,92
922.56,0.690,1.2,,,0,38,793,92,17.2
921.43,0.740,1.1,,,0,40,802,92,17.2
920.31,0.760,1.1,,,0,42,812,92,17.2
919.63,0.770,1.0,,,0,44,818,92,17.3
918.74,0.820,1.1,,,0,46,826,92,17.3
