
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-07-06,AEMET,1.0,César Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a8076

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-02-07,11:26:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 221
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
313.5,0,368.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0,27.2,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
933.2,1.050,7.2,0.4,290,2,0,631,97,24
932.29,1.060,6.5,2.8,252,0,2,639,75,24.1
931.16,1.070,6.5,3.4,246,0,4,649,75
930.25,1.080,6.4,3.9,240,0,6,657,75,24.1
929.57,1.100,6.4,4.5,234,0,8,663,75,24.1
928.66,1.110,6.3,5.1,229,0,10,671,75,24.1
927.98,1.120,6.2,5.7,223,0,12,677,75,24.1
927.3,1.140,6.2,6.3,218,0,14,683,75,24.1
926.85,1.180,6.1,6.8,213,0,16,687,75,24.1
926.17,1.190,6.1,7.4,208,0,18,693,75
925.26,1.260,6,7.9,203,0,20,701,76,24.2
925,1.280,6,7.9,203,3,21,703,76,24.2
924.36,1.280,5.9,8.4,198,0,22,709,75,24.2
923.68,1.280,5.9,8.9,194,0,24,715,75,24.2
922.33,1.380,5.8,9.4,190,0,26,727,75,24.2
921.21,1.420,5.7,9.9,186,0,28,737,75,24.2
920.31,1.460,5.7,10.4,182,0,30,745,75
919.41,1.600,5.6,10.8,179,0,32,753,76,24.2
918.74,1.660,5.5,11.2,176,0,34,759,75,24.2
917.61,1.660,5.5,11.6,173,0,36,769,75,24.2
916.72,1.710,5.6,12,171,0,38,777,74,24.2
915.82,1.740,5.6,12.4,169,0,40,785,74,24.3
914.93,1.870,5.6,12.7,167,0,42,793,74,24.3
