
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-10,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a4117

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2001-05-02,11:34:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 342
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
408.8,0,457

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.063,27,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
939.15,3.870,12.6,2,200,2,0,631,44,24.4
936.86,3.870,12.1,1.3,204,0,2,651,32,24.4
936.4,3.870,12,1.3,205,0,4,656,32,24.5
935.94,3.870,11.8,1.3,205,0,6,660,33,24.4
935.03,3.910,11.7,1.4,206,0,8,668,35,24.5
934.34,3.980,11.7,1.4,206,0,10,674,35,24.5
933.66,3.980,11.7,1.4,207,0,12,680,36,24.5
932.75,4.030,11.7,1.4,208,0,14,688,36,24.5
931.61,4.060,11.6,1.4,208,0,16,698,36,24.5
930.47,4.070,11.5,1.4,209,0,18,709,36,24.6
929.57,4.120,11.3,1.5,209,0,20,717,36,24.5
928.66,4.150,11.1,1.5,210,0,22,725,37,24.6
927.3,4.170,10.9,1.5,210,0,24,737,37,24.6
926.17,4.190,10.7,1.5,211,0,26,747,37
925.04,4.200,10.6,1.5,211,0,28,757,38,24.6
923.68,4.290,10.5,1.5,212,0,30,770,39,24.7
922.56,4.290,10.5,1.6,212,0,32,780,39,24.7
921.21,4.290,10.4,1.6,213,0,34,792,40,24.7
919.86,4.290,10.3,1.6,213,0,36,804,40,24.7
918.74,4.290,10.3,1.6,214,0,38,814,40,24.7
917.61,4.290,10.1,1.7,214,0,40,824,41
916.27,4.290,9.9,1.7,214,0,42,837,41,24.7
914.93,4.300,9.8,1.7,215,0,44,849,41,24.7
913.59,4.290,9.7,1.7,215,0,46,861,41,24.8
912.48,4.280,9.6,1.8,216,0,48,871,42,24.8
910.47,4.280,9.5,1.8,216,0,50,889,42,24.8
908.7,4.260,9.4,1.8,216,0,52,905,42,24.8
