
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-10,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a8199

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-02-27,12:19:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 187
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
143.1,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11Pressure,,,,,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.74,3.110,10.4,4,260,2,0,631,68
944.66,3.120,9.5,4.4,263,0,2,649,63
943.97,3.120,9.4,4.5,263,0,4,655,64
943.28,3.120,9.3,4.6,263,0,6,661,65
942.59,3.120,9.3,4.7,264,0,8,667,65
941.9,3.120,9.3,4.8,264,0,10,674,65
940.98,3.120,9.2,4.9,265,0,12,682,66
940.06,3.130,9.2,5,265,0,14,690,66
939.15,3.130,9.1,5.1,266,0,16,698,67
938,3.130,8.9,5.2,266,0,18,708,68
937.08,3.130,8.8,5.3,266,0,20,716,68
936.17,3.130,8.8,5.4,267,0,22,724,69
935.26,3.130,8.7,5.5,267,0,24,732,69
934.12,3.130,8.6,5.6,267,0,26,742,70
932.98,3.140,8.4,5.7,268,0,28,752,71
932.06,3.140,8.3,5.8,268,0,30,761,71
931.38,3.140,8.2,5.9,268,0,32,767,71
930.47,3.140,8.2,5.9,269,0,34,775,71
929.57,3.140,8.2,6,269,0,36,783,72
928.43,3.140,8.1,6.1,269,0,38,793,72
927.52,3.150,7.9,6.2,269,0,40,801,72
926.62,3.150,7.8,6.2,269,0,42,809,73
925.71,3.150,7.8,6.3,270,0,44,817,73
925,3.150,7.7,6.4,270,3,45,823,73
924.59,3.150,7.7,6.4,270,0,46,827,73
923.46,3.150,7.6,6.4,270,0,48,837,74
922.78,3.150,7.5,6.5,270,0,50,843,74
921.88,3.160,7.4,6.5,270,0,52,851,75
921.21,3.160,7.3,6.6,270,0,54,857,75
920.31,3.160,7.1,6.6,270,0,56,865,76
919.41,3.160,7,6.6,270,0,58,873,76
918.74,3.160,6.9,6.7,270,0,60,879,76
917.84,3.160,6.8,6.7,270,0,62,887,77
917.17,3.160,6.7,6.7,269,0,64,893,77
916.5,3.170,6.6,6.7,269,0,66,899,77
915.6,3.170,6.6,6.7,269,0,68,907,78
914.93,3.170,6.5,6.7,269,0,70,913,78
914.26,3.170,6.4,6.7,268,0,72,919,79
913.59,3.170,6.4,6.7,268,0,74,925,79
912.7,3.170,6.3,6.7,267,0,76,933,79
911.81,3.180,6.2,6.7,267,0,78,941,79
910.7,3.180,6.1,6.6,266,0,80,952,80
909.81,3.180,6.1,6.6,266,0,82,960,80
908.7,3.180,6,6.5,265,0,84,970,80
907.81,3.180,5.9,6.5,265,0,86,978,81
907.15,3.180,5.9,6.4,264,0,88,984,81
906.26,3.190,5.8,6.4,263,0,90,992,81
905.15,3.190,5.6,6.3,262,0,92,1002,82
904.05,3.190,5.6,6.2,261,0,94,1012,82
903.17,3.190,5.5,6.1,260,0,96,1020,82
902.51,3.190,5.4,6,259,0,98,1026,83
901.63,3.190,5.3,5.9,258,0,100,1033,83
900.53,3.190,5.3,5.8,257,0,102,1043,83
899.65,3.200,5.2,5.6,256,0,104,1051,84
898.55,3.200,5.1,5.5,255,0,106,1061,85
897.01,3.200,4.9,5.3,253,0,108,1075,86
896.14,3.200,4.8,5,250,0,110,1083,86
895.05,3.200,4.8,4.7,248,0,112,1093,87
893.95,3.200,4.6,4.4,245,0,114,1103,87
892.86,3.210,4.6,4.1,243,0,116,1113,87
891.99,3.210,4.5,3.9,240,0,118,1121,88
891.34,3.210,4.5,3.8,238,0,120,1127,88
890.03,3.210,4.3,3.6,236,0,122,1139,89
888.95,3.210,4.2,3.5,235,0,124,1149,90
887.86,3.210,4.1,3.5,233,0,126,1159,90
886.56,3.210,4,3.5,232,0,128,1171,91
885.27,3.220,3.9,3.5,231,0,130,1183,92
883.97,3.220,3.8,3.6,231,0,132,1195,92
882.89,3.220,3.7,3.6,231,0,134,1205,92
881.82,3.220,3.7,3.7,232,0,136,1215,93
880.52,3.220,3.5,3.8,233,0,138,1227,94
879.45,3.220,3.4,3.8,234,2,140,1236,94
878.38,3.230,3.4,3.9,235,0,142,1246,93
876.88,3.230,5,3.9,236,2,144,1260,90
875.81,3.230,4.9,4,238,0,146,1270,90
874.95,3.230,4.8,4.1,238,0,148,1278,90
874.1,3.230,4.8,4.2,239,0,150,1286,90
873.03,3.230,4.7,4.2,239,0,152,1296,90
872.18,3.240,4.7,4.4,238,0,154,1304,90
871.33,3.240,4.6,4.5,237,0,156,1312,90
870.27,3.240,4.6,4.6,236,0,158,1322,90
868.99,3.240,4.5,4.7,234,0,160,1334,90
867.72,3.240,4.3,4.9,232,0,162,1346,90
866.66,3.240,4.3,5.1,232,0,164,1356,91
865.39,3.240,4.3,5.2,232,0,166,1368,91
863.92,3.250,4.2,5.3,232,0,168,1382,91
863.07,3.250,4.1,5.4,234,0,170,1390,91
862.02,3.250,4.1,5.5,236,0,172,1400,91
860.97,3.250,4.1,5.5,238,0,174,1410,91
859.71,3.250,4,5.5,241,0,176,1422,91
858.66,3.250,3.9,5.4,245,0,178,1431,91
857.61,3.260,3.8,5.3,249,0,180,1441,91
856.77,3.260,3.7,5.2,252,0,182,1449,91
855.73,3.260,3.7,5.1,254,0,184,1459,90
854.68,3.260,3.6,4.9,257,0,186,1469,90
853.64,3.260,3.6,4.9,259,0,188,1479,91
852.81,3.260,3.6,4.8,261,0,190,1487,90
851.98,3.270,3.6,4.9,263,0,192,1495,91
850.94,3.270,3.7,5,264,0,194,1505,88
850,3.270,4,5.1,266,3,195,1514,85
849.48,3.270,4.2,5.1,266,0,196,1519,84
848.03,3.270,4.6,5.4,267,0,198,1533,81
846.79,3.270,4.9,5.6,268,0,200,1545,80
845.76,3.270,5.1,6,269,0,202,1555,79
844.93,3.270,5.4,6.3,270,0,204,1563,78
843.49,3.280,5.6,6.7,271,0,206,1577,76
842.05,3.280,5.8,7,272,0,208,1591,76
841.02,3.280,6,7.3,273,0,210,1601,75
839.79,3.280,6.1,7.6,273,0,212,1613,75
838.56,3.280,6.3,7.9,273,0,214,1625,74
837.34,3.280,6.5,8.1,274,0,216,1637,73
836.31,3.290,6.6,8.3,274,0,218,1647,72
835.29,3.290,6.8,8.4,274,0,220,1657,71
834.27,3.290,6.9,8.6,274,0,222,1667,70
833.46,3.290,7,8.7,274,0,224,1675,69
832.44,3.290,7.1,8.9,274,2,226,1685,68
831.02,3.290,7.1,9,274,0,228,1699,67
830.21,3.290,7.1,9.1,274,0,230,1707,67
829.4,3.300,7.1,9.2,274,0,232,1715,67
828.19,3.300,7.1,9.2,274,0,234,1727,68
826.97,3.300,6.9,9.3,274,0,236,1739,68
825.76,3.300,7,9.4,274,0,238,1751,68
824.76,3.300,7,9.4,275,0,240,1761,68
823.55,3.300,7.1,9.5,275,0,242,1773,68
822.34,3.310,7.2,9.5,275,0,244,1785,66
821.34,3.310,7.2,9.5,275,0,246,1795,65
820.34,3.310,7.3,9.6,275,0,248,1805,64
819.34,3.300,7.3,9.6,275,0,250,1815,63
817.94,3.340,7.3,9.6,275,0,252,1830,62
817.14,3.350,7.3,9.7,275,0,254,1838,61
816.34,3.370,7.3,9.7,276,0,256,1846,61
