
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A5571

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-06-12,11:35:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 192
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
316.6,0,393.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.110,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
948.13,5.220,30.2,3.5,158,2,0,631,41,29.3
946.74,5.270,29.5,,,0,2,644,20,29.3
945.36,5.330,28.9,,,0,4,657,21
944.20,5.430,28.4,,,0,6,668,22,29.3
942.82,5.440,27.7,,,2,8,681,23,29.3
941.44,5.450,27.7,,,0,10,694,23,29.3
940.29,5.450,27.6,,,0,12,705,23,29.4
938.92,5.460,27.4,,,0,14,718,23,29.4
937.77,5.480,27.3,,,0,16,728,23
936.63,5.550,27.1,,,0,18,739,24,29.4
935.03,5.550,27.1,,,0,20,754,24,29.4
933.43,5.600,26.9,,,0,22,769,24,29.4
932.06,5.640,26.8,,,0,24,782,24,29.4
930.70,5.640,26.7,,,0,26,795,24,29.4
928.88,5.650,26.5,,,0,28,812,24,29.4
927.07,5.640,26.3,,,0,30,829,25,29.4
925.04,5.650,26.2,,,0,32,849,25,29.4
923.23,5.650,26.1,,,0,34,866,25,29.4
921.21,5.640,26.0,,,0,36,885,25,29.4
919.63,5.650,25.8,,,0,38,900,25
918.06,5.650,25.6,,,0,40,915,25,29.4
916.72,5.650,25.4,,,0,42,928,25,29.4
915.60,5.650,25.4,,,0,44,939,25,29.4
914.26,5.730,25.2,,,0,46,952,25,29.5
913.14,5.730,25.1,,,0,48,962,26
912.03,5.760,24.9,,,0,50,973,26,29.5
910.70,5.760,24.7,,,0,52,986,26,29.5
909.36,5.730,24.6,,,0,54,999,27,29.5
908.03,5.760,24.5,,,0,56,1011,27,29.5
906.92,5.830,24.3,,,0,58,1022,27,29.5
905.60,5.790,24.2,,,0,60,1035,27
904.49,5.790,24.0,,,0,62,1046,27,29.5
903.17,5.800,23.7,,,0,64,1058,28,29.5
902.07,5.800,23.6,,,0,66,1069,28,29.5
