
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a10065

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-07-10,11:46:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 133
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
250.7,0,322.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.131,27.8,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.28,2.730,26,5,210,2,0,631,36,33.9
941.21,2.770,24.6,,,0,2,650,33,33.8
940.29,2.800,23.9,,,0,4,659,34,33.8
938.92,2.810,23,,,2,6,672,35
937.31,2.890,22.8,,,0,8,686,36,33.9
935.94,2.890,22.6,,,0,10,699,37,33.9
934.8,2.890,22.4,,,0,12,710,37,33.9
933.2,2.940,22.2,,,0,14,725,38,33.9
931.38,3.010,22,,,0,16,742,38,33.9
930.02,3.080,21.8,,,0,18,754,39
928.66,3.080,21.6,,,0,20,767,39,33.9
927.3,3.100,21.5,,,0,22,780,39,34
925.71,3.100,21.3,,,0,24,795,40,34
925,3.120,21.2,,,3,25,801,40,34
924.36,3.120,21.1,,,0,26,807,40,34
923.01,3.160,21,,,0,28,820,41,34
921.43,3.210,20.9,,,0,30,835,41,34
919.86,3.260,20.7,,,0,32,849,41
918.06,3.260,20.6,,,0,34,866,41,34
916.05,3.260,20.4,,,0,36,885,42,34
914.71,3.170,20.3,,,0,38,898,42,34
913.14,3.260,20.1,,,0,40,913,42,34.1
911.59,3.260,19.9,,,0,42,927,42,34
909.81,3.260,19.7,,,0,44,944,43,34.1
908.03,3.250,19.5,,,0,46,961,44,34.1
906.04,3.230,19.2,,,0,48,980,44,34.1
904.49,3.230,19,,,0,50,995,45,34.1
902.95,3.230,18.8,,,0,52,1009,45,34.1
900.97,3.270,18.5,,,0,54,1028,45,34.1
899.43,3.270,18.2,,,0,56,1043,46,34.1
897.89,3.280,18,,,0,58,1057,47
896.58,3.320,17.9,,,0,60,1070,47,34.1
895.05,3.320,17.8,,,0,62,1084,47,34.1
893.74,3.320,17.8,,,0,64,1097,47,34.2
892.43,3.320,17.7,,,0,66,1110,48,34.2
890.9,3.330,17.4,,,0,68,1124,48,34.2
889.17,3.340,17.2,,,0,70,1141,49,34.2
887.21,3.350,17.1,,,0,72,1160,49,34.2
886.35,3.360,17,,,0,74,1168,49,34.2
885.05,3.380,16.9,,,0,76,1180,50,34.3
883.32,3.370,16.7,,,0,78,1197,50,34.2
881.82,3.400,16.6,,,0,80,1212,50,34.2
880.31,3.380,16.5,,,0,82,1226,50,34.2
878.38,3.390,16.3,,,0,84,1245,51
876.88,3.400,16.1,,,0,86,1259,52,34.2
874.95,3.430,15.9,,,0,88,1278,52,34.3
873.25,3.400,15.8,,,0,90,1295,53,34.3
871.54,3.400,15.7,,,0,92,1311,53,34.3
870.05,3.440,15.5,,,0,94,1326,53,34.3
868.57,3.440,15.3,,,0,96,1340,54,34.3
867.3,3.440,15.2,,,0,98,1353,54
865.82,3.440,15,,,0,100,1367,55,34.3
863.92,3.440,14.8,,,0,102,1386,56,34.3
862.23,3.370,14.6,,,0,104,1402,56,34.3
860.97,3.370,14.6,,,0,106,1415,56,34.4
859.71,3.370,14.5,,,0,108,1427,56,34.4
858.03,3.360,14.4,,,0,110,1444,56
856.36,3.350,14.2,,,0,112,1460,56,34.4
854.89,3.360,14.1,,,0,114,1475,57,34.4
853.43,3.360,13.9,,,0,116,1489,57,34.4
851.98,3.350,13.8,,,0,118,1503,58,34.4
850.73,3.350,13.6,,,0,120,1516,58,34.5
850,3.350,13.6,,,3,121,1523,58,34.4
849.07,3.350,13.5,,,0,122,1532,59,34.5
847.41,3.350,13.4,,,0,124,1549,60
845.97,3.350,13.2,,,0,126,1563,60,34.5
844.52,3.350,13.1,,,0,128,1577,61,34.5
842.87,3.350,13,,,0,130,1594,61,34.5
841.02,3.340,12.8,,,0,132,1612,60,34.5
839.79,3.350,12.7,,,0,134,1625,60,34.5
838.36,3.350,12.6,,,0,136,1639,60,34.5
836.52,3.340,12.4,,,0,138,1657,61,34.5
834.89,3.340,12.2,,,0,140,1674,61,34.5
833.26,3.310,12,,,0,142,1690,62,34.5
831.83,3.310,11.9,,,0,144,1705,63,34.5
830.41,3.310,11.7,,,0,146,1719,64,34.5
828.79,3.340,11.5,,,0,148,1735,65,34.5
827.38,3.330,11.4,,,0,150,1749,65
825.97,3.340,11.2,,,0,152,1764,66,34.5
824.76,3.340,11.1,,,0,154,1776,67,34.5
823.55,3.330,11,,,0,156,1788,67,34.5
822.14,3.330,10.8,,,0,158,1803,67,34.6
820.94,3.330,10.7,,,0,160,1815,68,34.6
819.94,3.330,10.6,,,0,162,1825,68,34.5
818.74,3.320,10.4,,,0,164,1837,68,34.6
817.74,3.300,10.4,,,0,166,1847,69,34.6
816.74,3.280,10.3,,,0,168,1857,69,34.6
815.55,3.270,10.2,,,0,170,1870,70,34.6
814.55,3.270,10.1,,,0,172,1880,70,34.6
813.76,3.270,10,,,0,174,1888,71,34.6
812.76,3.280,9.9,,,0,176,1898,72,34.6
811.77,3.270,9.8,,,0,178,1908,72
810.39,3.280,9.6,,,0,180,1922,72,34.7
809.59,3.270,9.5,,,0,182,1931,74,34.6
808.8,3.270,9.4,,,0,184,1939,75,34.7
808.01,3.230,9.3,,,0,186,1947,75,34.7
807.03,3.230,9.3,,,0,188,1957,76,34.7
806.04,3.230,9.2,,,0,190,1967,76,34.7
805.06,3.220,9,,,0,192,1977,77,34.7
804.28,3.190,8.9,,,0,194,1985,78,34.7
803.29,3.190,8.8,,,0,196,1995,78,34.7
802.31,3.170,8.7,,,0,198,2006,79,34.7
801.53,3.180,8.6,,,0,200,2014,79,34.7
800.55,3.170,8.5,,,0,202,2024,80,34.8
799.38,3.170,8.4,,,0,204,2036,80
798.6,3.160,8.3,,,0,206,2044,81,34.8
797.63,3.170,8.2,,,0,208,2054,81,34.8
796.65,3.160,8.1,,,2,210,2064,81,34.7
795.88,3.140,8.1,,,0,212,2072,80,34.8
