
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a5253

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-08-07,11:05:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 179
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
264.0,0,343.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.059,26.20,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.82,5.920,28.0,0.0,0,2,0,631,46,32.5
945.36,5.920,27.9,0.0,0,0,2,635,28,32.5
944.20,5.940,27.5,0.0,0,0,4,646,29,32.6
943.28,5.920,27.2,0.0,0,0,6,655,30,32.6
942.13,5.920,26.9,0.0,0,0,8,666,30
940.98,5.880,26.7,0.0,0,0,10,676,30,32.6
940.06,5.870,26.6,0.0,0,0,12,685,30,32.6
939.15,5.870,26.5,0.0,0,0,14,694,31,32.6
938.46,5.870,26.3,0.0,0,0,16,700,31,32.6
937.54,5.870,26.1,0.0,0,0,18,709,31,32.6
936.63,5.870,25.8,0.0,0,0,20,717,31,32.6
935.71,5.920,25.5,0.0,0,0,22,726,31,32.6
935.03,5.880,25.3,0.0,0,0,24,732,31,32.7
934.57,5.840,25.2,0.0,0,0,26,736,32,32.7
933.66,5.840,25.0,0.0,0,0,28,745,33,32.7
932.75,5.820,24.8,0.0,0,0,30,754,33,32.7
931.84,5.820,24.7,0.0,0,0,32,762,34
930.70,5.820,24.6,0.0,0,0,34,773,33,32.7
929.79,5.820,24.5,0.0,0,0,36,781,34
928.88,5.830,24.4,0.0,0,0,38,790,34,32.8
927.98,5.870,24.3,0.0,0,0,40,798,34,32.8
927.30,5.870,24.2,0.0,0,0,42,805,34,32.8
