
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a017514

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-08-28,11:20:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 240
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241.8,0,317.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.05,4.160,23.8,2.3,39,2,0,631,44
945.13,4.160,23.4,2.6,37,0,2,640,35
944.20,4.190,22.9,2.7,36,0,4,648,36
943.28,4.310,22.5,2.9,35,0,6,657,36
942.13,4.310,21.9,3.0,34,0,8,667,37
940.98,4.450,21.4,3.2,34,0,10,678,37
940.06,4.460,20.9,3.3,33,2,12,686,38
939.38,4.470,20.8,3.5,32,0,14,692,38
938.46,4.450,20.7,3.6,31,0,16,701,39
937.54,4.480,20.6,3.8,30,0,18,709,40
936.63,4.530,20.5,3.9,30,0,20,718,40
935.71,4.570,20.4,4.0,29,0,22,726,40
935.03,4.580,20.4,4.2,28,0,24,733,41
933.89,4.580,20.3,4.3,27,0,26,743,41
932.75,4.590,20.2,4.4,27,0,28,754,41
931.38,4.580,20.1,4.6,26,0,30,766,42
930.02,4.590,20.0,4.7,25,0,32,779,42
928.88,4.590,19.9,4.8,25,0,34,789,42
927.98,4.590,19.8,5.0,24,0,36,798,42
926.62,4.590,19.7,5.1,23,0,38,810,42
925.49,4.600,19.6,5.2,23,0,40,821,43
925.00,4.600,19.6,5.2,23,3,41,825,43
924.36,4.600,19.5,5.3,22,0,42,831,43
923.01,4.630,19.4,5.4,22,0,44,844,43
921.66,4.640,19.3,5.5,21,0,46,857,43
919.86,4.640,19.2,5.6,21,0,48,873,44
918.96,4.670,19.1,5.7,20,0,50,882,44
917.84,4.630,19.0,5.8,20,0,52,892,44
916.50,4.650,18.8,5.9,20,0,54,905,45
914.93,4.630,18.7,6.0,19,0,56,919,45
913.59,4.650,18.6,6.1,19,0,58,932,45
912.25,4.630,18.5,6.2,19,0,60,945,45
911.14,4.630,18.4,6.2,18,0,62,955,46
909.81,4.620,18.2,6.3,18,0,64,968,46
908.48,4.610,18.0,6.4,18,0,66,980,46
907.15,4.610,17.9,6.4,18,0,68,993,46
905.60,4.610,17.7,6.5,18,0,70,1007,47
904.05,4.630,17.6,6.5,18,0,72,1022,47
902.73,4.610,17.5,6.6,18,0,74,1034,48
901.63,4.610,17.4,6.6,18,0,76,1045,48
900.53,4.610,17.3,6.7,19,0,78,1055,48
898.99,4.610,17.1,6.6,19,0,80,1070,48
897.67,4.610,17.0,6.5,20,0,82,1082,49
896.36,4.610,16.9,6.4,20,0,84,1095,49
895.26,4.600,16.8,6.2,21,0,86,1105,49
894.17,4.600,16.7,6.1,21,0,88,1116,50
892.86,4.590,16.5,5.9,22,0,90,1128,50
891.56,4.590,16.4,5.7,22,0,92,1141,50
890.25,4.570,16.3,5.6,23,0,94,1153,50
888.51,4.590,16.1,5.5,23,0,96,1170,51
887.43,4.590,16.0,5.4,24,0,98,1180,51
886.13,4.590,15.9,5.3,24,0,100,1192,51
885.05,4.590,15.8,5.3,25,0,102,1203,51
884.19,4.590,15.7,5.2,26,0,104,1211,51
883.11,4.590,15.6,5.2,27,0,106,1222,52
882.03,4.610,15.5,5.2,27,0,108,1232,52
880.95,4.610,15.4,5.2,28,0,110,1242,52
880.09,4.610,15.3,5.2,29,0,112,1251,52
879.02,4.610,15.3,5.2,30,0,114,1261,53
877.73,4.560,15.1,5.2,31,0,116,1273,53
876.66,4.590,15.0,5.2,32,0,118,1284,54
875.81,4.590,14.9,5.2,33,0,120,1292,54
874.31,4.590,14.7,5.2,34,0,122,1306,55
873.03,4.500,14.6,5.2,35,0,124,1319,55
871.75,4.550,14.5,5.3,35,0,126,1331,55
870.48,4.500,14.4,5.3,36,0,128,1344,55
869.42,4.500,14.4,5.4,37,0,130,1354,55
868.14,4.550,14.2,5.5,37,0,132,1366,56
867.08,4.520,14.1,5.6,38,0,134,1377,56
865.82,4.500,14.0,5.6,38,0,136,1389,57
864.76,4.520,13.8,5.8,38,0,138,1399,57
863.70,4.520,13.8,5.9,38,0,140,1409,58
862.44,4.530,13.6,5.9,38,0,142,1422,58
861.39,4.520,13.5,6.0,37,0,144,1432,59
860.13,4.540,13.4,6.1,37,0,146,1444,59
858.87,4.460,13.3,6.1,37,0,148,1457,60
857.61,4.470,13.2,6.1,36,0,150,1469,60
856.56,4.520,13.0,6.1,36,0,152,1479,60
855.52,4.470,12.9,6.1,36,0,154,1490,61
854.48,4.470,12.9,6.0,36,0,156,1500,61
853.23,4.470,12.7,5.9,37,0,158,1512,61
