
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a8189

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-09-11,12:03:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 183
* <Unknown> chuchuchu

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
230.7,0,297.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.099,28.10,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.97,3.500,27.0,0.0,0,2,0,631,46,28.4
944.90,3.500,26.5,0.0,0,0,2,650,28,28.5
944.20,3.650,26.5,0.0,0,0,4,657,29,28.5
943.28,3.740,26.4,0.0,0,0,6,665,29,28.4
942.13,3.780,26.2,0.0,0,0,8,676,29
940.98,3.830,26.0,0.0,0,0,10,687,29,28.5
939.60,3.830,25.9,0.0,0,0,12,700,28,28.5
938.23,3.830,25.7,0.0,0,0,14,713,30,28.5
936.86,3.850,25.5,0.0,0,0,16,726,30,28.5
935.48,3.920,25.4,0.0,0,0,18,738,30,28.5
934.12,3.960,25.3,0.0,0,0,20,751,30,28.5
932.52,3.970,25.1,0.0,0,0,22,766,30
930.47,4.030,24.9,0.0,0,0,24,785,31,28.6
928.66,4.030,24.7,0.0,0,0,26,803,31,28.6
926.85,3.980,24.5,0.0,0,0,28,820,32,28.6
925.26,3.960,24.3,0.0,0,0,30,835,32,28.6
925.00,3.960,24.3,0.0,0,3,30,837,32,28.6
923.91,3.960,24.1,0.0,0,0,32,847,32,28.6
922.11,3.960,23.9,0.0,0,0,34,864,32,28.6
920.31,3.990,23.6,0.0,0,0,36,882,32,28.6
918.74,3.980,23.4,0.5,48,0,38,896,33,28.6
917.39,3.960,23.3,0.5,49,0,40,909,33,28.7
