
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,5a,5a017534

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-10-02,11:34:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 120
* <Unknown>

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
113.8,0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.022,25.6,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.29,2.530,15.4,0.5,150,2,0,631,81,23.5
948.13,2.580,14.8,0,0,0,2,641,68,23.4
947.21,2.590,14.8,0.5,174,0,4,650,69,23.4
946.28,2.600,14.7,0.6,186,0,6,658,70,23.4
945.36,2.610,14.6,0.6,199,0,8,666,70,23.4
944.66,2.610,14.5,0.7,211,0,10,672,71,23.4
943.97,2.620,14.5,0.8,224,0,12,679,71,23.4
943.28,2.650,14.4,0.9,237,0,14,685,72,23.4
942.59,2.620,14.4,1,250,0,16,691,72,23.4
941.67,2.660,14.3,1.1,264,0,18,699,72
940.29,2.660,14.2,1.2,277,0,20,712,73,23.5
939.15,2.660,14.1,1.3,291,0,22,722,74,23.4
938.23,2.690,14,1.4,306,0,24,730,74,23.4
936.86,2.690,14,1.5,321,0,26,743,75,23.5
935.48,2.700,13.8,1.6,336,0,28,755,76,23.5
934.12,2.700,13.7,1.8,351,0,30,767,76,23.5
932.98,2.710,13.6,1.9,5,0,32,778,76,23.5
931.38,2.710,13.5,2.1,18,0,34,792,77,23.5
929.57,2.710,13.4,2.3,29,0,36,808,78,23.5
928.66,2.710,13.3,2.5,38,0,38,817,78,23.5
927.52,2.710,13.2,2.6,45,0,40,827,78,23.5
926.17,2.710,13,2.7,50,0,42,839,79,23.5
925,2.700,12.9,2.7,55,3,44,850,79,23.5
924.81,2.700,12.9,2.7,55,0,44,852,79,23.5
923.46,2.690,12.8,2.7,59,0,46,864,80,23.5
922.33,2.690,12.8,2.6,62,0,48,874,80,23.4
921.21,2.660,12.6,2.5,65,0,50,884,81,23.4
920.08,2.580,12.5,2.4,70,0,52,895,81,23.4
918.96,2.570,12.4,2.2,74,0,54,905,81,23.3
917.61,2.540,12.4,2,78,0,56,917,82
