
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-05-16,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a8175

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2002-10-23,11:48:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 116
* <Unknown> funciono, parece

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
222.5,0,288.6

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.070,26.40,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.05,3.620,16.4,6.4,270,2,0,631,40
944.66,3.630,16.1,6.5,272,0,2,643,36,23.2
942.82,3.650,15.8,6.5,273,0,4,660,37,23.2
941.21,3.740,15.5,6.6,273,0,6,675,37,23.2
939.60,3.790,15.2,6.7,274,0,8,689,37,23.2
938.00,3.790,14.9,6.8,274,0,10,703,38,23.2
936.40,3.780,14.7,6.8,275,0,12,718,38,23.2
935.03,3.790,14.6,6.9,276,0,14,730,38,23.2
933.66,3.800,14.4,7.0,276,0,16,743,39,23.2
932.29,3.820,14.2,7.0,277,0,18,755,39,23.1
931.16,3.820,14.1,7.1,277,0,20,765,40
930.02,3.870,13.9,7.2,278,0,22,776,40,23.2
928.66,3.930,13.8,7.3,279,0,24,788,40,23.2
927.52,3.940,13.7,7.3,279,0,26,798,40,23.2
925.94,3.940,13.6,7.4,280,0,28,813,41,23.2
925.00,3.950,13.5,7.5,280,3,29,821,41,23.2
924.59,3.950,13.5,7.5,280,0,30,825,41,23.2
923.23,3.950,13.4,7.5,281,0,32,837,41,23.2
921.88,3.980,13.3,7.6,281,0,34,850,42,23.2
920.53,3.980,13.2,7.7,282,0,36,862,42,23.2
919.18,3.990,13.1,7.7,283,0,38,874,42,23.2
918.06,3.990,12.9,7.8,283,0,40,884,42,23.2
916.94,3.990,12.8,7.9,284,0,42,895,42
915.82,3.990,12.7,7.9,284,0,44,905,42,23.2
914.71,3.970,12.6,8.0,285,0,46,915,43,23.2
913.59,3.960,12.5,8.1,285,0,48,925,43,23.2
912.48,3.950,12.4,8.1,286,0,50,936,43,23.3
911.14,3.970,12.2,8.2,287,0,52,948,44,23.3
910.03,3.990,12.1,8.3,287,0,54,958,44,23.3
908.70,3.990,12.1,8.3,288,0,56,970,44,23.3
906.92,3.990,11.9,8.4,288,0,58,987,45,23.3
905.38,3.990,11.7,8.5,289,0,60,1001,45,23.3
904.27,3.990,11.6,8.5,289,0,62,1011,45,23.3
902.95,3.990,11.4,8.6,290,0,64,1023,46,23.3
901.63,3.990,11.3,8.7,290,0,66,1036,46,23.3
900.53,3.990,11.3,8.7,291,0,68,1046,46,23.3
899.21,3.990,11.1,8.8,292,0,70,1058,46,23.3
898.11,3.990,11.0,8.9,292,0,72,1068,46,23.3
896.80,3.990,10.8,8.9,293,0,74,1081,47,23.3
895.48,4.030,10.7,9.0,293,0,76,1093,47,23.3
894.39,3.990,10.6,9.0,294,0,78,1103,47,23.3
893.30,3.990,10.6,9.1,294,0,80,1113,47,23.4
892.43,3.990,10.4,9.2,295,0,82,1121,48,23.4
891.12,3.940,10.3,9.2,295,0,84,1133,48,23.4
889.38,3.940,10.1,9.3,296,0,86,1150,49,23.4
887.86,3.940,10.0,9.3,296,0,88,1164,49,23.4
886.56,3.940,9.9,9.4,297,0,90,1176,49,23.4
885.27,3.940,9.7,9.4,297,0,92,1188,50,23.4
883.97,3.940,9.6,9.5,298,0,94,1200,50,23.4
882.68,3.940,9.6,9.5,298,0,96,1212,50,23.4
881.38,3.940,9.4,9.6,299,0,98,1225,50,23.4
880.09,3.940,9.3,9.7,299,0,100,1237,51,23.4
878.59,3.950,9.2,9.7,300,0,102,1251,51,23.4
877.31,3.950,9.0,9.8,300,0,104,1263,52,23.4
876.02,3.950,8.9,9.8,300,0,106,1275,52
874.53,3.950,8.8,9.9,301,0,108,1289,52,23.4
873.25,3.950,8.7,9.9,301,0,110,1301,52,23.5
871.75,3.950,8.5,10.0,302,0,112,1316,53,23.5
870.48,3.950,8.4,10.0,302,0,114,1328,53,23.6
868.99,3.950,8.3,10.0,303,0,116,1342,53,23.6
867.72,3.950,8.1,10.1,303,0,118,1354,54,23.6
866.24,3.950,8.0,10.1,304,0,120,1368,54,23.6
864.97,3.950,7.9,10.2,304,0,122,1380,54,23.6
863.49,3.950,7.7,10.2,304,0,124,1394,55,23.6
862.23,3.950,7.6,10.3,305,0,126,1406,55,23.6
860.76,3.950,7.5,10.3,305,0,128,1420,55,23.6
859.50,3.950,7.3,10.3,306,0,130,1432,56,23.6
858.03,3.950,7.2,10.4,306,0,132,1446,56,23.6
856.77,3.950,7.1,10.4,306,0,134,1459,56,23.6
855.31,3.950,6.9,10.5,307,0,136,1473,57,23.6
854.06,3.940,6.8,10.5,307,0,138,1485,57,23.6
852.60,3.940,6.7,10.5,307,0,140,1499,57,23.6
851.14,3.940,6.5,10.6,308,0,142,1513,58,23.6
849.90,3.940,6.4,10.6,308,0,144,1525,58,23.6
848.45,3.940,6.3,10.6,308,0,146,1539,58,23.6
847.21,3.940,6.1,10.7,309,0,148,1551,59,23.6
845.76,3.940,6.0,10.7,309,0,150,1565,59,23.6
844.52,3.940,5.9,10.7,309,0,152,1577,59,23.6
843.08,3.940,5.7,10.8,310,0,154,1591,60,23.6
841.84,3.940,5.6,10.8,310,0,156,1603,60,23.6
840.41,3.940,5.5,10.8,310,0,158,1617,60,23.6
839.18,3.940,5.3,10.8,311,0,160,1629,61,23.6
837.74,3.940,5.2,10.9,311,0,162,1643,61,23.6
836.52,3.940,5.1,10.9,311,0,164,1655,61,23.6
835.09,3.940,4.9,10.9,311,0,166,1669,62,23.6
833.87,3.940,4.8,10.9,312,0,168,1681,62,23.6
832.44,3.870,4.8,10.9,312,0,170,1694,63,23.7
831.43,3.810,4.7,10.9,312,0,172,1704,63
830.41,3.770,4.6,11.0,312,0,174,1714,64,23.6
829.40,3.770,4.5,11.0,313,0,176,1724,64,23.7
828.59,3.770,4.4,11.0,313,0,178,1732,64,23.7
827.38,3.770,4.3,11.0,313,0,180,1744,64,23.7
826.17,3.770,4.1,11.0,313,0,182,1756,64,23.7
824.96,3.770,4.0,11.0,313,0,184,1768,65,23.7
823.95,3.770,3.9,11.0,314,0,186,1778,67,23.7
822.54,3.860,3.8,11.0,314,0,188,1792,67,23.7
821.34,3.860,3.7,11.0,314,0,190,1804,67,23.7
820.14,3.860,3.6,11.0,314,0,192,1816,68,23.7
818.74,3.870,3.4,11.0,314,0,194,1830,69,23.7
817.54,3.880,3.3,11.0,314,0,196,1841,70,23.7
816.34,3.880,3.2,11.0,314,0,198,1853,70,23.7
815.15,3.880,3.1,11.0,315,0,200,1865,70
813.76,3.860,2.9,11.0,315,0,202,1879,71,23.7
812.37,3.860,2.8,11.0,315,0,204,1893,72,23.7
811.38,3.830,2.7,11.0,315,0,206,1903,72,23.7
810.19,3.830,2.6,11.0,315,0,208,1915,71,23.7
809.20,3.800,2.5,11.0,315,0,210,1925,71,23.7
808.21,3.800,2.5,11.0,315,0,212,1934,71,23.7
807.03,3.800,2.4,11.0,315,0,214,1946,72,23.7
806.04,3.800,2.3,11.0,315,0,216,1956,73
804.86,3.830,2.2,11.0,315,0,218,1968,73,23.7
803.88,3.830,2.0,10.9,315,0,220,1978,74,23.7
802.90,3.800,1.9,10.9,315,2,222,1988,75,23.7
801.92,3.830,1.9,10.9,315,0,224,1998,75,23.7
800.75,3.830,1.8,10.9,315,0,226,2009,73,23.7
799.77,3.790,1.8,10.9,315,0,228,2019,69,23.7
798.80,3.790,1.9,10.8,315,0,230,2029,68,23.7
797.82,3.760,1.9,10.8,315,0,232,2039,67,23.7
796.85,3.760,1.8,10.8,315,0,234,2049,67,23.7
796.26,3.790,1.8,10.7,315,0,236,2055,67,23.7
795.49,3.790,1.7,10.7,315,0,238,2063,67
794.52,3.790,1.6,10.7,315,0,240,2072,68,23.7
793.55,3.790,1.5,10.7,314,0,242,2082,67,23.7
792.19,3.780,1.4,10.7,314,0,244,2096,68,23.8
791.03,3.790,1.3,10.7,313,0,246,2108,68,23.8
790.07,3.790,1.2,10.7,312,0,248,2118,68,23.8
789.10,3.790,1.2,10.7,311,0,250,2127,67,23.8
788.33,3.790,1.1,10.8,311,0,252,2135,66,23.8
787.37,3.790,1.1,10.9,311,0,254,2145,66,23.8
786.41,3.800,1.0,10.9,310,0,256,2155,66,23.8
785.45,3.850,0.9,11.0,310,0,258,2165,66,23.8
784.69,3.850,0.9,11.0,310,0,260,2173,66
783.73,3.850,0.8,11.1,310,0,262,2182,66,23.8
782.58,3.860,0.7,11.2,310,0,264,2194,66,23.8
781.82,3.890,0.6,11.2,309,0,266,2202,67,23.8
780.86,3.870,0.6,11.3,309,0,268,2212,66,23.8
780.10,3.870,0.6,11.3,309,0,270,2220,65,23.8
779.34,3.870,0.5,11.4,309,2,272,2227,64,23.8
778.39,3.850,0.5,11.4,309,0,274,2237,62,23.8
777.63,3.850,0.7,11.5,309,0,276,2245,60,23.8
776.87,3.870,0.7,11.5,309,0,278,2253,59,23.8
776.49,3.870,0.8,11.6,309,0,280,2257,58,23.8
775.92,3.840,0.9,11.6,309,0,282,2263,56
775.35,3.840,1.0,11.6,309,0,284,2269,54,23.8
774.79,3.890,1.2,11.7,309,0,286,2275,52,23.8
774.03,3.890,1.3,11.7,309,0,288,2282,51,23.8
773.09,3.900,1.5,11.7,309,0,290,2292,46,23.8
772.14,3.900,1.7,11.7,308,0,292,2302,40,23.9
771.39,3.900,1.9,11.7,308,2,294,2310,40,23.9
770.64,3.910,1.9,11.7,308,0,296,2318,39,23.8
769.51,3.910,1.9,11.8,309,0,298,2330,38,23.8
768.57,3.980,1.8,11.8,309,0,300,2339,38,23.8
767.82,4.020,1.7,11.8,309,0,302,2347,38,23.8
766.70,4.030,1.5,11.8,309,0,304,2359,39,23.8
765.76,4.030,1.4,11.8,310,0,306,2369,39
764.83,4.020,1.4,11.8,310,0,308,2379,39,23.8
763.89,4.000,1.3,11.8,310,0,310,2389,39,23.8
762.77,4.020,1.3,11.8,310,0,312,2400,39,23.8
762.03,3.960,1.2,11.7,311,0,314,2408,39,23.8
