
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11781

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-01-02,11:07:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 162
* cesar

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
239.2,0,271.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.040,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.28,1.300,9.4,2.0,200,2,0,631,50,22.2
944.20,1.300,8.5,2.3,212,0,2,649,44
943.28,1.330,8.3,2.3,219,0,4,657,45,22.2
942.59,1.350,8.2,2.3,225,0,6,663,46,22.2
941.67,1.370,8.1,2.4,232,0,8,671,46,22.2
940.29,1.390,8.0,2.4,238,0,10,683,47,22.2
939.15,1.410,7.9,2.5,245,0,12,694,47,22.2
938.00,1.420,7.7,2.5,252,0,14,704,48,22.2
936.63,1.430,7.6,2.5,258,0,16,716,48,22.2
935.48,1.440,7.5,2.5,264,0,18,726,49,22.2
934.34,1.450,7.4,2.6,271,0,20,736,49,22.2
932.98,1.490,7.3,2.6,277,0,22,748,49,22.2
931.84,1.500,7.2,2.6,283,0,24,758,49
930.25,1.530,7.0,2.6,289,0,26,772,50,22.2
928.43,1.530,6.8,2.6,295,0,28,788,50,22.3
926.85,1.530,6.6,2.6,301,0,30,802,51,22.3
925.49,1.530,6.5,2.6,307,0,32,814,51,22.3
925.00,1.530,6.5,2.6,307,3,33,818,51,22.3
924.36,1.530,6.5,2.6,312,0,34,824,51,22.3
923.23,1.550,6.4,2.6,318,0,36,834,52,22.3
922.33,1.570,6.3,2.6,323,0,38,842,52,22.3
921.21,1.570,6.2,2.5,328,0,40,852,52,22.3
