
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11766

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-01-14,11:09:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 202
* carmen Sondeo perfecto

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
241.2,0,259.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.040,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.36,0.790,12.4,5.0,210,2,0,631,67,24.5
944.43,0.920,12.1,5.0,213,0,2,639,64,24.5
943.74,1.100,11.9,5.1,214,0,4,645,61,24.6
943.05,1.130,11.7,5.1,216,0,6,651,62,24.6
941.90,1.130,11.4,5.2,217,0,8,662,62,24.6
940.98,1.150,11.2,5.3,219,0,10,670,63,24.6
940.06,1.170,11.1,5.3,221,0,12,678,64,24.6
939.38,1.170,11.0,5.4,222,0,14,684,64,24.6
938.92,1.170,10.9,5.5,224,0,16,688,64,24.6
938.46,1.170,10.9,5.5,225,0,18,692,65,24.6
937.77,1.170,10.8,5.6,227,0,20,698,65,24.6
937.08,1.170,10.8,5.7,228,0,22,704,65,24.6
936.63,1.170,10.8,5.7,230,0,24,709,65,24.7
935.48,1.170,10.7,5.8,231,0,26,719,66,24.7
934.12,1.160,10.5,5.9,233,0,28,731,66,24.7
932.98,1.150,10.4,5.9,234,0,30,741,67,24.7
932.06,1.160,10.3,6.0,235,0,32,749,67,24.7
930.93,1.160,10.2,6.1,237,0,34,759,67,24.7
929.79,1.160,10.1,6.1,238,0,36,770,67,24.7
929.11,1.190,10.0,6.2,240,0,38,776,67,24.7
928.20,1.220,9.9,6.3,241,0,40,784,68,24.7
927.52,1.250,9.8,6.4,242,0,42,790,68,24.7
926.62,1.260,9.7,6.4,244,0,44,798,69,24.8
925.49,1.260,9.6,6.5,245,0,46,808,70,24.8
925.00,1.260,9.6,6.5,245,3,47,812,70,24.8
924.13,1.260,9.5,6.6,246,0,48,820,70,24.8
923.46,1.260,9.4,6.7,248,0,50,826,70,24.8
922.56,1.270,9.3,6.7,249,0,52,834,71
921.66,1.270,9.2,6.8,250,0,54,843,71,24.8
920.53,1.270,9.2,6.9,251,0,56,853,72,24.8
919.63,1.270,9.1,7.0,253,0,58,861,72,24.8
918.74,1.270,9.0,7.0,254,0,60,869,72,24.8
917.84,1.280,9.0,7.1,255,0,62,877,72,24.8
916.94,1.280,8.9,7.2,256,0,64,885,73,24.8
916.05,1.280,8.8,7.3,257,0,66,893,73,24.9
915.15,1.270,8.8,7.4,258,0,68,901,73,24.9
914.04,1.270,8.7,7.5,259,0,70,911,74
913.14,1.280,8.6,7.5,260,0,72,919,74,24.9
912.03,1.280,8.5,7.6,261,0,74,930,74,24.9
910.70,1.280,8.4,7.7,262,0,76,942,74,24.9
909.36,1.330,8.4,7.8,263,0,78,954,74,24.9
908.25,1.330,8.3,7.9,264,0,80,964,75,24.9
906.92,1.330,8.1,8.0,265,0,82,976,76,24.9
905.82,1.330,8.0,8.1,266,0,84,986,77,24.9
904.71,1.340,7.9,8.2,267,0,86,996,76,24.9
903.61,1.340,7.8,8.3,268,0,88,1006,77,24.9
902.29,1.350,7.7,8.4,268,0,90,1018,76
901.19,1.350,7.7,8.5,269,0,92,1028,75,25.0
899.65,1.380,7.7,8.6,270,0,94,1042,73,25.0
898.11,1.460,7.7,8.7,270,0,96,1057,72,25.0
896.80,1.470,7.7,8.8,271,0,98,1069,71,25.0
895.48,1.480,7.7,8.9,271,0,100,1081,70,25.0
894.39,1.590,7.6,9.0,272,2,102,1091,69,25.0
893.30,1.600,7.6,9.1,272,0,104,1101,68,25.0
892.21,1.690,8.0,9.2,273,0,106,1111,60,25.0
891.12,1.820,8.4,9.3,273,0,108,1121,58
890.25,1.930,8.7,9.5,273,0,110,1129,56,25.0
889.17,2.040,8.9,9.6,274,0,112,1139,53,25.0
888.08,2.140,9.0,9.7,274,0,114,1149,53,25.0
887.00,2.190,9.1,9.8,274,0,116,1159,52,25.1
885.70,2.320,9.1,10.0,273,0,118,1172,51,25.1
884.62,2.330,9.1,10.1,273,2,120,1182,51,25.1
883.54,2.380,9.0,10.2,273,0,122,1192,51,25.1
882.25,2.440,8.9,10.2,273,0,124,1204,51,25.1
881.17,2.510,8.9,10.2,273,0,126,1214,51,25.1
879.88,2.520,8.8,10.2,273,0,128,1226,51
878.81,2.560,8.7,10.1,273,0,130,1236,52,25.1
877.95,2.660,8.6,10.0,274,0,132,1244,52,25.1
876.66,2.700,8.5,9.8,275,0,134,1256,52,25.2
875.38,2.710,8.4,9.6,276,0,136,1269,53,25.2
874.10,2.730,8.3,9.4,277,0,138,1281,53,25.1
873.03,2.730,8.2,9.2,278,0,140,1291,53,25.2
871.97,2.750,8.1,9.1,280,0,142,1301,54,25.2
870.90,2.790,8.1,9.0,281,0,144,1311,54,25.2
869.84,2.790,8.1,8.9,282,0,146,1321,54,25.2
868.78,2.830,8.0,8.9,284,0,148,1331,54,25.2
867.51,2.860,7.9,8.9,285,0,150,1343,55,25.2
866.24,2.860,7.9,9.0,285,0,152,1355,55,25.2
864.97,2.880,7.8,9.1,286,0,154,1367,55,25.2
863.92,2.900,7.7,9.3,286,0,156,1377,55,25.2
862.65,2.910,7.6,9.4,286,2,158,1389,55,25.3
861.60,2.910,7.6,9.5,287,0,160,1399,56,25.2
860.55,2.910,7.5,9.6,286,0,162,1410,56,25.2
859.29,2.920,7.4,9.7,286,0,164,1422,56,25.2
858.03,2.920,7.3,9.8,287,0,166,1434,57
856.98,2.920,7.2,9.8,287,0,168,1444,57,25.3
855.52,2.920,7.1,9.8,287,0,170,1458,57,25.3
854.27,2.950,7.0,9.8,288,0,172,1470,58,25.3
853.23,2.950,6.9,9.8,288,0,174,1480,58,25.3
852.18,2.960,6.8,9.8,289,0,176,1490,58,25.3
851.14,2.960,6.7,9.8,289,0,178,1500,59,25.4
849.90,2.950,6.7,9.8,290,0,180,1512,59,25.4
848.65,2.970,6.6,9.8,291,0,182,1524,59,25.3
847.62,2.960,6.5,9.8,292,0,184,1534,60,25.4
846.59,2.970,6.4,9.8,292,0,186,1544,60,25.4
845.55,2.990,6.4,9.8,293,0,188,1554,60
