
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11780

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-01-28,11:12:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 239
* carmen perfecto

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
310.0,0,355.0

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.055,24.80,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
943.97,3.000,7.5,5.0,20,2,0,631,39,21.3
943.51,3.000,7.3,,,0,2,635,37
942.82,3.010,7.1,,,0,4,641,34,21.4
941.67,3.010,6.7,,,0,6,651,30,21.4
940.06,3.010,6.2,,,0,8,665,31,21.4
938.23,3.010,5.6,,,2,10,681,32,21.4
936.86,3.190,5.4,,,0,12,693,32,21.4
935.71,3.290,5.3,,,0,14,703,32
934.57,3.340,5.2,,,0,16,713,33,21.4
933.43,3.350,5.2,,,0,18,723,33,21.4
932.29,3.350,4.9,,,0,20,733,33,21.4
930.70,3.400,4.8,,,0,22,747,34,21.4
928.88,3.390,4.8,,,0,24,763,34,21.4
927.98,3.380,4.7,,,0,26,771,33
927.07,3.340,4.6,,,0,28,779,33,21.4
926.39,3.240,4.5,,,0,30,785,34,21.4
925.26,3.210,4.4,,,0,32,794,34,21.4
925.00,3.210,4.4,,,3,32,796,34,21.4
923.68,3.210,4.1,,,0,34,808,34,21.4
921.88,3.210,3.9,,,0,36,824,35,21.4
920.08,3.210,3.8,,,0,38,840,35,21.4
918.51,3.210,3.8,,,0,40,854,36,21.4
917.17,3.200,3.8,,,0,42,866,35,21.4
915.82,3.170,3.6,,,0,44,878,35,21.4
914.26,3.160,3.5,,,0,46,892,36,21.5
