
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11748

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-02-18,11:34:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 189
* carmen

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
343.2,0,383.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.126,26.1,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
945.36,1.920,7.8,1.5,173,2,0,631,49
943.97,1.940,7.3,1.5,192,0,2,643,33,21.4
942.82,1.940,7,1.5,194,0,4,653,33,21.4
941.9,1.960,6.8,1.6,195,0,6,661,34,21.4
940.98,1.960,6.6,1.6,197,0,8,669,35,21.4
939.83,1.960,6.5,1.6,198,0,10,679,36,21.3
938.92,1.950,6.4,1.6,200,0,12,687,37,21.3
938,1.950,6.3,1.6,201,0,14,695,37,21.3
936.86,1.950,6.2,1.6,203,0,16,705,37
935.71,1.970,6.1,1.6,204,0,18,715,37,21.3
934.34,1.970,6,1.6,206,0,20,727,38,21.2
932.98,2.020,5.8,1.6,207,0,22,739,38,21.2
931.61,2.050,5.7,1.7,208,0,24,751,38,21.2
930.47,2.050,5.7,1.7,210,0,26,761,38,21.2
929.11,2.090,5.6,1.7,211,0,28,773,39,21.2
927.98,2.110,5.5,1.7,213,0,30,783,39,21.2
927.07,2.120,5.4,1.7,214,0,32,791,39,21.2
925.94,2.140,5.2,1.7,215,0,34,801,40,21.2
925,2.150,5.1,1.7,217,3,36,809,40,21.1
924.81,2.150,5.1,1.7,217,0,36,811,40,21.1
923.46,2.170,5,1.7,218,0,38,823,40,21.1
922.11,2.170,5,1.7,220,0,40,835,40,21.2
920.76,2.170,4.8,1.7,221,0,42,847,41,21.2
919.18,2.170,4.7,1.8,222,0,44,861,41,21.1
917.84,2.170,4.6,1.8,224,0,46,873,41,21.1
916.5,2.170,4.5,1.8,225,0,48,885,41,21.1
915.15,2.170,4.4,1.8,227,0,50,896,42,21.1
914.04,2.160,4.3,1.8,228,0,52,906,42,21.1
912.92,2.160,4.2,1.8,229,0,54,916,42,21.1
911.81,2.160,4.1,1.8,231,0,56,926,42,21.1
910.7,2.190,4,1.8,232,0,58,936,43,21
910.03,2.190,3.9,1.8,233,0,60,942,42,21.1
908.48,2.220,3.9,1.8,235,0,62,956,40,21
907.15,2.290,3.8,1.9,236,0,64,968,40
906.04,2.290,3.8,1.9,237,0,66,978,40,21
904.93,2.330,3.6,1.9,238,0,68,988,40,21
903.39,2.350,3.6,1.9,240,0,70,1002,39,21
901.41,2.390,3.7,1.9,241,0,72,1019,36,21
900.09,2.440,3.7,1.9,242,0,74,1031,36,21
898.77,2.450,3.7,1.9,243,0,76,1043,36,21
