
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11749

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-03-26,10:41:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 290
* ANGEL y su

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
301.8,0,306.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.046,26.70,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
936.63,3.740,8.0,7.0,60,2,0,631,47,21.1
935.94,3.740,7.8,6.8,61,0,2,637,30,21.1
934.34,3.800,7.4,6.8,61,0,4,651,32,21.1
932.98,3.810,7.0,6.8,61,0,6,663,33,21.1
931.38,3.840,6.6,6.7,61,0,8,677,33,21.1
930.02,3.930,6.2,6.7,62,0,10,689,34,21.1
928.88,3.940,5.9,6.7,62,0,12,699,35
927.98,3.940,5.6,6.6,62,0,14,707,35,21.1
926.62,3.950,5.3,6.6,63,0,16,719,36,21.2
925.26,3.950,4.9,6.6,63,0,18,731,36,21.2
925.00,4.000,4.9,6.6,63,3,18,733,36,21.2
923.91,4.000,4.8,6.5,63,0,20,743,37,21.2
922.78,4.070,4.7,6.5,64,0,22,753,37,21.1
921.21,4.080,4.6,6.5,64,0,24,767,38
920.31,4.120,4.5,6.5,64,0,26,775,38,21.2
919.18,4.220,4.3,6.4,64,0,28,785,38,21.2
918.06,4.270,4.2,6.4,65,0,30,795,39,21.2
916.94,4.280,4.2,6.4,65,0,32,805,39,21.2
915.60,4.300,4.1,6.4,65,0,34,816,40,21.2
914.26,4.300,3.9,6.4,65,0,36,828,40,21.2
913.14,4.290,3.8,6.3,66,0,38,838,40,21.2
912.25,4.330,3.7,6.3,66,0,40,846,40,21.2
910.92,4.330,3.6,6.3,66,0,42,858,40,21.2
909.81,4.280,3.5,6.3,66,0,44,868,41,21.2
908.70,4.310,3.4,6.3,66,0,46,878,41,21.2
907.81,4.290,3.3,6.3,66,0,48,886,41,21.2
906.70,4.310,3.2,6.3,66,0,50,896,41,21.3
905.82,4.330,3.2,6.3,67,0,52,904,40
904.93,4.360,3.1,6.3,67,0,54,912,40,21.3
903.83,4.360,3.0,6.3,67,0,56,921,40,21.2
902.73,4.360,2.9,6.3,67,0,58,931,40,21.3
901.41,4.380,2.8,6.3,67,0,60,943,40,21.3
900.53,4.380,2.7,6.4,67,0,62,951,41,21.3
899.43,4.420,2.5,6.4,67,0,64,961,42
898.33,4.420,2.4,6.4,67,0,66,971,42,21.3
897.45,4.430,2.4,6.4,67,0,68,979,42,21.3
896.58,4.450,2.3,6.5,66,0,70,987,42,21.3
895.92,4.450,2.3,6.5,66,0,72,992,41,21.3
894.61,4.540,2.3,6.6,66,0,74,1004,38,21.3
893.30,4.620,2.3,6.6,66,0,76,1016,38,21.3
891.99,4.620,2.2,6.7,66,0,78,1028,38,21.3
890.90,4.640,2.1,6.7,66,0,80,1038,38,21.3
889.82,4.640,2.1,6.8,65,0,82,1048,38,21.3
888.30,4.690,2.0,6.8,65,0,84,1061,38,21.3
887.21,4.700,1.9,6.9,65,0,86,1071,38,21.3
886.13,4.720,1.7,7.0,65,0,88,1081,39,21.3
885.27,4.790,1.6,7.2,64,0,90,1089,39
884.40,4.800,1.6,7.3,63,0,92,1097,39,21.4
883.32,4.800,1.5,7.4,62,0,94,1107,40,21.4
882.25,4.790,1.4,7.5,61,0,96,1117,40,21.4
881.17,4.800,1.3,7.6,60,0,98,1126,41,21.4
880.31,4.800,1.3,7.6,59,0,100,1134,41,21.4
879.45,4.810,1.2,7.6,58,0,102,1142,41,21.4
878.81,4.820,1.1,7.5,58,0,104,1148,42,21.4
877.95,4.860,1.1,7.4,58,0,106,1156,42,21.4
877.09,4.860,1.0,7.3,58,0,108,1164,43,21.4
876.45,4.860,1.0,7.0,59,0,110,1170,43,21.4
875.59,4.880,0.9,6.8,59,0,112,1177,43,21.4
874.53,4.880,0.8,6.5,60,0,114,1187,44,21.4
873.46,4.880,0.8,6.2,61,0,116,1197,45,21.4
872.39,4.920,0.7,5.9,62,0,118,1207,45,21.4
871.33,4.940,0.6,5.5,63,0,120,1217,45,21.5
870.48,4.920,0.6,5.2,64,0,122,1224,46,21.4
869.42,4.910,0.5,4.9,64,0,124,1234,46,21.4
868.36,4.920,0.4,4.5,65,0,126,1244,46,21.4
867.08,4.920,0.2,4.2,65,0,128,1256,47,21.4
866.03,4.920,0.1,3.9,64,0,130,1265,47,21.5
865.18,4.920,0.0,3.6,63,0,132,1273,47
864.13,4.920,0.0,3.4,60,0,134,1283,48,21.4
863.07,4.920,-0.1,3.1,57,0,136,1293,48,21.5
862.02,4.920,-0.3,3.0,53,0,138,1303,48,21.5
861.18,4.920,-0.3,2.9,48,0,140,1310,48,21.5
860.13,4.920,-0.4,2.9,42,0,142,1320,48,21.5
858.87,4.920,-0.5,3.0,36,0,144,1332,49
858.24,4.910,-0.6,3.2,31,0,146,1338,50,21.5
857.40,4.960,-0.6,3.3,26,0,148,1346,49,21.5
856.56,4.960,-0.7,3.6,22,0,150,1353,49,21.5
855.73,4.950,-0.8,3.9,19,0,152,1361,50,21.5
854.89,4.970,-0.8,4.1,16,0,154,1369,51,21.5
854.27,4.970,-0.9,4.2,15,0,156,1375,51,21.5
853.43,4.970,-1.0,4.3,14,0,158,1383,51
852.60,4.950,-1.0,4.3,13,0,160,1390,51,21.6
851.98,4.960,-1.1,4.3,13,0,162,1396,52,21.5
851.14,4.960,-1.2,4.1,14,0,164,1404,52,21.5
850.31,4.960,-1.2,4.0,14,0,166,1412,52,21.6
850.00,4.970,-1.2,4.0,14,3,167,1415,52,21.6
849.48,4.970,-1.3,3.7,15,0,168,1420,52,21.6
848.86,4.960,-1.4,3.5,16,0,170,1425,52,21.6
848.24,4.980,-1.4,3.2,18,0,172,1431,52,21.6
847.41,4.960,-1.5,3.0,19,0,174,1439,53,21.6
846.59,4.980,-1.6,2.8,21,0,176,1447,53,21.6
845.76,4.960,-1.7,2.6,23,0,178,1455,53,21.6
844.73,4.930,-1.7,2.5,26,0,180,1464,54,21.6
844.11,4.940,-1.8,2.4,28,0,182,1470,54,21.6
843.08,4.940,-1.9,2.3,30,0,184,1480,54,21.6
842.26,4.940,-1.9,2.3,33,0,186,1488,54
841.23,4.940,-2.1,2.3,36,0,188,1497,55,21.6
840.41,4.960,-2.1,2.3,39,0,190,1505,55,21.6
839.79,4.960,-2.2,2.3,43,0,192,1511,55,21.6
838.56,4.960,-2.3,2.4,48,0,194,1523,55,21.7
837.54,4.960,-2.3,2.5,53,0,196,1532,56,21.6
836.72,4.960,-2.4,2.6,58,0,198,1540,56,21.6
835.91,4.960,-2.5,2.7,65,0,200,1548,57
834.89,4.960,-2.5,2.9,72,0,202,1557,57,21.6
833.66,4.960,-2.6,3.1,77,0,204,1569,58,21.7
832.85,4.950,-2.7,3.3,82,0,206,1577,58,21.7
831.83,4.940,-2.8,3.5,87,0,208,1586,60,21.7
