
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A11753

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-03-31,11:29:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 223
* ANGEL y su LA HUMEDAD NO SALIO BIEN

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
328.9,0,385.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0,25,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2,1.171
3,1.131
5,1.092
10,1.055
20,1.032
30,1.022
50,1.015
100,1.011
200,1.008
300,1.006
500,1.004
1000,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
939.38,3.070,12.4,7,190,2,0,631,57,22
937.54,3.300,11.9,7.1,193,0,2,647,43,22
936.63,3.330,11.6,7.1,194,0,4,656,42,22
935.26,3.350,11.3,7.2,196,0,6,668,43,22
933.66,3.350,10.8,7.2,197,0,8,682,45,22.1
932.06,3.390,10.4,7.2,198,0,10,696,46,22.1
930.7,3.400,10,7.3,199,0,12,708,47,22.1
929.57,3.400,9.7,7.3,200,0,14,719,47,22.1
927.98,3.420,9.3,7.3,201,0,16,733,48,22.1
926.62,3.450,8.9,7.4,202,0,18,745,48,22.1
925.26,3.470,8.5,7.4,203,0,20,757,49,22.1
925,3.470,8.5,7.4,203,3,20,759,49,22.1
923.91,3.470,8.4,7.4,204,0,22,769,51
922.33,3.480,8.3,7.5,205,0,24,783,51,22.1
920.08,3.530,8.1,7.5,206,0,26,803,51,22.1
917.84,3.550,7.9,7.5,207,0,28,823,52,22.1
915.6,3.580,7.8,7.6,208,0,30,844,53,22.1
913.59,3.640,7.7,7.6,209,0,32,862,54,22.1
911.81,3.640,7.5,7.7,210,0,34,878,54,22.2
909.58,3.670,7.3,7.7,211,0,36,898,54,22.1
908.25,3.690,7.2,7.7,212,0,38,910,55,22.1
906.7,3.690,7,7.8,213,0,40,924,55,22.1
904.93,3.690,6.8,7.8,214,0,42,940,55,22.2
903.17,3.690,6.6,7.8,215,0,44,956,56,22.2
901.63,3.690,6.4,7.8,216,0,46,970,57,22.2
900.09,3.690,6.2,7.9,217,0,48,984,57,22.2
897.89,3.690,6.1,7.9,218,0,50,1004,58,22.2
895.92,3.700,5.9,7.9,219,0,52,1022,59,22.2
893.95,3.700,5.8,8,220,0,54,1040,60,22.2
892.21,3.700,5.6,8,221,0,56,1056,60,22.2
890.69,3.760,5.5,8,222,0,58,1070,60,22.2
889.38,3.710,5.4,8,223,0,60,1082,60,22.2
887.43,3.770,5.2,8.1,224,0,62,1100,61
885.48,3.770,5,8.1,225,0,64,1118,62,22.2
883.75,3.770,4.7,8.1,226,0,66,1134,63,22.2
882.25,3.760,4.6,8.1,227,0,68,1148,64,22.2
880.74,3.750,4.5,8.2,228,0,70,1162,64,22.2
878.81,3.760,4.3,8.2,229,0,72,1180,65,22.3
877.31,3.760,4.1,8.2,230,0,74,1194,66,22.2
875.59,3.760,3.9,8.2,230,0,76,1209,67,22.3
873.89,3.730,3.8,8.2,231,0,78,1225,67,22.2
872.39,3.730,3.7,8.3,232,0,80,1239,68,22.2
870.69,3.720,3.5,8.3,233,0,82,1255,69,22.3
869.2,3.720,3.4,8.3,234,0,84,1269,70,22.3
867.3,3.720,3.2,8.3,235,0,86,1287,71,22.3
865.6,3.720,3,8.3,235,0,88,1303,71
863.92,3.690,2.9,8.3,236,0,90,1318,72,22.3
862.23,3.700,2.7,8.4,237,0,92,1334,73,22.3
860.34,3.660,2.6,8.4,238,0,94,1352,74,22.3
858.45,3.660,2.4,8.4,239,0,96,1370,74,22.3
856.98,3.650,2.3,8.4,239,0,98,1384,75,22.3
855.31,3.650,2.1,8.4,240,0,100,1399,76,22.3
853.43,3.650,1.9,8.4,241,0,102,1417,77,22.3
851.56,3.650,1.8,8.4,242,0,104,1435,77,22.3
850,3.620,1.7,8.4,242,3,106,1450,78,22.3
849.69,3.620,1.7,8.4,242,0,106,1453,78,22.3
847.83,3.610,1.6,8.4,243,0,108,1470,78,22.3
846.17,3.610,1.5,8.4,244,0,110,1486,78,22.4
844.52,3.590,1.3,8.4,244,0,112,1502,78,22.4
842.87,3.610,1.2,8.4,245,0,114,1518,79,22.3
841.43,3.610,1,8.4,246,0,116,1531,79
839.79,3.630,0.8,8.4,246,0,118,1547,78,22.4
838.36,3.660,0.6,8.4,247,0,120,1561,78,22.4
836.72,3.660,0.4,8.4,248,0,122,1576,78,22.4
835.09,3.660,0.3,8.4,248,0,124,1592,79,22.4
833.46,3.670,0.2,8.4,249,0,126,1608,79,22.4
832.04,3.720,0.1,8.4,249,0,128,1621,80
830.62,3.720,0.1,8.3,250,0,130,1635,80,22.4
829,3.730,0,8.3,250,0,132,1651,80,22.4
827.78,3.740,0,8.3,251,0,134,1663,79,22.4
826.57,3.750,-0.2,8.3,251,0,136,1674,79,22.4
824.96,3.760,-0.4,8.3,252,0,138,1690,79,22.4
823.35,3.760,-0.4,8.3,252,0,140,1706,79,22.4
821.94,3.760,-0.5,8.2,253,0,142,1719,80,22.4
820.74,3.800,-0.7,8.2,253,0,144,1731,79,22.5
818.94,3.840,-0.9,8.2,253,0,146,1749,77,22.5
817.34,3.850,-1.1,8.1,254,0,148,1764,74,22.5
815.94,3.870,-1.3,8.1,254,0,150,1778,72,22.5
814.95,3.920,-1.4,8.1,255,0,152,1787,71,22.5
813.95,3.970,-1.5,8,255,0,154,1797,71
812.96,4.050,-1.6,8,255,0,156,1807,70,22.5
811.77,4.090,-1.7,7.9,256,0,158,1819,69,22.5
810.58,4.110,-1.7,7.9,256,0,160,1830,70,22.5
809.4,4.110,-1.8,7.8,257,0,162,1842,69,22.5
807.82,4.150,-1.9,7.8,257,0,164,1857,69,22.5
806.44,4.180,-2,7.7,257,0,166,1871,69,22.5
804.86,4.190,-2.1,7.7,258,0,168,1887,68,22.5
803.88,4.190,-2.2,7.6,258,0,170,1896,68,22.5
802.51,4.190,-2.2,7.5,258,0,172,1910,68,22.5
801.14,4.230,-2.4,7.5,259,0,174,1923,69,22.5
799.77,4.240,-2.4,7.4,259,0,176,1937,69,22.5
798.41,4.250,-2.5,7.2,258,0,178,1951,69,22.6
797.24,4.290,-2.6,7.1,259,0,180,1962,69,22.6
796.07,4.290,-2.6,6.9,259,0,182,1974,70
794.91,4.370,-2.7,6.7,258,0,184,1985,70,22.6
793.74,4.390,-2.8,6.6,258,0,186,1997,70,22.6
792.58,4.390,-2.9,6.4,257,0,188,2009,70,22.6
791.42,4.390,-3,6.3,257,0,190,2020,70,22.6
790.45,4.390,-3,6.2,257,0,192,2030,70,22.6
788.91,4.390,-3.1,6.1,256,0,194,2045,70,22.6
787.56,4.390,-3.2,6,256,0,196,2059,70
786.22,4.390,-3.4,5.9,256,0,198,2072,71,22.6
784.88,4.390,-3.5,5.8,256,2,200,2086,71,22.6
783.73,4.390,-3.5,5.7,256,0,202,2098,71,22.6
782.2,4.390,-3.6,5.6,256,0,204,2113,72,22.6
781.44,4.400,-3.7,5.6,255,0,206,2121,72,22.7
780.29,4.400,-3.7,5.5,255,0,208,2132,72,22.7
779.15,4.400,-3.8,5.5,256,0,210,2144,73,22.7
777.82,4.400,-3.9,5.4,256,0,212,2157,73,22.7
