
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a11756

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-04-30,11:29:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 287
* angel y su problemas con la sonda reciclada. lanzamos una nueva y va tarde

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
359.7,0,439.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.178,26.50,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
932.98,3.000,13.0,3.5,230,2,0,631,43,24.8
930.47,3.110,11.7,5.0,248,0,2,653,29,24.9
929.57,3.200,11.2,5.1,248,0,4,662,30,24.8
928.20,3.260,10.6,5.1,249,0,6,674,30,24.9
926.62,3.310,9.8,5.2,250,0,8,688,31,24.9
925.26,3.390,9.7,5.2,251,0,10,700,32,24.9
925.00,3.410,9.7,5.2,251,3,10,702,32,24.9
923.91,3.410,9.6,5.3,252,0,12,712,32,24.9
922.33,3.520,9.5,5.4,252,0,14,727,32,24.9
920.98,3.550,9.4,5.4,253,0,16,739,33,24.9
919.86,3.590,9.2,5.5,254,0,18,749,33,24.9
918.74,3.690,8.9,5.5,255,0,20,759,33,24.9
917.84,3.700,8.7,5.6,256,0,22,767,33,24.9
916.94,3.770,8.6,5.6,256,0,24,775,34,24.9
915.38,3.810,8.5,5.7,257,0,26,789,34,25.0
914.04,3.820,8.4,5.8,258,0,28,801,34,25.0
912.92,3.830,8.3,5.8,259,0,30,811,34,25.0
911.59,3.870,8.2,5.9,259,0,32,823,34,25.0
909.81,3.940,7.9,5.9,260,0,34,839,34
907.81,3.980,7.7,6.0,261,0,36,858,34,25.0
906.48,3.990,7.6,6.0,262,0,38,870,34,25.0
904.93,4.010,7.5,6.1,262,0,40,884,35,25.0
