
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A11724

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-05-12,10:56:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 234
* angel y su OK

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
324.9,0,376.9

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.000,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
942.36,2.730,16.0,0.0,0,2,0,631,60,22.8
941.21,2.840,16.1,0.0,0,0,2,641,46,22.8
939.60,3.170,16.0,0.5,173,0,4,656,46,22.8
938.00,3.440,15.8,0.7,171,2,6,670,46,22.8
936.63,3.470,15.5,0.9,168,0,8,683,46,22.8
935.48,3.490,15.3,1.1,166,0,10,693,47,22.9
934.34,3.510,15.1,1.3,163,0,12,704,48,22.8
932.98,3.520,15.0,1.5,161,0,14,716,48,22.9
931.61,3.530,14.9,1.7,158,0,16,728,48,22.8
930.47,3.540,14.7,1.9,156,0,18,739,49,22.9
928.88,3.570,14.6,2.0,154,0,20,753,49
927.07,3.570,14.4,2.2,151,0,22,770,50,22.9
925.26,3.580,14.2,2.4,149,0,24,786,50,22.9
925.00,3.590,14.2,2.4,149,3,24,788,50,22.9
923.68,3.590,14.0,2.6,146,0,26,800,50,22.9
922.11,3.590,13.9,2.8,144,0,28,815,51,22.9
920.53,3.620,13.8,2.9,141,0,30,829,51,22.9
918.74,3.630,13.6,3.1,139,0,32,846,51,22.9
916.94,3.640,13.5,3.3,137,0,34,862,51
915.38,3.640,13.3,3.5,134,0,36,877,52,22.9
913.81,3.670,13.2,3.7,132,0,38,891,52,23.0
912.03,3.670,13.1,3.8,129,0,40,907,53,23.0
910.25,3.670,12.9,4.0,127,0,42,924,54,23.0
908.70,3.670,12.7,4.2,125,0,44,938,54,23.0
907.15,3.730,12.6,4.3,122,0,46,953,54,23.0
905.38,3.690,12.5,4.5,120,0,48,969,55
903.83,3.690,12.3,4.7,118,0,50,983,55,23.0
901.85,3.690,12.2,4.8,116,0,52,1002,56,23.0
900.09,3.690,12.0,5.0,113,0,54,1018,56,23.0
898.11,3.690,11.9,5.2,111,0,56,1036,56,23.0
896.36,3.690,11.6,5.3,109,0,58,1053,57,23.0
894.83,3.690,11.5,5.5,107,0,60,1067,57,23.0
893.74,3.690,11.4,5.6,105,0,62,1077,57
892.65,3.690,11.3,5.8,103,0,64,1087,58,23.1
891.56,3.690,11.1,5.9,101,0,66,1098,58,23.1
890.69,3.690,11.0,6.1,99,0,68,1106,58,23.1
889.60,3.650,10.8,6.2,97,0,70,1116,58,23.1
888.51,3.700,10.7,6.3,95,0,72,1126,59,23.1
887.43,3.720,10.6,6.5,93,0,74,1136,59,23.1
885.92,3.720,10.5,6.6,91,0,76,1151,59,23.1
884.40,3.800,10.3,6.7,89,0,78,1165,60,23.1
883.11,3.840,10.2,6.9,87,0,80,1177,60,23.1
882.03,3.850,10.1,7.0,85,0,82,1187,60,23.1
880.52,3.870,10.1,7.1,83,0,84,1201,60,23.2
