
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A14044

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-05-19,10:45:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 194
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
346.9,0,407.5

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
952.54,4.840,21.6,3.0,75,2,0,631,41
950.91,4.900,20.5,3.0,78,0,2,646,27
949.98,5.000,20.2,3.0,80,0,4,654,28
948.83,5.040,19.9,3.0,81,0,6,665,28
947.44,5.070,19.5,3.0,83,2,8,677,28
946.05,5.150,19.3,3.0,84,0,10,690,28
944.66,5.150,19.2,3.0,86,0,12,702,29
943.28,5.170,19.1,3.0,87,0,14,715,29
941.90,5.240,19.0,3.0,89,0,16,728,29
940.52,5.270,18.8,3.0,90,0,18,740,30
939.15,5.290,18.7,3.0,91,0,20,753,30
937.77,5.340,18.7,2.9,93,0,22,765,30
936.63,5.340,18.6,2.9,94,0,24,776,30
935.03,5.340,18.4,2.9,96,0,26,790,30
933.43,5.340,18.2,2.9,97,0,28,805,30
932.06,5.370,18.1,2.9,99,0,30,817,31
930.70,5.370,18.0,2.9,100,0,32,830,31
929.34,5.380,17.8,2.9,101,0,34,842,31
927.98,5.410,17.7,2.9,103,0,36,855,31
926.17,5.410,17.6,2.9,104,0,38,872,31
925.00,5.410,17.5,2.9,105,3,39,882,32
924.59,5.410,17.4,2.9,105,0,40,886,32
923.23,5.410,17.3,2.9,107,0,42,899,32
921.88,5.410,17.3,2.9,108,0,44,911,32
920.31,5.410,17.1,2.8,109,0,46,926,32
918.96,5.400,17.0,2.8,110,0,48,938,33
918.06,5.400,16.9,2.8,111,0,50,947,33
916.72,5.390,16.8,2.8,113,0,52,959,33
915.15,5.390,16.7,2.8,114,0,54,974,33
913.59,5.410,16.6,2.8,115,0,56,988,33
911.81,5.410,16.5,2.8,116,0,58,1005,34
909.81,5.410,16.3,2.8,117,0,60,1023,34
908.70,5.410,16.2,2.7,118,0,62,1034,34
907.37,5.410,16.1,2.7,119,0,64,1046,34
906.04,5.420,15.8,2.7,120,0,66,1059,34
904.71,5.430,15.7,2.7,121,0,68,1071,34
903.61,5.420,15.5,2.7,121,0,70,1081,34
902.73,5.430,15.2,2.7,122,0,72,1090,35
901.41,5.450,15.1,2.6,123,0,74,1102,35
899.87,5.450,15.0,2.6,124,0,76,1117,35
898.11,5.450,14.9,2.6,124,0,78,1133,36
896.36,5.420,14.7,2.6,125,0,80,1150,36
894.61,5.420,14.7,2.6,125,0,82,1166,36
893.08,5.420,14.6,2.5,126,0,84,1180,36
891.56,5.400,14.5,2.5,126,0,86,1195,36
890.25,5.380,14.3,2.5,127,0,88,1207,37
888.95,5.380,14.2,2.5,127,0,90,1220,37
887.43,5.380,13.9,2.5,128,0,92,1234,38
886.13,5.390,13.8,2.4,128,0,94,1246,38
885.05,5.390,13.7,2.4,128,0,96,1257,38
883.75,5.390,13.6,2.4,128,0,98,1269,38
882.46,5.400,13.5,2.4,128,0,100,1281,38
881.17,5.400,13.4,2.3,129,0,102,1294,38
879.88,5.390,13.3,2.3,129,0,104,1306,38
878.59,5.400,13.2,2.3,128,0,106,1318,38
877.52,5.390,13.1,2.2,128,0,108,1329,39
876.02,5.390,13.0,2.2,128,0,110,1343,38
874.53,5.370,12.8,2.2,128,0,112,1357,39
873.25,5.340,12.7,2.2,128,0,114,1370,39
872.18,5.290,12.6,2.1,127,0,116,1380,39
871.33,5.290,12.6,2.1,127,0,118,1388,39
870.05,5.310,12.4,2.0,126,0,120,1400,40
868.99,5.290,12.3,2.0,126,0,122,1410,40
867.72,5.290,12.3,2.0,125,0,124,1423,40
866.24,5.310,12.1,1.9,123,0,126,1437,40
864.97,5.340,11.9,1.9,122,0,128,1449,41
863.92,5.360,11.8,1.8,122,0,130,1460,41
862.65,5.360,11.7,1.7,122,0,132,1472,41
860.97,5.360,11.6,1.7,123,0,134,1488,42
859.29,5.360,11.5,1.6,125,0,136,1504,43
857.82,5.360,11.3,1.5,127,0,138,1519,44
856.36,5.360,11.2,1.4,128,0,140,1533,44
855.10,5.360,11.1,1.3,129,0,142,1545,44
853.85,5.350,11.0,1.3,130,0,144,1557,43
852.81,5.350,10.8,1.2,131,0,146,1568,43
851.77,5.310,10.7,1.2,132,0,148,1578,43
850.73,5.310,10.7,1.1,133,0,150,1588,43
850.00,5.290,10.6,1.1,133,3,151,1595,44
849.48,5.290,10.5,1.1,133,0,152,1600,44
848.24,5.310,10.4,1.1,134,0,154,1612,43
847.21,5.310,10.4,1.0,134,0,156,1622,43
846.17,5.340,10.2,1.0,134,0,158,1633,43
845.14,5.350,10.1,1.0,134,0,160,1643,44
844.11,5.360,10.0,1.1,133,0,162,1653,44
843.08,5.360,9.9,1.1,133,0,164,1663,45
842.05,5.360,9.7,1.2,132,0,166,1673,46
840.82,5.360,9.6,1.2,131,0,168,1685,46
839.38,5.360,9.6,1.3,130,0,170,1700,45
837.95,5.360,9.4,1.4,129,0,172,1714,46
836.52,5.290,9.3,1.5,128,0,174,1728,47
835.29,5.290,9.2,1.8,126,0,176,1740,47
833.87,5.290,9.0,2.0,124,0,178,1754,48
832.44,5.280,8.9,2.3,122,0,180,1768,48
831.83,5.270,8.9,2.6,120,0,182,1774,47
830.82,5.270,8.9,2.9,117,0,184,1784,46
829.60,5.270,8.8,3.3,115,0,186,1797,46
828.59,5.270,8.7,3.6,114,0,188,1807,46
827.58,5.270,8.5,4.0,113,0,190,1817,47
826.17,5.270,8.3,4.4,112,0,192,1831,50
825.36,5.270,8.2,4.7,111,0,194,1839,51
824.55,5.270,8.1,5.1,111,2,196,1847,50
823.35,5.290,8.2,5.4,111,0,198,1859,47
822.14,5.310,8.1,5.6,111,0,200,1871,45
820.94,5.380,8.2,5.9,111,0,202,1883,45
819.94,5.340,8.2,6.2,111,0,204,1893,44
819.74,5.350,8.2,6.5,112,0,206,1895,44
819.54,5.340,8.2,6.7,112,0,208,1897,44
819.34,5.340,8.2,7.0,112,0,210,1899,44
819.14,5.340,8.3,7.3,112,0,212,1901,44
818.54,5.360,8.5,7.5,112,0,214,1908,44
817.94,5.340,8.7,7.8,111,0,216,1914,33
816.94,5.310,8.9,8.0,111,0,218,1924,30
816.14,5.280,9.1,8.2,111,0,220,1932,30
815.35,5.250,9.1,8.5,110,0,222,1940,30
814.75,5.260,9.1,8.7,109,0,224,1946,30
813.95,5.250,9.1,8.9,108,0,226,1954,31
813.36,5.230,9.1,9.1,107,0,228,1960,31
812.56,5.230,9.1,9.4,105,0,230,1968,31
811.77,5.220,9.0,9.5,104,0,232,1976,31
811.18,5.230,8.9,9.7,103,0,234,1982,31
810.39,5.220,8.9,9.8,102,0,236,1990,31
809.59,5.220,8.8,9.8,101,0,238,1998,32
809.00,5.210,8.8,9.7,99,0,240,2004,32
808.61,5.200,8.8,9.6,98,0,242,2009,31
807.82,5.190,8.7,9.5,97,0,244,2017,30
807.03,5.150,8.7,9.2,97,0,246,2025,30
806.24,5.130,8.6,8.9,96,0,248,2033,30
805.65,5.130,8.6,8.6,96,0,250,2039,30
804.67,5.120,8.5,8.2,96,0,252,2049,31
804.08,5.110,8.4,7.8,97,0,254,2055,31
803.49,5.110,8.4,7.6,98,0,256,2061,32
802.71,5.100,8.3,7.4,100,0,258,2069,33
802.12,5.100,8.3,7.2,103,0,260,2075,33
801.53,5.100,8.2,7.2,106,0,262,2081,34
800.94,5.100,8.2,7.3,109,0,264,2087,34
799.97,5.100,8.1,7.5,112,0,266,2097,34
799.19,5.100,8.0,7.8,114,0,268,2105,34
798.41,5.100,8.0,8.2,115,0,270,2113,33
797.63,5.100,7.9,8.7,116,0,272,2121,33
796.85,5.100,7.8,9.1,116,0,274,2129,33
796.26,5.090,7.8,9.4,116,0,276,2135,33
795.49,5.080,7.7,9.6,115,0,278,2144,32
794.71,5.080,7.6,9.8,114,0,280,2152,32
793.74,5.060,7.6,10.0,112,0,282,2162,32
792.97,5.050,7.5,10.1,111,0,284,2170,32
792.19,5.040,7.4,10.1,110,0,286,2178,32
791.42,5.010,7.4,10.1,109,0,288,2186,32
790.45,5.010,7.4,10.0,108,0,290,2196,32
789.49,5.000,7.2,9.9,108,0,292,2206,33
788.53,4.970,7.1,9.9,107,0,294,2216,33
787.56,4.950,7.1,9.8,107,0,296,2226,34
786.60,4.950,7.0,9.8,106,0,298,2236,34
785.45,4.940,6.9,9.8,106,0,300,2248,34
784.88,4.940,6.8,9.8,106,0,302,2254,34
784.11,4.940,6.8,9.7,105,0,304,2262,34
783.15,4.940,6.6,9.6,105,0,306,2272,34
782.20,4.930,6.5,9.4,105,0,308,2282,34
781.44,4.930,6.5,9.2,105,0,310,2290,34
780.48,4.940,6.4,9.0,105,0,312,2300,32
779.72,4.910,6.4,8.7,106,0,314,2308,31
779.15,4.880,6.3,8.3,107,0,316,2314,32
778.39,4.880,6.3,8.0,108,0,318,2322,32
777.44,4.880,6.1,7.7,110,0,320,2332,32
776.68,4.880,6.1,7.6,112,0,322,2340,32
776.11,4.880,6.1,7.5,115,0,324,2346,32
775.17,4.870,6.0,7.5,118,0,326,2356,32
774.41,4.850,6.0,7.6,120,0,328,2364,31
773.84,4.850,6.0,7.9,122,0,330,2370,31
773.09,4.830,6.0,8.2,124,0,332,2378,31
772.52,4.820,5.9,8.7,125,0,334,2384,31
771.77,4.800,5.9,9.2,126,0,336,2392,31
771.01,4.800,5.8,9.7,126,0,338,2400,31
770.07,4.790,5.8,10.2,126,0,340,2410,32
769.32,4.740,5.7,10.7,125,0,342,2418,32
768.76,4.730,5.6,11.0,125,0,344,2424,32
768.01,4.730,5.5,11.3,124,0,346,2432,33
767.07,4.720,5.5,11.5,122,0,348,2442,33
766.70,4.720,5.4,11.6,122,0,350,2446,34
766.13,4.720,5.3,11.6,121,0,352,2452,34
765.20,4.720,5.2,11.5,120,0,354,2462,36
764.45,4.730,5.2,11.3,119,0,356,2470,37
763.71,4.780,5.1,11.1,118,0,358,2478,38
762.77,4.780,5.0,10.8,118,0,360,2488,40
762.03,4.780,4.9,10.4,117,0,362,2496,41
761.10,4.810,4.9,9.9,116,0,364,2506,41
759.99,4.810,4.7,9.5,116,0,366,2518,39
759.06,4.810,4.7,9.2,115,0,368,2527,37
758.32,4.810,4.6,8.8,114,0,370,2535,36
