
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A15421

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-06-30,10:48:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 165
* angel y su ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
299.9,0,361.4

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.000,27.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.05,4.260,33.9,4.6,230,2,0,631,35,29.8
945.36,4.370,33.5,5.2,231,0,2,638,19
944.43,4.400,32.9,5.3,231,0,4,646,19,29.8
943.51,4.530,32.4,5.4,231,0,6,655,20,29.8
942.82,4.600,31.9,5.5,232,0,8,662,20,29.8
941.90,4.610,31.4,5.6,232,0,10,671,20
941.21,4.620,30.9,5.7,232,0,12,677,20,29.8
940.75,4.630,30.8,5.8,233,0,14,681,20,29.8
939.83,4.630,30.8,5.9,233,0,16,690,21,29.8
938.92,4.630,30.6,6.0,233,2,18,699,21,29.9
938.23,4.640,30.6,6.1,234,0,20,705,21,29.9
937.08,4.640,30.5,6.2,234,0,22,716,21,29.9
935.48,4.650,30.4,6.3,234,0,24,732,21,29.9
934.80,4.650,30.3,6.4,235,0,26,738,21,29.9
934.12,4.630,30.2,6.5,235,0,28,745,21,29.9
933.43,4.610,30.2,6.6,235,0,30,751,21,29.9
932.29,4.600,30.1,6.6,235,0,32,762,21,30.0
931.38,4.570,30.0,6.7,236,0,34,771,21,30.0
930.70,4.570,30.0,6.8,236,0,36,777,21,30.0
930.02,4.580,29.9,6.8,236,0,38,784,21
929.34,4.590,29.8,6.9,237,0,40,790,21,30.0
928.43,4.590,29.8,6.9,237,0,42,799,21,30.0
927.75,4.590,29.7,6.9,237,0,44,805,21,30.1
926.85,4.590,29.6,6.9,237,0,46,814,21,30.0
925.94,4.590,29.5,6.9,238,0,48,823,21,30.1
925.04,4.590,29.4,6.9,238,0,50,832,21,30.1
924.13,4.590,29.3,6.9,238,0,52,840,22,30.1
923.46,4.590,29.2,6.9,239,0,54,847,22,30.2
922.56,4.590,29.2,6.9,239,0,56,855,22,30.2
921.66,4.580,29.0,6.8,239,0,58,864,22,30.2
920.76,4.580,28.9,6.8,239,0,60,873,22,30.2
919.86,4.590,28.8,6.7,239,0,62,881,22,30.2
918.96,4.600,28.7,6.6,240,0,64,890,22,30.2
918.29,4.600,28.6,6.5,240,0,66,897,22
917.39,4.600,28.5,6.4,240,0,68,905,22,30.3
916.72,4.610,28.5,6.3,240,0,70,912,22,30.3
916.05,4.640,28.5,6.2,240,0,72,918,22,30.3
915.15,4.660,28.4,6.0,240,0,74,927,22,30.3
914.04,4.670,28.3,5.9,241,0,76,938,22,30.3
913.14,4.690,28.2,5.7,241,0,78,946,22,30.4
912.25,4.700,28.1,5.5,241,0,80,955,22,30.4
910.92,4.730,28.0,5.3,241,0,82,968,22,30.4
909.81,4.740,27.9,5.1,241,0,84,979,22,30.4
908.70,4.740,27.8,4.9,241,0,86,990,22,30.4
907.59,4.770,27.7,4.6,241,0,88,1000,22,30.4
906.70,4.770,27.6,4.3,241,0,90,1009,22,30.5
905.82,4.800,27.5,3.9,241,0,92,1018,23,30.5
904.71,4.800,27.4,3.4,241,0,94,1028,23,30.5
903.39,4.820,27.3,3.1,241,0,96,1041,23,30.5
902.73,4.820,27.2,2.9,241,0,98,1048,23,30.5
901.85,4.860,27.1,2.8,242,0,100,1056,23,30.5
901.19,4.890,27.1,2.8,242,0,102,1063,22,30.6
900.53,4.890,27.1,2.8,242,0,104,1069,22,30.6
899.87,4.890,27.1,2.9,242,0,106,1076,22,30.6
898.99,4.890,27.0,3.1,241,0,108,1084,23,30.6
898.33,4.890,26.9,3.3,241,0,110,1091,23,30.7
897.45,4.900,26.8,3.5,240,0,112,1099,23,30.7
896.58,4.890,26.7,3.8,239,0,114,1108,23,30.7
895.70,4.890,26.6,4.0,239,0,116,1117,23,30.7
894.83,4.890,26.5,4.2,237,0,118,1125,23,30.7
893.74,4.950,26.4,4.4,236,0,120,1136,23,30.7
893.08,4.960,26.4,4.5,235,0,122,1142,23
892.21,4.960,26.4,4.7,235,0,124,1151,23,30.7
891.34,4.970,26.2,4.9,234,0,126,1160,23,30.8
890.25,4.970,26.2,5.0,234,0,128,1170,23,30.8
