
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15428

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-09-08,11:18:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 155
* angel y su ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
243.6,0,321.2

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.041,26.00,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
946.97,3.430,27.7,7.3,118,2,0,631,56
946.05,3.430,27.5,7.2,119,0,2,640,56
945.13,3.440,27.2,7.2,119,0,4,648,56
943.97,3.450,26.9,7.2,120,0,6,659,56
943.05,3.460,26.7,7.2,121,0,8,668,56
942.13,3.460,26.4,7.1,121,0,10,676,56
941.21,3.470,26.2,7.1,122,0,12,685,56
940.29,3.480,25.9,7.1,122,0,14,694,56
939.15,3.480,25.6,7.0,123,0,16,704,56
938.23,3.490,25.4,7.0,124,0,18,713,56
937.31,3.500,25.1,7.0,124,0,20,722,56
936.40,3.510,24.9,7.0,125,0,22,730,56
935.48,3.510,24.6,6.9,125,0,24,739,56
934.34,3.520,24.3,6.9,126,0,26,750,56
933.43,3.530,24.1,6.9,127,0,28,758,56
932.52,3.540,23.8,6.9,127,0,30,767,56
931.61,3.540,23.6,6.9,128,0,32,775,56
930.70,3.550,23.3,6.8,128,0,34,784,56
929.57,3.560,23.0,6.8,129,0,36,794,57
928.66,3.560,22.8,6.8,130,0,38,803,57
927.75,3.570,22.5,6.8,130,0,40,811,57
926.85,3.580,22.3,6.7,131,0,42,820,57
925.94,3.590,22.0,6.7,131,0,44,828,57
925.00,3.590,21.8,6.7,132,3,46,837,57
924.81,3.590,21.7,6.7,132,0,46,839,57
923.91,3.600,21.5,6.7,132,0,48,847,57
923.01,3.610,21.2,6.6,133,0,50,856,57
922.11,3.620,21.0,6.6,134,0,52,864,57
921.21,3.620,20.7,6.6,134,0,54,873,57
920.08,3.630,20.4,6.6,135,0,56,883,57
919.18,3.640,20.2,6.6,135,0,58,892,57
918.29,3.640,19.9,6.5,136,0,60,900,57
917.39,3.650,19.7,6.5,136,0,62,909,57
916.50,3.660,19.4,6.5,137,0,64,917,57
915.38,3.670,19.1,6.5,138,0,66,928,57
914.48,3.670,18.8,6.5,138,0,68,936,57
913.59,3.680,18.5,6.5,139,0,70,944,57
912.70,3.690,18.3,6.4,139,0,72,953,57
911.59,3.700,18.0,6.4,140,0,74,963,57
910.70,3.700,17.7,6.4,140,0,76,972,57
909.81,3.710,17.5,6.4,141,0,78,980,57
908.92,3.720,17.2,6.4,141,0,80,988,57
908.03,3.730,17.0,6.4,142,0,82,997,57
906.92,3.730,16.7,6.3,143,0,84,1007,57
906.04,3.740,16.4,6.3,143,0,86,1015,57
905.15,3.750,16.2,6.3,144,0,88,1024,57
904.27,3.750,15.9,6.3,144,0,90,1032,57
903.39,3.760,15.7,6.3,145,0,92,1040,57
902.29,3.770,15.4,6.3,145,0,94,1051,57
901.41,3.780,15.1,6.3,146,0,96,1059,57
900.53,3.780,14.9,6.3,146,0,98,1067,57
899.65,3.790,14.7,6.3,147,0,100,1075,57
898.77,3.800,14.4,6.2,147,0,102,1084,57
897.67,3.810,14.1,6.2,148,0,104,1094,58
896.80,3.810,13.9,6.2,148,0,106,1102,58
895.92,3.820,13.6,6.2,149,0,108,1111,58
895.05,3.830,13.4,6.2,149,0,110,1119,58
894.17,3.830,13.1,6.2,150,0,112,1127,58
893.08,3.840,12.8,6.2,150,0,114,1137,58
892.21,3.850,12.6,6.2,151,0,116,1145,58
891.34,3.860,12.3,6.2,151,0,118,1154,58
890.47,3.860,12.1,6.2,151,0,120,1162,58
889.60,3.870,11.8,6.2,152,0,122,1170,58
888.51,3.880,11.5,6.2,152,0,124,1180,58
887.65,3.890,11.3,6.2,153,0,126,1188,58
886.78,3.890,11.0,6.2,153,0,128,1197,58
885.92,3.900,10.8,6.2,154,0,130,1205,58
885.05,3.910,10.5,6.2,154,0,132,1213,58
883.97,3.910,10.2,6.2,155,0,134,1223,58
883.11,3.920,10.0,6.2,155,0,136,1231,58
881.82,3.930,9.6,6.2,155,2,138,1243,58
880.31,3.940,9.8,6.2,156,0,140,1257,58
878.59,3.940,10.1,6.3,156,0,142,1274,59,32.7
876.66,3.950,10.4,6.3,157,0,144,1292,59,32.7
874.95,3.960,10.6,6.3,157,0,146,1308,59,32.7
873.03,3.970,10.9,6.3,157,0,148,1327,60,32.7
871.33,3.970,11.2,6.3,158,0,150,1343,60,32.7
869.42,3.980,11.5,6.3,158,0,152,1361,61,32.7
867.72,3.990,11.7,6.3,159,0,154,1378,61,32.7
865.82,3.990,12.0,6.3,159,0,156,1396,61,32.7
864.13,4.000,12.3,6.4,159,0,158,1412,62,32.7
862.23,4.010,12.6,6.4,160,0,160,1431,62,32.7
860.55,4.020,12.8,6.4,160,0,162,1447,63,32.7
858.66,4.020,13.1,6.4,160,0,164,1466,63,32.7
856.77,4.030,13.4,6.4,161,0,166,1484,63,32.7
855.10,4.040,13.6,6.5,161,0,168,1501,64,32.7
853.23,4.050,13.9,6.5,161,0,170,1519,64,32.7
851.56,4.050,14.2,6.5,162,0,172,1536,65,32.7
850.00,4.060,14.5,6.5,162,3,174,1551,65,32.7
849.69,4.060,14.5,6.5,162,0,174,1554,65,32.7
848.03,4.070,14.7,6.6,162,0,176,1571,65,32.7
846.17,4.070,15.0,6.6,163,0,178,1589,66,32.7
844.52,4.080,15.3,6.6,163,0,180,1606,66,32.7
842.67,4.090,15.6,6.7,163,0,182,1625,67,32.7
841.02,4.100,15.8,6.7,163,0,184,1641,67,32.7
839.18,4.100,16.1,6.7,164,0,186,1660,67,32.7
837.54,4.110,16.4,6.8,164,0,188,1677,68,32.8
836.11,4.160,16.6,6.8,164,2,190,1691,68,32.8
834.89,4.160,16.5,6.8,164,0,192,1704,69,32.8
833.66,4.180,16.4,6.9,165,0,194,1716,69,32.8
832.65,4.180,16.3,6.9,165,0,196,1727,69,32.8
831.63,4.180,16.2,7.0,165,0,198,1737,69
830.62,4.180,16.1,7.0,165,0,200,1747,69,32.8
829.60,4.190,16.0,7.0,165,0,202,1758,70,32.8
828.79,4.190,15.9,7.1,166,0,204,1766,71,32.8
827.38,4.190,15.7,7.1,166,0,206,1781,72,32.9
826.17,4.200,15.6,7.2,166,0,208,1793,73,32.9
825.16,4.200,15.5,7.2,166,0,210,1804,74,32.9
823.95,4.210,15.4,7.3,166,0,212,1816,74,32.9
822.95,4.210,15.3,7.3,167,0,214,1826,75,32.9
821.94,4.190,15.2,7.4,167,0,216,1837,75,32.9
820.74,4.170,15.1,7.5,167,0,218,1849,75,32.9
819.74,4.150,15.0,7.5,167,0,220,1859,76,32.9
818.74,4.130,14.9,7.6,167,0,222,1870,76,32.9
817.54,4.120,14.8,7.6,167,0,224,1882,76,33.0
816.34,4.130,14.7,7.7,167,0,226,1895,76,33.0
814.95,4.120,14.6,7.8,167,0,228,1909,74,33.0
814.35,4.110,14.6,7.8,167,0,230,1915,74,33.0
813.56,4.110,14.6,7.9,168,0,232,1924,72,33.0
812.37,4.110,14.6,8.0,168,0,234,1936,71,33.0
811.18,4.130,14.6,8.0,168,0,236,1948,70
810.19,4.130,14.5,8.2,167,0,238,1959,70,33.1
808.80,4.110,14.3,8.3,167,0,240,1973,71,33.1
808.21,4.050,14.2,8.5,166,0,242,1979,72,33.1
807.42,4.030,14.2,8.7,166,0,244,1988,72,33.1
806.63,4.030,14.0,8.8,165,0,246,1996,71,33.2
805.85,4.020,14.0,8.9,165,0,248,2004,70,33.2
804.86,4.020,14.0,9.0,165,0,250,2015,70,33.2
803.69,4.010,13.9,9.0,165,0,252,2027,69,33.2
