
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15432

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-09-22,10:56:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 168
* 

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
254.7,0,303.7

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,,,Pressure,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
952.07,3.260,27.2,1.0,65,2,0,631,43
950.22,3.540,26.0,1.1,73,2,2,648,24
949.29,3.630,26.0,1.1,76,0,4,657,25
948.13,3.660,25.8,1.1,79,0,6,668,25
947.21,3.680,25.6,1.2,82,0,8,676,25
946.28,3.710,25.5,1.2,85,0,10,685,25
945.36,3.710,25.4,1.2,87,0,12,693,26
944.20,3.710,25.2,1.2,90,0,14,704,26
942.82,3.710,25.1,1.3,93,0,16,717,26
941.67,3.720,25.1,1.3,96,0,18,727,26
940.75,3.790,24.9,1.3,98,0,20,736,26
939.38,3.820,24.8,1.4,101,0,22,749,26
937.77,3.840,24.7,1.4,104,0,24,764,26
936.63,3.860,24.5,1.4,106,0,26,774,26
935.26,3.860,24.4,1.5,109,0,28,787,26
933.89,3.870,24.2,1.5,111,0,30,800,27
932.06,3.870,24.1,1.5,114,0,32,817,27
930.47,3.910,23.9,1.5,116,0,34,832,27
929.11,3.910,23.7,1.6,119,0,36,845,27
927.75,3.910,23.6,1.6,121,0,38,858,27
926.17,3.910,23.4,1.6,123,0,40,872,28
925.00,3.920,23.3,1.7,126,3,42,883,28
924.81,3.920,23.3,1.7,126,0,42,885,28
923.46,3.920,23.2,1.7,128,0,44,898,28
921.88,3.920,23.1,1.7,130,0,46,913,28
920.53,3.920,23.0,1.7,132,0,48,926,28
918.74,3.960,22.8,1.8,134,0,50,943,28
917.17,3.990,22.6,1.8,136,0,52,957,29
915.82,3.990,22.5,1.8,138,0,54,970,29
914.26,3.990,22.3,1.8,139,0,56,985,29
912.92,3.970,22.2,1.9,141,0,58,998,29
911.59,3.990,22.1,1.9,143,0,60,1010,29
910.47,3.970,22.0,1.9,144,0,62,1021,29
909.36,3.990,21.9,1.9,146,0,64,1032,30
908.25,3.980,21.7,1.9,147,0,66,1042,30
906.92,3.990,21.7,2.0,148,0,68,1055,30
905.60,3.990,21.6,2.0,149,0,70,1068,30
904.05,4.030,21.6,2.0,150,0,72,1082,30
902.95,4.030,21.5,2.0,151,0,74,1093,30
901.63,3.990,21.4,2.1,152,0,76,1106,30
900.53,3.990,21.3,2.1,153,0,78,1116,30
899.43,4.030,21.1,2.1,154,0,80,1127,30
898.33,4.010,21.0,2.1,154,0,82,1137,30
897.45,3.960,20.9,2.1,155,0,84,1146,30
896.58,3.960,20.8,2.1,155,0,86,1154,30
895.70,3.930,20.7,2.2,155,0,88,1163,30
894.83,3.940,20.7,2.2,155,0,90,1171,31
893.95,3.960,20.5,2.2,155,0,92,1179,31
893.30,3.990,20.5,2.2,155,0,94,1186,30
892.86,3.990,20.5,2.2,154,0,96,1190,30
891.77,4.070,20.4,2.2,154,0,98,1200,30
890.69,4.150,20.2,2.2,153,0,100,1211,31
889.38,4.200,20.1,2.2,153,0,102,1224,31
888.30,4.290,19.9,2.2,152,0,104,1234,31
887.21,4.290,19.8,2.3,151,2,106,1245,30
885.92,4.300,19.8,2.3,150,0,108,1257,28
885.27,4.340,19.8,2.3,148,0,110,1263,26
884.62,4.510,19.9,2.3,147,0,112,1270,25
883.97,4.620,19.9,2.3,145,0,114,1276,25
882.89,4.760,19.9,2.3,143,0,116,1287,25
882.03,4.850,19.8,2.3,141,0,118,1295,24
881.38,4.930,19.8,2.3,139,0,120,1301,24
880.52,4.930,19.8,2.3,137,0,122,1310,24
879.66,5.120,19.7,2.3,135,0,124,1318,24
878.81,5.280,19.6,2.3,132,0,126,1326,24
877.95,5.330,19.7,2.3,128,0,128,1335,24
877.09,5.490,19.7,2.2,121,0,130,1343,24
876.24,5.500,19.7,2.2,114,0,132,1352,24
875.17,5.540,19.7,2.2,107,0,134,1362,24
874.10,5.550,19.8,2.2,100,0,136,1373,24
873.25,5.550,19.7,2.3,93,0,138,1381,24
872.18,5.550,19.7,2.3,86,2,140,1391,25
871.12,5.540,19.6,2.4,80,0,142,1402,25
869.84,5.500,19.6,2.4,74,0,144,1415,25
868.78,5.430,19.5,2.5,69,0,146,1425,25
867.93,5.330,19.4,2.7,64,0,148,1433,25
866.66,5.250,19.2,2.8,60,0,150,1446,25
865.60,5.170,19.2,3.0,56,0,152,1456,25
864.76,5.130,19.2,3.2,53,0,154,1465,26
863.70,5.120,19.1,3.5,51,0,156,1475,26
862.65,5.100,19.0,3.7,48,0,158,1486,26
861.60,5.060,18.9,4.0,47,0,160,1496,26
860.55,5.010,18.9,4.1,46,0,162,1507,26
859.71,4.990,18.8,4.3,45,0,164,1515,26
858.66,4.960,18.8,4.4,44,0,166,1526,26
857.61,4.880,18.7,4.4,44,0,168,1536,27
856.77,4.830,18.6,4.3,44,0,170,1544,27
855.73,4.790,18.6,4.2,45,0,172,1555,26
854.89,4.650,18.6,4.0,46,0,174,1563,26
853.85,4.560,18.6,3.7,48,0,176,1574,25
852.81,4.370,18.7,3.5,50,0,178,1584,25
851.98,4.340,18.7,3.1,52,0,180,1592,25
850.94,4.330,18.6,2.8,55,0,182,1603,25
849.90,4.280,18.6,2.5,58,0,184,1613,25
849.07,4.270,18.5,2.2,61,0,186,1622,25
848.24,4.250,18.4,1.9,57,0,188,1630,25
847.00,4.130,18.4,1.7,54,2,190,1643,25
845.76,4.110,18.4,1.5,53,0,192,1655,23
845.14,4.090,18.5,1.3,40,0,194,1661,23
844.31,4.080,18.5,1.1,17,0,196,1670,22
843.28,4.080,18.5,1.1,355,0,198,1680,21
842.46,4.080,18.4,1.0,335,0,200,1689,21
841.84,4.080,18.4,1.0,318,0,202,1695,20
841.02,4.080,18.4,1.0,310,0,204,1703,18
840.20,4.140,18.4,1.0,313,0,206,1712,18
839.18,4.190,18.4,1.1,314,0,208,1722,18
838.36,4.230,18.4,1.1,312,2,210,1730,18
837.74,4.280,18.2,1.2,320,0,212,1737,18
836.72,4.300,18.1,1.3,330,0,214,1747,18
835.91,4.300,18.1,1.4,336,0,216,1755,18
834.68,4.330,18.0,1.5,343,0,218,1768,18
833.26,4.330,17.8,1.6,346,0,220,1782,18
832.04,4.360,17.7,1.8,349,0,222,1795,18
831.02,4.400,17.6,1.9,349,0,224,1805,18
830.01,4.400,17.5,2.0,348,0,226,1816,18
829.20,4.410,17.4,2.1,345,0,228,1824,18
828.39,4.450,17.3,2.2,341,0,230,1832,17
827.58,4.470,17.3,2.3,335,0,232,1841,17
826.77,4.480,17.2,2.4,329,0,234,1849,17
825.97,4.560,17.2,2.5,324,0,236,1857,16
825.16,4.560,17.2,2.5,318,0,238,1866,16
824.15,4.630,17.0,2.5,313,0,240,1876,16
823.35,4.710,16.9,2.5,307,0,242,1884,16
822.54,4.730,16.9,2.5,301,0,244,1893,16
821.74,4.760,16.8,2.5,295,0,246,1901,16
820.94,4.780,16.7,2.4,289,0,248,1909,16
820.14,4.860,16.7,2.4,282,0,250,1918,16
819.14,4.910,16.6,2.3,276,0,252,1928,16
818.34,4.910,16.5,2.3,269,0,254,1936,16
817.54,4.950,16.4,2.3,263,0,256,1944,16
816.74,4.980,16.3,2.3,257,0,258,1953,16
815.94,4.980,16.3,2.2,252,0,260,1961,16
815.15,5.000,16.2,2.2,247,2,262,1969,16
814.35,5.000,16.2,2.1,243,0,264,1978,16
813.76,5.010,16.1,2.0,238,0,266,1984,17
812.76,5.010,16.1,1.9,235,0,268,1994,17
811.97,5.020,16.0,1.8,231,0,270,2002,17
811.18,5.020,16.0,1.7,228,0,272,2011,17
810.39,5.020,15.9,1.5,226,0,274,2019,17
809.79,5.020,15.8,1.3,214,0,276,2025,17
808.80,5.020,15.8,1.1,203,0,278,2036,17
808.01,5.020,15.7,1.0,192,0,280,2044,17
807.23,5.020,15.6,0.9,170,0,282,2052,16
806.44,5.020,15.6,0.8,137,0,284,2060,15
805.45,5.020,15.6,0.8,100,0,286,2071,13
804.28,5.020,15.5,0.8,65,0,288,2083,12
803.49,5.020,15.5,0.8,36,0,290,2091,12
802.31,5.040,15.4,0.9,19,0,292,2104,15
800.94,5.040,15.2,1.1,6,0,294,2118,17
799.97,5.040,15.1,1.2,349,0,296,2129,17
798.99,5.040,15.0,1.4,340,0,298,2139,17
797.82,5.010,14.9,1.6,330,0,300,2151,17
797.04,5.010,14.9,1.8,320,0,302,2159,17
796.07,5.010,14.9,1.9,312,0,304,2170,15
795.10,5.030,14.8,2.0,307,0,306,2180,14
794.32,5.030,14.8,2.0,304,0,308,2188,12
793.35,5.010,14.7,2.1,302,0,310,2199,10
792.58,5.010,14.7,2.1,302,0,312,2207,9
791.81,5.030,14.8,2.0,303,0,314,2215,9
791.03,5.050,14.7,1.9,308,0,316,2223,9
790.07,5.050,14.7,1.8,315,0,318,2234,9
789.30,5.070,14.7,1.8,323,0,320,2242,8
788.53,5.080,14.6,1.9,329,0,322,2250,8
787.76,5.080,14.6,1.9,330,0,324,2258,8
786.80,5.090,14.6,1.9,329,0,326,2269,8
785.84,5.110,14.5,2.0,328,0,328,2279,8
784.88,5.110,14.5,2.1,325,0,330,2289,8
783.92,5.100,14.3,2.1,320,0,332,2299,8
782.96,5.110,14.2,2.2,312,0,334,2310,8
781.63,5.110,14.1,2.2,301,0,336,2324,8
781.05,5.120,14.0,2.3,292,0,338,2330,9
780.29,5.110,14.0,2.4,286,0,340,2339,9
