
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15657

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-10-08,12:05:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 202
* angel y su ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
261.9,0,303.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.030,26.10,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
940.98,2.770,23.8,5.0,180,2,0,631,62
940.29,2.790,23.4,,,0,2,637,38
938.92,3.000,22.7,,,0,4,650,40,29.0
937.77,3.050,22.1,,,0,6,661,40,29.0
936.63,3.060,21.5,,,2,8,671,41,29.0
935.26,3.070,21.4,,,0,10,684,42,29.0
934.12,3.090,21.4,,,0,12,695,42,29.0
932.98,3.100,21.3,,,0,14,705,42,29.0
932.06,3.130,21.0,,,0,16,714,42,29.0
931.16,3.150,20.8,,,0,18,722,43
930.02,3.190,20.6,,,0,20,733,43,29.0
928.88,3.220,20.4,,,0,22,743,44,29.0
927.52,3.240,20.3,,,0,24,756,44,29.0
926.39,3.250,20.1,,,0,26,766,45,29.0
925.49,3.260,20.0,,,0,28,775,45,29.0
925.00,3.260,19.9,,,3,29,779,45,29.1
924.59,3.260,19.9,,,0,30,783,45,29.1
923.68,3.300,19.8,,,0,32,792,45,29.0
922.78,3.360,19.7,,,0,34,800,45,29.1
921.88,3.390,19.7,,,0,36,808,45
920.98,3.390,19.5,,,0,38,817,46,29.1
920.08,3.420,19.4,,,0,40,825,46,29.1
919.18,3.420,19.4,,,0,42,834,46,29.1
917.84,3.460,19.3,,,0,44,846,46,29.1
916.72,3.470,19.2,,,0,46,857,46,29.2
915.38,3.480,19.0,,,0,48,869,47,29.1
914.04,3.480,18.9,,,0,50,882,47,29.2
912.70,3.500,18.7,,,0,52,894,47
911.36,3.520,18.6,,,0,54,907,47,29.2
910.25,3.520,18.5,,,0,56,917,48,29.2
909.14,3.540,18.5,,,0,58,928,48,29.2
907.81,3.540,18.4,,,0,60,941,48,29.2
907.15,3.540,18.3,,,0,62,947,48,29.2
906.48,3.540,18.2,,,0,64,953,48,29.2
905.60,3.570,18.0,,,0,66,961,49,29.2
904.71,3.540,17.9,,,0,68,970,49,29.2
903.83,3.600,17.8,,,0,70,978,49
903.17,3.600,17.7,,,0,72,984,49,29.3
902.07,3.600,17.7,,,0,74,995,50,29.3
900.53,3.600,17.7,,,0,76,1009,50,29.3
898.33,3.600,17.5,,,0,78,1030,50,29.3
897.67,3.600,17.4,,,0,80,1037,50,29.3
897.23,3.610,17.3,,,0,82,1041,51,29.3
896.80,3.610,17.3,,,0,84,1045,51,29.3
896.14,3.610,17.2,,,0,86,1051,51,29.4
895.70,3.640,17.1,,,0,88,1055,51,29.3
895.26,3.650,17.1,,,0,90,1060,51,29.4
