
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15658

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-10-20,11:00:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 204
* angel y su Por mal estado del primer globo se hinchó otro rápidamente.

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
248.5,0,310.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.020,26.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
938.46,2.540,19.8,3.0,140,2,0,631,80
937.54,2.550,19.8,6.5,159,0,2,639,58
936.40,2.560,19.8,6.7,161,0,4,650,58,29.8
935.03,2.610,19.7,7.0,162,0,6,663,59,29.8
933.66,2.610,19.7,7.2,164,0,8,675,61,29.9
932.29,2.620,19.6,7.5,165,0,10,688,62,29.9
931.16,2.620,19.4,7.7,167,0,12,698,61,29.9
930.02,2.620,19.3,8.0,169,0,14,709,63
929.11,2.620,19.2,8.3,170,0,16,717,63,29.9
927.98,2.620,19.1,8.5,172,0,18,728,62,29.9
926.85,2.630,19.1,8.7,173,0,20,738,61,29.9
925.94,2.670,19.1,9.0,175,0,22,747,59,29.9
925.26,2.670,19.1,9.2,177,0,24,753,58,29.9
925.00,2.720,19.1,9.2,177,3,24,756,58,29.9
923.91,2.720,19.1,9.5,178,0,26,766,59,29.9
922.78,2.750,19.0,9.7,180,0,28,776,59,30.0
921.66,2.760,18.8,10.0,181,0,30,787,60,29.9
920.31,2.830,18.6,10.2,183,0,32,799,61,30.0
918.96,2.860,18.4,10.4,184,0,34,812,61,30.0
917.61,2.860,18.3,10.7,186,0,36,824,61,30.0
916.05,2.870,18.2,10.9,187,0,38,839,59,30.0
914.71,2.870,18.1,11.1,189,0,40,852,59,30.0
913.59,2.870,18.1,11.3,190,0,42,862,60,30.0
912.48,2.870,18.0,11.5,192,0,44,872,61,30.0
911.36,2.870,17.8,11.7,193,0,46,883,62,30.0
910.70,2.970,17.6,12.0,194,0,48,889,62,30.0
910.47,2.980,17.6,12.2,196,0,50,891,62,30.0
910.25,3.050,17.6,12.4,197,0,52,893,63,30.0
910.03,3.120,17.6,12.5,198,0,54,895,63,30.1
909.58,3.130,17.5,12.7,200,0,56,900,62,30.1
908.92,3.130,17.5,12.9,201,0,58,906,62,30.1
908.03,3.150,17.4,13.1,202,0,60,914,62,30.2
907.15,3.150,17.4,13.3,203,0,62,923,63,30.1
906.48,3.130,17.3,13.4,204,0,64,929,63,30.2
905.60,3.130,17.2,13.6,206,0,66,937,64,30.2
904.93,3.130,17.2,13.7,207,0,68,943,63,30.2
904.27,3.130,17.1,13.9,208,0,70,950,62,30.2
903.39,3.130,17.1,14.0,209,0,72,958,62,30.2
903.17,3.140,17.1,14.2,210,0,74,960,62,30.2
902.73,3.130,17.1,14.3,211,0,76,964,62,30.2
902.07,3.130,17.0,14.4,212,0,78,971,62,30.2
901.41,3.130,17.0,14.5,212,0,80,977,63,30.2
900.53,3.140,16.9,14.6,213,0,82,985,63
899.21,3.170,16.7,14.7,214,0,84,998,63,30.2
897.89,3.190,16.7,14.8,215,0,86,1010,63
896.80,3.180,16.6,14.9,216,0,88,1021,63,30.3
895.92,3.190,16.6,15.0,216,0,90,1029,63,30.3
895.05,3.190,16.6,15.1,217,0,92,1037,62,30.3
894.17,3.190,16.6,15.2,218,0,94,1046,62,30.3
893.52,3.190,16.5,15.2,218,0,96,1052,62
892.43,3.190,16.3,15.3,219,0,98,1062,62,30.3
891.34,3.190,16.1,15.4,220,0,100,1073,62,30.3
890.47,3.200,16.0,15.4,220,0,102,1081,63,30.4
889.60,3.200,16.0,15.5,221,0,104,1089,62
888.30,3.200,15.9,15.5,221,0,106,1102,62,30.4
887.21,3.200,15.9,15.6,222,0,108,1112,62,30.4
886.78,3.200,15.8,15.6,222,0,110,1116,63,30.4
885.92,3.210,15.7,15.6,223,0,112,1124,64,30.4
885.05,3.240,15.6,15.7,223,0,114,1133,63,30.4
883.97,3.250,15.6,15.7,223,0,116,1143,63,30.4
882.89,3.240,15.5,15.7,224,0,118,1154,63,30.4
882.03,3.270,15.5,15.8,224,0,120,1162,62,30.4
880.95,3.290,15.4,15.8,225,0,122,1172,62,30.4
880.09,3.300,15.2,15.8,225,0,124,1180,63,30.5
879.02,3.300,15.1,15.8,225,0,126,1191,63,30.5
877.73,3.300,15.1,15.8,226,0,128,1203,64,30.5
876.24,3.290,14.9,15.9,226,0,130,1218,65,30.5
874.74,3.280,14.7,15.9,226,0,132,1232,66,30.5
873.46,3.280,14.6,15.9,227,0,134,1245,66,30.5
872.39,3.280,14.6,15.9,227,0,136,1255,65
871.33,3.280,14.5,15.9,227,0,138,1265,65,30.6
870.27,3.240,14.3,15.4,225,0,140,1276,65,30.6
869.20,3.240,14.3,15.4,225,0,142,1286,66,30.6
