
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15788

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-12-15,10:53:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 225
* Angel, Car ok

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
283.8,0,309.8

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.021,27.50,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
949.98,1.620,10.6,1.5,50,2,0,631,80,24.1
949.06,1.640,10.5,,,0,2,639,56,24.0
948.13,1.640,10.4,,,0,4,647,56,24.1
947.21,1.640,10.4,,,0,6,655,57,24.1
946.51,1.630,10.3,,,0,8,661,57,24.1
945.82,1.630,10.2,,,0,10,668,58,24.1
944.90,1.630,10.2,,,0,12,676,60,24.1
944.20,1.630,10.1,,,0,14,682,61,24.1
943.51,1.640,10.0,,,0,16,688,61,24.1
942.82,1.650,9.9,,,0,18,694,61,24.1
941.90,1.660,9.9,,,0,20,702,62
941.21,1.660,9.8,,,0,22,708,63,24.1
940.29,1.680,9.8,,,0,24,716,63,24.1
939.15,1.680,9.8,,,0,26,726,63,24.2
938.23,1.690,9.6,,,0,28,735,64,24.2
937.08,1.710,9.5,,,0,30,745,64,24.2
935.94,1.710,9.4,,,0,32,755,64,24.2
935.03,1.720,9.3,,,0,34,763,64,24.2
934.12,1.720,9.2,,,0,36,771,65
933.20,1.730,9.1,,,0,38,779,65,24.2
932.29,1.760,9.1,,,0,40,787,64,24.2
931.61,1.770,9.1,,,0,42,793,64,24.2
930.70,1.790,9.0,,,2,44,801,65,24.3
929.79,1.830,8.9,,,0,46,809,65,24.3
928.88,1.890,8.9,,,0,48,818,65,24.3
927.75,1.960,8.8,,,0,50,828,65
926.85,2.000,8.7,,,0,52,836,65,24.3
925.94,2.050,8.7,,,0,54,844,65,24.3
925.04,2.120,8.7,,,0,56,852,64,24.3
924.13,2.190,8.7,,,0,58,860,64,24.3
923.01,2.230,8.7,,,0,60,870,64,24.3
922.56,2.330,8.7,,,0,62,874,63,24.3
921.66,2.430,8.7,,,0,64,882,64,24.3
920.76,2.490,8.7,,,0,66,890,64
919.63,2.600,8.6,,,0,68,900,64,24.4
918.74,2.690,8.5,,,0,70,908,64,24.4
917.84,2.730,8.4,,,0,72,917,64,24.4
916.94,2.790,8.4,,,0,74,925,64,24.4
916.05,2.810,8.3,,,0,76,933,65,24.4
915.15,2.890,8.2,,,0,78,941,65,24.4
914.26,2.910,8.1,,,0,80,949,65,24.5
913.37,3.000,8.0,,,0,82,957,66
912.25,3.050,8.0,,,0,84,967,66,24.5
911.14,3.090,7.9,,,0,86,977,66,24.5
909.81,3.160,7.8,,,2,88,989,67,24.5
908.70,3.160,7.8,,,0,90,999,67,24.5
907.37,3.190,7.7,,,0,92,1011,67,24.5
906.26,3.250,7.6,,,0,94,1021,67,24.5
905.15,3.260,7.5,,,0,96,1031,67,24.5
904.05,3.290,7.4,,,0,98,1041,68,24.5
902.95,3.330,7.4,,,0,100,1052,68,24.6
902.07,3.360,7.3,,,0,102,1060,68,24.6
900.97,3.360,7.2,,,0,104,1070,68,24.6
899.87,3.360,7.1,,,0,106,1080,69,24.6
898.77,3.430,7.0,,,0,108,1090,69,24.6
897.89,3.450,6.9,,,0,110,1098,69,24.6
897.01,3.460,6.9,,,0,112,1106,69,24.6
895.92,3.470,6.7,,,0,114,1116,70,24.6
895.05,3.510,6.6,,,0,116,1124,70,24.7
894.39,3.520,6.6,,,0,118,1130,70,24.7
893.52,3.540,6.5,,,0,120,1138,71,24.7
892.86,3.550,6.4,,,0,122,1144,71,24.7
891.99,3.550,6.4,,,0,124,1152,71,24.7
890.90,3.570,6.3,,,2,126,1162,71,24.7
889.82,3.570,6.2,,,0,128,1172,72,24.7
888.73,3.580,6.1,,,0,130,1182,72,24.7
887.86,3.590,6.0,,,0,132,1190,72,24.7
887.00,3.600,6.0,,,0,134,1198,73,24.7
886.13,3.610,5.9,,,0,136,1206,73,24.7
885.27,3.610,5.8,,,0,138,1214,73,24.7
884.62,3.610,5.7,,,0,140,1220,73,24.8
883.54,3.630,5.6,,,0,142,1230,74,24.8
882.46,3.640,5.5,,,0,144,1240,74,24.8
881.60,3.640,5.5,,,0,146,1248,74
880.74,3.650,5.4,,,0,148,1256,75,24.8
879.66,3.650,5.3,,,0,150,1266,75,24.8
878.81,3.660,5.2,,,0,152,1274,76,24.8
877.95,3.670,5.1,,,0,154,1282,76,24.8
877.09,3.670,5.1,,,0,156,1290,75,24.8
876.02,3.670,5.1,,,0,158,1300,76,24.8
874.95,3.670,5.0,,,0,160,1310,76,24.8
873.89,3.680,4.9,,,0,162,1320,76
873.03,3.680,4.9,,,0,164,1328,76,24.9
871.97,3.690,4.8,,,0,166,1338,76,24.8
870.69,3.680,4.8,,,0,168,1350,76,24.9
869.84,3.680,4.7,,,0,170,1358,76,24.9
868.99,3.680,4.7,,,0,172,1366,76,24.9
868.14,3.680,4.6,,,0,174,1374,75,24.9
867.30,3.690,4.6,,,0,176,1381,75,24.9
866.66,3.690,4.5,,,0,178,1387,75
865.82,3.730,4.5,,,0,180,1395,75,24.9
864.97,3.740,4.4,,,0,182,1403,75,24.9
864.13,3.740,4.4,,,0,184,1411,75,25.0
863.28,3.760,4.3,,,0,186,1419,75,24.9
862.23,3.760,4.3,,,0,188,1429,75,25.0
861.18,3.770,4.2,,,0,190,1439,75,25.0
860.34,3.810,4.1,,,0,192,1447,75,25.0
859.50,3.810,4.1,,,0,194,1455,76
858.66,3.830,4.0,,,0,196,1463,76,25.0
857.82,3.830,3.9,,,0,198,1471,76,25.0
856.77,3.840,3.9,,,0,200,1481,76,25.0
855.73,3.860,3.8,,,0,202,1491,76,25.0
854.89,3.860,3.7,,,0,204,1499,76,25.0
854.06,3.870,3.7,,,0,206,1507,77,25.0
853.23,3.870,3.6,,,0,208,1515,77,25.0
852.39,3.870,3.5,,,0,210,1523,77
851.56,3.900,3.4,,,0,212,1530,77,25.0
