
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6a,6a15420

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-12-22,11:32:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 178
* <Unknown> OK

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
282.5,0,313.1

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.042,26.60,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
953.70,2.600,7.0,2.0,360,2,0,631,62,19.9
953.24,2.670,6.8,2.4,1,0,2,635,54,19.9
952.31,2.680,6.5,2.6,2,0,4,643,38,19.9
950.91,2.700,6.2,2.8,2,0,6,655,39,19.9
949.75,2.730,6.0,3.0,3,0,8,665,39,19.9
948.83,2.740,5.9,3.2,4,0,10,673,40,19.9
947.67,2.760,5.8,3.4,4,0,12,683,40,19.9
946.74,2.820,5.6,3.6,5,0,14,691,41,19.9
945.59,2.820,5.5,3.8,6,0,16,701,41,19.9
944.20,2.840,5.3,4.0,7,0,18,713,42,19.9
943.05,2.860,5.2,4.2,7,0,20,723,42
942.13,2.870,5.1,4.4,8,0,22,731,42,19.9
941.44,2.890,5.1,4.6,9,0,24,737,42,19.9
940.98,2.920,5.0,4.8,9,0,26,741,42,19.9
940.29,2.940,5.0,5.0,10,0,28,747,42,19.9
939.60,2.940,4.9,5.2,11,0,30,753,42,20.0
938.92,2.940,4.8,5.3,11,0,32,759,43,20.0
938.23,2.950,4.7,5.5,12,0,34,765,43,19.9
937.54,2.960,4.7,5.7,13,0,36,771,43,20.0
936.40,2.960,4.6,5.9,13,0,38,781,43,20.0
935.48,2.970,4.5,6.1,14,0,40,789,43,20.0
934.57,2.970,4.5,6.3,14,0,42,797,43,20.0
933.66,2.980,4.4,6.5,15,0,44,804,44,20.0
932.75,3.010,4.3,6.7,16,0,46,812,44,20.0
932.06,3.010,4.2,6.9,16,0,48,818,44,20.0
930.93,3.010,4.1,7.0,17,0,50,828,44
930.02,3.020,4.0,7.2,18,0,52,836,45,20.0
928.88,3.020,3.9,7.4,18,0,54,846,45,20.0
927.75,3.030,3.8,7.6,19,0,56,856,45,20.0
926.85,3.030,3.8,7.8,20,0,58,864,45,20.0
926.17,3.030,3.7,7.9,20,0,60,870,45,20.1
925.00,3.030,3.6,8.1,21,3,62,880,45,20.1
924.81,3.030,3.6,8.1,21,0,62,882,45,20.1
923.68,3.050,3.5,8.3,21,0,64,892,45,20.1
922.56,3.060,3.4,8.4,22,0,66,902,45,20.1
