
#CONTENT
Class,Category,Level,Form
WOUDC,OzoneSonde,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2005-06-28,AEMET,1.0,Cesar Zancajo

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,308,Barajas,ESP

#INSTRUMENT
Name,Model,Number
ECC,6A,6A15419

#LOCATION
Latitude,Longitude,Height
40.47,-3.58,631.0

#TIMESTAMP
UTCOffset,Date,Time
+00:00:00,2004-12-29,12:02:00
* SOFTWARE: SNDPRO 1.32
* TROPOPAUSE IN MB 161
* Julian

#FLIGHT_SUMMARY
IntegratedO3,CorrectionCode,SondeTotalO3,CorrectionFactor,TotalO3,WLCode,ObsType,Instrument,Number
216.2,0,262.3

#AUXILIARY_DATA
MeteoSonde,ib1,ib2,PumpRate,BackgroundCorr,SampleTemperatureType,MinutesGroundO3
RS80-RSA11,,0.060,27.70,Pressure_ib2,Pump

#PUMP_CORRECTION
Pressure,Correction
2.0,1.171
3.0,1.131
5.0,1.092
10.0,1.055
20.0,1.032
30.0,1.022
50.0,1.015
100.0,1.011
200.0,1.008
300.0,1.006
500.0,1.004
1000.0,1.000

#PROFILE
Pressure,O3PartialPressure,Temperature,WindSpeed,WindDirection,LevelCode,Duration,GPHeight,RelativeHumidity,SampleTemperature
955.57,2.880,10.0,7.5,360,2,0,631,52,19.7
954.17,2.870,9.9,,,0,2,643,52,19.7
952.54,2.870,9.8,,,0,4,657,52,19.7
951.14,2.870,9.7,,,0,6,670,51,19.7
949.75,2.870,9.6,,,0,8,682,51,19.7
948.36,2.870,9.5,,,0,10,694,51,19.7
946.74,2.870,9.4,,,0,12,708,51,19.7
945.36,2.870,9.3,,,0,14,720,51,19.7
943.97,2.870,9.2,,,0,16,732,51,19.7
942.36,2.870,9.1,,,0,18,746,50,19.7
940.98,2.870,9.0,,,0,20,759,50,19.7
939.60,2.870,8.9,,,0,22,771,50,19.7
938.23,2.870,8.8,,,0,24,783,50,19.7
936.63,2.870,8.7,,,0,26,797,50,19.7
935.26,2.870,8.6,,,0,28,809,49,19.7
933.89,2.870,8.5,,,0,30,821,49,19.7
932.29,2.870,8.4,,,0,32,835,49,19.7
930.93,2.870,8.3,,,0,34,847,49,19.7
929.57,2.870,8.2,,,0,36,860,49,19.7
928.20,2.870,8.1,,,0,38,872,48,19.7
926.62,2.870,8.0,,,0,40,886,48,19.7
925.26,2.870,7.9,,,0,42,898,48,19.7
925.00,2.870,7.9,,,3,42,900,48,19.7
923.91,2.870,7.8,,,0,44,910,48,19.7
922.33,2.860,7.7,,,0,46,924,48,19.7
920.98,2.860,7.6,,,0,48,936,48,19.7
919.63,2.860,7.5,,,0,50,948,47,19.7
918.29,2.860,7.4,,,0,52,960,47,19.7
916.72,2.860,7.3,,,0,54,974,47,19.7
915.38,2.860,7.2,,,0,56,986,47,19.7
914.04,2.860,7.1,,,0,58,998,47,19.7
912.70,2.860,7.1,,,0,60,1010,46,19.7
911.14,2.860,6.9,,,0,62,1024,46,19.7
909.81,2.860,6.8,,,0,64,1036,46,19.7
908.48,2.860,6.8,,,0,66,1048,46,19.7
906.92,2.860,6.7,,,0,68,1062,46,19.7
905.60,2.860,6.6,,,0,70,1074,45,19.7
904.27,2.860,6.5,,,0,72,1086,45,19.7
902.95,2.860,6.4,,,0,74,1099,45,19.7
901.41,2.860,6.3,,,0,76,1113,45,19.7
900.09,2.860,6.2,,,0,78,1125,45,19.7
898.77,2.860,6.1,,,0,80,1137,45,19.7
897.23,2.860,6.0,,,0,82,1151,44,19.7
895.92,2.860,5.9,,,0,84,1163,44,19.7
894.61,2.860,5.8,,,0,86,1174,44,19.7
893.30,2.860,5.7,,,0,88,1186,44,19.7
891.77,2.860,5.6,,,0,90,1200,44,19.7
890.47,2.850,5.5,,,0,92,1212,43,19.7
889.17,2.850,5.4,,,0,94,1224,43,19.7
887.65,2.850,5.3,,,0,96,1238,43,19.7
886.35,2.850,5.2,,,0,98,1250,43,19.7
885.05,2.850,5.1,,,0,100,1262,43,19.7
883.75,2.850,5.0,,,0,102,1274,43,19.7
882.25,2.850,4.8,,,0,104,1288,42,19.7
880.95,2.850,4.7,,,0,106,1300,42,19.7
879.66,2.850,4.6,,,0,108,1312,42,19.7
878.16,2.850,4.5,,,0,110,1326,42,19.7
876.88,2.850,4.4,,,0,112,1338,42,19.7
875.59,2.850,4.3,,,0,114,1350,41,19.7
874.31,2.850,4.2,,,0,116,1362,41,19.7
872.82,2.850,4.1,,,0,118,1376,41,19.7
871.54,2.850,4.0,,,0,120,1387,41,19.7
870.27,2.850,3.9,,,0,122,1399,41,19.7
868.78,2.850,3.8,,,0,124,1413,40,19.7
867.51,2.850,3.7,,,0,126,1425,40,19.7
866.24,2.850,3.6,,,0,128,1437,40,19.7
864.97,2.850,3.5,,,0,130,1449,40,19.7
863.49,2.850,3.4,,,0,132,1463,40,19.7
862.23,2.850,3.3,,,0,134,1475,40,19.7
860.97,2.840,3.2,,,0,136,1487,39,19.7
859.50,2.840,3.1,,,0,138,1500,39,19.7
858.24,2.840,3.0,,,0,140,1512,39,19.7
856.98,2.840,2.9,,,0,142,1524,39,19.7
855.73,2.840,2.8,,,0,144,1536,39,19.7
854.27,2.840,2.7,,,0,146,1550,38,19.7
853.02,2.840,2.6,,,0,148,1562,38,19.7
851.77,2.840,2.5,,,0,150,1573,38,19.7
850.31,2.840,2.4,,,0,152,1587,38,19.7
850.00,2.840,2.4,,,3,153,1590,38,19.7
849.07,2.840,2.3,,,0,154,1599,38,19.7
847.83,2.840,2.2,,,0,156,1611,37,19.7
846.59,2.840,2.1,,,0,158,1623,37,19.7
845.14,2.840,2.0,,,0,160,1636,37,19.7
843.90,2.840,1.9,,,0,162,1648,37,19.7
842.67,2.840,1.8,,,0,164,1660,37,19.7
841.23,2.840,1.7,,,0,166,1674,37,19.7
840.00,2.840,1.6,,,0,168,1686,36,19.7
838.77,2.840,1.5,,,0,170,1697,36,19.7
837.54,2.840,1.4,,,0,172,1709,36,19.7
836.11,2.840,1.3,,,0,174,1723,36,19.7
834.89,2.840,1.2,,,0,176,1735,36,19.7
833.66,2.840,1.1,,,0,178,1747,35,19.7
832.44,2.840,1.0,,,0,180,1758,35,19.7
831.02,2.830,0.9,,,0,182,1772,35,19.7
829.81,2.830,0.8,,,0,184,1784,35,19.7
828.59,2.830,0.7,,,0,186,1796,35,19.7
827.18,2.830,0.6,,,0,188,1809,34,19.7
825.97,2.830,0.5,,,0,190,1821,34,19.7
824.76,2.830,0.4,,,0,192,1833,34,19.7
823.55,2.830,0.4,,,0,194,1845,34,19.7
822.14,2.830,0.2,,,0,196,1858,34,19.7
820.94,2.830,0.1,,,0,198,1870,34,19.7
819.74,2.830,0.1,,,0,200,1882,33,19.7
818.34,2.830,0.0,,,0,202,1895,33,19.7
817.14,2.830,-0.1,,,0,204,1907,33,19.7
815.94,2.830,-0.2,,,0,206,1919,33,19.7
814.75,2.830,-0.3,,,0,208,1931,33,19.7
813.36,2.830,-0.4,,,0,210,1944,32,19.7
812.17,2.830,-0.5,,,0,212,1956,32,19.7
810.98,2.830,-0.6,,,0,214,1968,32,19.7
809.59,2.830,-0.7,,,0,216,1981,32,19.7
808.41,2.830,-0.8,,,0,218,1993,32,19.7
807.23,2.830,-0.9,,,0,220,2005,32,19.7
806.04,2.830,-1.0,,,0,222,2016,31,19.7
804.86,2.830,-1.1,,,0,224,2028,31,19.7
803.88,2.820,-1.2,,,2,226,2038,31,19.7
802.90,3.520,-1.3,,,0,228,2047,31,22.0
802.12,3.580,-1.3,,,2,230,2055,31,22.0
800.94,3.580,-1.4,,,0,232,2067,31,22.0
799.58,3.580,-1.6,,,0,234,2080,31,22.1
798.41,3.580,-1.7,,,0,236,2092,31,22.1
797.04,3.580,-1.7,,,0,238,2106,30,22.1
795.29,3.570,-1.8,,,0,240,2123,30,22.1
794.52,3.560,-1.8,,,0,242,2131,30,22.1
793.55,3.560,-2.0,,,0,244,2141,30,22.1
792.19,3.560,-2.1,,,0,246,2154,30
790.84,3.560,-2.2,,,2,248,2168,30,22.1
789.68,3.560,-2.2,,,0,250,2179,29,22.1
788.33,3.550,-2.3,,,0,252,2193,28,22.2
787.37,3.540,-2.3,,,0,254,2203,28,22.2
786.41,3.530,-2.3,,,0,256,2212,27,22.2
785.07,3.530,-2.3,,,0,258,2226,26,22.2
783.92,3.530,-2.3,,,0,260,2238,25,22.2
782.77,3.530,-2.2,,,0,262,2249,24,22.2
781.44,3.510,-2.1,,,0,264,2263,21,22.2
780.29,3.510,-2.1,,,0,266,2274,21,22.3
778.96,3.530,-2.1,,,0,268,2288,21,22.2
777.63,3.520,-2.2,,,0,270,2302,20,22.3
776.49,3.510,-2.2,,,0,272,2313,20,22.3
775.17,3.510,-2.3,,,0,274,2327,20
773.65,3.520,-2.5,,,0,276,2342,20,22.3
772.90,3.530,-2.6,,,0,278,2350,20,22.3
771.95,3.530,-2.6,,,0,280,2360,20,22.4
770.82,3.530,-2.7,,,0,282,2371,20,22.3
769.88,3.520,-2.7,,,2,284,2381,19,22.4
768.95,3.500,-2.5,,,0,286,2391,18,22.4
767.82,3.520,-2.3,,,0,288,2402,15,22.4
766.88,3.530,-2.2,,,0,290,2412,15,22.4
765.95,3.530,-2.2,,,0,292,2422,16,22.4
764.83,3.550,-2.2,,,0,294,2433,17,22.5
763.89,3.550,-2.2,,,0,296,2443,18,22.5
762.96,3.550,-2.3,,,0,298,2453,18,22.5
761.66,3.550,-2.3,,,0,300,2466,17,22.5
760.91,3.560,-2.3,,,0,302,2474,17,22.5
759.99,3.560,-2.4,,,0,304,2484,17,22.5
759.06,3.560,-2.4,,,0,306,2493,17,22.5
